English,Turkish
{0} {1} on property.,{0} {1} mülkte.
greater than,şundan daha büyük
Cannot specify a '{0}' {1}: {2}.,Bir '{0}' {1} nitelendirilemiyor: {2}.
(Note: this will automatically become valid if {0} becomes active.),(Not: {0} aktif hale gelirse bu otomatik olarak geçerli olacaktır.)
"Specifies how much wall blocks required to make one empty window or door block without penalty. It counts all wall blocks in the room, including window blocks itself.",Tecrübe çarpanı olumsuz olarak etkilenmeden boş bir pencere veya kapı bloğu yapmak için gereken duvar bloklarının miktarını gösterir. Pencere blokları da dahil olmak üzere odadaki tüm duvar bloklarını sayar.
Room can't be created from wall block at {0},{0} kısmındaki duvar bloğundan dolayı oda oluşturulamıyor
Room can't be created from window at {0},{0} kısmındaki pencereden dolayı oda oluşturulamıyor
"Room volume at {0} is too small. Should be at least 3 blocks, but current volume is {1}","{0} kısmındaki oda hacmi çok küçük. En az 3 blok olmalı, ancak mevcut hacim {1}"
Room  at {0} can't have empty edges if AllowEmptyEdges is false. Currently have {1}.,"AllowEmptyEdges devre dışıysa, {0} konumundaki odanın boş köşeleri olamaz. Şu anda {1} var."
{0} complete: {1},{0} tamamladı: {1}
Tutorial,Eğitim
Contains {0} Districts covering {1} square meters ({2} plots).,{1} metrekare büyüklüğünde {0} Bucak içeriyor ({2} arsa).
District Maps,Bölge Haritaları
Please restart the game for the language change to take full effect.,Dil değişikliğinin tam olarak etkili bir hale gelmesi için lütfen oyunu yeniden başlatın.
Anonymous,Anonim
{0} added.,{0} eklendi.
Removed {0}.,{0} kaldırıldı.
Cannot remove users.,Kullanıcılar kaldırılamıyor.
No items of this tier were found,Bu kademedeki hiçbir öge bulunamadı
No vehicles were found,Araç bulunamadı
Are you sure you want to leave this work party?  Your existing contribution of {0} will be lost.,Bu çalışma grubundan ayrılmak istediğinden emin misin? Yaptığın {0} katkı kaybedilecek.
Cancelling will pay out all existing laborers any amounts they've earned this far. Are you sure?,"İptal edilmesi durumunda, mevcut tüm işçilerin şu ana kadar kazandıkları meblağlar iade edilecektir. Emin misin?"
You're not a part of this work party.,Bu çalışma grubunun bir parçası değilsin.
You're already a part of this work party.,Zaten bu çalışma grubunun bir parçasısın.
You are now a laborer in {0}!,Artık {0} işçisisin!
Cannot create more than {0} accounts.,{0} taneden fazla hesap oluşturulamaz.
Invalid account.,Geçersiz hesap.
You don't have access to that account.,Bu hesaba erişimin yok.
That is a permanent account and cannot be deleted.,Bu kalıcı bir hesap ve silinemez.
"Account still has funds in it, cannot delete until they are removed.","Hesabın içinde hala para var, kaldırılıncaya kadar silinemez."
Cannot remove {0} from their personal account.,{0} kişisel hesaplarından kaldırılamıyor.
Name must be more than 3 characters.,İsim 3 karakterden fazla olmalıdır.
{0} already exists.,{0} zaten mevcut.
Can't end an account name with 'Personal Account' for security.,Güvenlik sebebiyle hesap ismi 'Kişisel Hesap' olarak ayarlanamaz.
Wages,Ücretler
online and offline,çevrimiçi ve çevrimdışı
Wages Paid From Account,Hesaptan Ödenen Ücretler
Wages:,Ücretler:
Wages for being an occupant of this title.,Bu unvanın sahibi olabilme ücreti.
Elections Using This Process:,Bu Süreci Kullanan Seçimler:
Resign from {0},{0} pozisyonundan istifa et
Veto {0},Veto Et {0}
resigned,istifa edildi
Begin an election for a government office.,Hükümet dairesi için bir seçime başla.
Join an election as a candidate.,Aday olarak bir seçime katıl.
Leave an election of which you are a candidate.,Aday olduğun bir seçimden ayrıl.
Forcibly remove an official from office.,Bir yetkiliyi zorla görevden al.
Resign from an elected title you hold.,Seçilmiş olduğun bir unvandan istifa et.
Start Election,Seçimi Başlat
Resign from Office,Görevden İstifa Et
Veto Election,Veto Seçimi
An anonymous citizen,İsimsiz bir vatandaş
You are already in this election.,Sen zaten bu seçimin içerisindesin.
Elections of type {0} cannot be vetoed.,{0} türündeki seçimler veto edilemez.
Elections of type {0} can only be vetoed by {1}.,{0} türündeki seçimler yalnızca {1} tarafından veto edilebilir.
{0}: {1} Ended {2} ago.,"{0}: {1}, {2} önce sona erdi."
{0}: {1} Started {2} ago.,"{0}: {1}, {2} önce başladı."
Finished.,Tamamlandı.
Active.,Etkin.
Spawned in {0}:{1}{2},{0} kısmında ortaya çıktı:{1}{2}
Cannot rename to {0}: this name already exists.,{0} olarak yeniden adlandırılamıyor: bu ad zaten var.
"You continuously gain Character XP at the rate of {0} per real-day, multiplied by your {1}.","Karakter Tecrübesini {1} ile çarparak, gerçek gün başına sürekli olarak {0} oranında tecrübe kazanırsın."
Are you sure you want to remove {0}? You will lose access to the account immediately.,{0} kaldırmak istediğinden emin misin? Derhal olarak hesaba erişimini kaybedeceksin.
No account selected,Hiçbir hesap seçilmedi
"This work order is part of {0}, are you sure you want to remove it?","Bu iş emri {0} ögesinin bir parçası, silmek istediğinden emin misin?"
Couldn't find election.,Seçim bulunamadı.
No elections found.,Seçimler bulunamadı.
Couldn't legally start election:{0}{1},Seçim yasal olarak başlatılamadı:{0}{1}
Do you have mods installed? Does the issue happen when no mods are installed?:,Modlar yüklü durumda mı? Hiç bir mod yüklenmediğinde sorun oluşur mu?:
Shale Brick,Kil Tuğlası
Object is destroyed.,Nesne yok edildi.
Removed {0} {1}:{2}{3},{0} {1}:{2}{3} Kaldırıldı
{0} cleared.,{0} temizlendi.
Can't find an object matching '{0}' to spawn.,{0}' ile eşleşen bir nesne bulunamıyor.
Work,Görev
Not enough money in {0},{0} içinde yeterli para yok
Transfer completed successfully!,Aktarım başarıyla tamamlandı!
{0} Wages,{0} Ücretler
Admin assigned by {0},Yönetici {0} tarafından atandı
Admin unassigned by {0},Yöneticinin ataması {0} tarafından kaldırıldı
Admin assigned,Yönetici atandı
citizen,vatandaş
Re-elected,Yeniden seçildi
Replaced in election,Seçimde değiştirildi
Re-elected in {0},{0} içinde yeniden seçildi
Elected in {0},{0} içinde seçildi
Time remaining in term: {0},Dönemde kalan süre: {0}
Term Limit Expired,Hizmet Süresi Doldu
Successor to {0} (chosen from {1}),{0} varisi ({1} arasından seçildi)
Remaining office holders,Kalan devlet memurları
"In the event that the office holder of this position leaves office not through election, they will be automatically replaced with one or more players from this title, randomly chosen.","Bu pozisyonun sahibinin seçimden önce görevden ayrılması durumunda, bu unvandan rastgele seçilen bir veya daha fazla oyuncu ile otomatik olarak değiştirilecektir."
"If this is true, elections can start before the end of the office holder's term.","Eğer bu doğruysa, seçimler görev süresi henüz tamamlanmamış olsa bile başlayabilir."
group,grup
Not contained by any object.,Hiçbir nesne tarafından içerilmiyor.
Container {0} is disabled.,Konteyner {0} devre dışı.
{0} errors:,{0} hataları:
invalid.,geçersiz.
No election found.,Seçim bulunamadı.
The election will not produce a winner unless this percentage of eligible voters have cast their vote.,"Seçime katılan seçmenlerin belirli yüzdesi oy kullanmadıkça, seçimin kazananı olmaz."
No one is set to be able to remove {0} occupants from office.,Hiç kimse {0} sakinlerini görevden alabilecek durumda değil.
Only {0} may remove {1} occupants from office.,Sadece {0} {1} sakinlerini makamdan atabilir.
{0} removed from {1}.,"{0}, {1}'den kaldırıldı."
{0} resigned from {1}.,"{0}, {1}'den istifa etti."
{0} withdrew from the election {1}.,"{0}, {1} oylamasından çekildi."
Removed from office by {0},Makamdan {0} tarafından atıldı
Remove {0} from {1},{1}'den {0} kaldır
Remove Official From Office,Görevliyi Vazifeden Sil
Test Users:,Test Kullanıcıları:
skill set,yetenek seti
Average room Tier: You have {0} out of needed {1},Ortalama oda kademesi: {1} yerine {0} var
Your objects in the room use {0} of {1}; {2} uses {3}{4},Odadaki nesneleriniz {1} {0}'i kullanıyor; {2} {3}{4}'ü kullanıyor
changes,
table,masa
store,mağaza
"{0} in {1}, {2} needed.","{1}'de {0}, {2} lazım."
for {0},{0} için
Not enough space below to place item.,Aşağıda eşyayı yerleştirecek yeteri kadar alan yok.
ingredient,içerik
product,ürün
{0} was removed.,{0} kaldırıldı.
Wages are paid after this many minutes.,Ücretler şu kadar dakikadan sonra ödenir.
Create a new {0} draft from an existing {1}.,Mevcut bir {1}'den yeni bir {0} taslağı oluştur.
Are you sure you want to clear the contents of {0} and replace it with {1}?,{0} içeriğini ortadan kaldırmak ve {1} ile değiştirmek istediğinden emin misin?
Third Person View Toggle,Üçüncü Şahıs Görünümü Geçişi
Vehicle Tool,Araç Aleti
Vehicle,Araç
Advanced Settings,Gelişmiş Ayarlar
Max Distance To Show,Gösterilecek Maksimum Mesafe
Mouse,
Current target can't be fueled.,Mevcut hedefin yakıtı doldurulamaz.
New accounts spawned,Yeni hesaplar ortaya çıktı
The carcass has nothing to pickup.,Cesette toplanacak bir şey yok.
Showing chat commands matching '{0}','{0}' ile eşleşen sohbet komutları gösteriliyor
Talent: {0} was removed,Yetenek: {0} kaldırıldı
There's no wild food left around you.\n\nTo find more food you'll need to collect it from other players.,Çevrende hiç doğada yetişen yiyeceklerden kalmadı.\n\nDaha fazla yiyecek bulmak için diğer oyunculardan toplaman gerekiyor.
Constitution,Yasa
Constitutional Articles,Anayasal Maddeler
Government Overview,Hükümete Genel Bakış
inventory,
List of inventory related commands,Envanterle ilgili komutların listesi
cheat,
List of commands for time operating,Zaman faaliyet kodları listesi
sim,
List of commands for simulations,Simülasyon kodları listesi
List of commands for land manipulations,Arazi işletme kodları listesi
util,
List of some helping commands,Yardımcı komutlar listesi
food,
List of commands for food manipulations,Gıda idare komutları listesi
Sends a warning to a citizen,Bir oyuncuya uyarı gönderir
fullreset,
Resets all skills to unlearnt,Tüm becerileri varsayılana sıfırlar
removetalent,
Removes talent by name,İsmine göre yeteneği kaldırır
notalents,
Resets all talents,Tüm yetenekleri sıfırlar
Kills all plants in an area. Pass true to delete them.,Bölgedeki tüm bitkileri öldürür. Silmek için true değerini gir.
Cuts all trees in an area. Pass true to delete them.,Bölgedeki tüm ağaçları keser. Silmek için true değerini gir.
spawnallplants,
Spawns plants of particular ages in a row,Art arda belirli büyüme seviyesine ulaşmış bitkileri ortaya çıkartır
growth1,
growth2,
growth3,
fuel,yakıt
Fuels currently selected (driving) vehicle.,Şu anda seçili olan (sürüş için) aracın yakıtını doldurur.
toworldposition,
Teleport to a citizen.,Bir vatandaşa ışınlan.
Displays all the commands available with hidden subcommands. Accepts a string to filter commands to a search string.,Gizli alt komutlarla birlikte kullanılabilen tüm komutları görüntüler. Komutları arama kısmında filtrelemek için bir dize kabul eder.
"Shows all help, including sub commands.",Alt komutlar da dahil olmak üzere tüm yardım komutlarını gösterir.
unstuckvehicle,
Attempts to unstuck vehicle in target,Hedefteki sıkışmış aracı kurtarmayı dener
now,şimdi
emote,
setlayer,
Sets a world layer to specific value or random value from range.,Bir dünya katmanını belirli bir değere veya aralıktaki rastgele bir değere ayarlar.
maxValue,
property,
targetowner,
Change owner of current target,Mevcut hedefin sahibini değiştirmeye yarar
Specialty Points,Uzmanlık Puanları
Item Used,Eşya Kullanıldı
Tool Used,Alet Kullanıldı
Action Type,Eylem Türü
Currency Amount,Para Miktarı
Percent Done,Tamamlanan Yüzde
Work Percent Contributed,İşe Katkı Yüzdesi
Loan Or Bond,Borç Para Ya da Senet
Bought Or Sold,Satın Alındı ​​veya Satıldı
Shop Owner,Mağaza Sahibi
Buyer,Satın Alan
Deed Owner,Belge Sahibi
Claimed Or Unclaimed,Talepte Bulunuldu Ya da Talep Reddedildi
Total Before Tax,Vergi Öncesi Toplam
Voted For User,Şu Kullanıcıya Oy Verildi
Entered Or Left Election,Seçime Girildi Veya Seçim Terk Edildi
Damaged Or Destroyed,Telef oldu ya da hasar gördü
Item Count,Eşya Sayısı
Work Order,İş Siparişi
Ingredient Added,Malzeme eklendi
Dug Or Mined,Kazıldı Ya da Çıkarıldı
Placed Or Picked Up,Yerleştirildi Ya da Alındı
Seconds Passed,Saniye Geçti
Pollution Source,Kirlilik Kaynağı
Time Polluting,Kirletme Süresi
Hours Since Last Trigger,Son Tetikleyiciden Bu Yana Geçen Saat
Min Contributed Percent,Minimum Katkı Yüzdesi
Pay From Account,Hesaptan Öde
Pay Type,Ödeme Türü
Pay As You Go,Ödediğin Kadar Kullan
State,Durum
economy,ekonomi
Amount Per Hour,Saatlik Miktar
Wage Type,Ücret Türü
Set the current area within a given radius to a given district (or a new district if none is passed).,Belirli bir yarıçap içindeki geçerli alanı belirli bir bölgeye ayarla (ya da belirtilmemişse yeni bir bölgeye).
map,harita
clearmap,
Remove all districts from a given map.,Belirli bir haritadaki tüm bölgeleri kaldırın.
Previous Element,Bir Önceki Element
"Force-end the specified election, adding a vote if true is passed (default).","Belirlenmiş seçimi zorla sona erdirip, geçerli oyları eklersin (varsayılan ayar)."
addVote,
vote,
Vote in the given election for the given candidate.,Belirli bir seçimde belirlenen seçmenlere oy verirsin.
winner,kazanan
"Force-win an election, either with the specified candidate, or 'yes' if it's a binary election.","Bir seçimi zorla kazanıp, seçmeni ya kendin belirler ya da bir referandum ise 'evet' seçimini kazandırırsın."
updatedems,
Force demographics to update immediately.,Demografileri hemen güncellenmeye zorla.
Executors,İcra Görevlileri
Articles,Sözleşmeler
Time Started,Süre Başladı
Time Ended,Süre Sona Erdi
Position For Winner,Kazanan için Konum
Vetoers,Veto Edenler
Maximum Election Hours,Azami Seçim Saati
Minimum Percent Of Eligible Voters Required,Gereken Minimum Seçmen Listesi
End Election Early When This Percent Have Voted,Bu Yüzde Oy Verdiğinde Seçim Erken Başlıyor
Minimum Days Between Elections Of This Type,Bu Tür Seçimler Arasındaki Minimum Gün
Anonymous Voting,İsimsiz Oylama
If Then Blocks,
Target,Hedef
New Owner,Yeni Sahibi
Title Holder,Hak Sahibi
Currently Owned By Citizen,Şu Anda Bir Vatandaş Buna Sahip
Ignore Property With Mulitple Owners,Birden Fazla Sahibi Olan Mülkü Yok say
User Description,Kullanıcı Açıklaması
Triggers,Tetik
Configs,Konfigürasyon
Citizen Conditions,Vatandaş Koşulları
Action On Each Citizen,Her Bir Vatandaşın Yaptığı Eylem
Choices,Tercihler
Citizen To Remove,Kaldırılacak Vatandaş
Election To Veto,Veto Edilecek Seçim
Remove Existing Articles,Mevcut Sözleşmeleri Kaldır
New Articles,Yeni Sözleşmeler
thirdperson,
Toggles Third Person Camera,Üçüncü Şahıs Kamerasını Açar
levelupuser,
Invalid,Geçersiz
Build,İnşa et
Unposted,Yayınlanmamış
Submitted,Gönderildi
Unassigned,Atanmadı
Finished,Tamamlandı
Deleted,Silindi
Users Only,Sadece Kullanıcılar
Global,Küresel
Put,Koy
Backed,Destekli
In Category,Kategoride
Not In Category,Kategoride Değil
Has All,
Has Any,
Has None,
Destroy,Yok et
Inside One,Birinin İçinde
Inside All,Hepsinin İçinde
Outside All,Hepsinin Dışında
Split By Work Percent,İş Yüzdesine Göre Ayır
Split Evenly,Eşit Olarak Ayır
Online Hours,Çevrimiçi Saatler
Online And Offline Hours,Çevrimiçi Ve Çevrimdışı Saatler
Laws Changing Taxes,Vergileri Değiştiren Kanunlar
Laws Preventing Actions,Eylemleri Engelleyen Kanunlar
Laws Changing Property,Mülkiyeti Değiştiren Kanunlar
Laws Ignoring Authorization,Yetkilendirmeyi Yok Sayan Kanunlar
Any Executive Action,Herhangi Bir Yönetim Faaliyeti
Executive Actions Affecting Taxes,Vergileri Etkileyen Yönetim Faaliyetleri
Executive Actions Affecting Property,Mülkiyeti Etkileyen Yönetim Faaliyetleri
Less Than,Den Daha Az
Equal To,Eşit
Greater Than,Şundan Daha Büyük
Greater Than Or Equal To,Büyük Veya Eşittir
Not Equal To,Buna Eşit Değil
Subtract,Çıkart
Multiply,Çarp
Divide,Böl
Owner Of Property,Mülk Sahibi
Not Owner Of Property,Mülk Sahibi Değil
Authorized On Property,Mülkte Yetkiye Sahip
Unauthorized On Property,Mülkte Yetkiye Sahip Değil
Not Destroying Organism,Organizma Yok Edilmiyor
Destroying Organism,Organizma Yok Ediliyor
Entering Election,Oylamaya Giriliyor
Leaving Election,Oylamadan Çıkılıyor
Entering Demographic,Demografiğe Giriliyor
Leaving Demographic,Demografikten Ayrılıyor
First Time In Demographic,Demografikte İlk Kez
Not First Time In Demographic,Demografikte Sık Zamanlar
Placing Object,Nesne Yerleştiriliyor
Picking Up Object,Nesne Alma
Unclaiming Land,Araziden Vazgeçiliyor
Building Block,İnşa Etme Blokları
Loan,Borç
Bond,Senet
Wood,Odun
Canvas,Tuval
Metal,
Dug,Kazılmış
Mined,Kazılmış
Voice Manager,Ses Yöneticisi
Wall Blocks Per Window,Pencere Başına Duvar Blokları
APIAuth Token,UPA Yetki Göstergesi
APIAdmin Auth Token,UPAYönetici Yetki Göstergesi
Day Range For Active Demographic,Aktif Demografik İçin Gün Aralığı
Hours Played To Be Active Demographic,Demografide Aktif Olmak İçin Oynanan Saatler
Day Range For Abandoned Demographic,Terk Edilmiş Demografik İçin Gün Aralığı
Hours Played To Be Abandoned Demographic,Demografiden Terk Edilmek için Oynanılan Saat
Minutes Between Civics Updates,Vatandaşlık Güncellemeleri Arasındaki Dakikalar
Allow Laws To Prevent Login Or Play,Kanunların Giriş Yapmayı veya Oynamayı Engellemesine İzin Ver
Basic Election,Basit Seçim
Abandoned,Terk Edilmiş
Climb Height,Tırmanma Yüksekliği
Chance To Attack,Saldırı Şansı
Detect Range,Menzili Tespit Et
Is Predator,Artık Avcı
Group In Packs,Sürülerdeki Grup
Route Probing Plugin,Güzergah İnceleme Eklentisi
Tarantula,
SnappingTurtle,Yapışan Kaplumbağa
PacificSardine,PasificSardalyası
MoonJellyfish,Ay Denizanası
Jaguar,
Crab,Yengeç
Coyote,Kır Kurdu
Cod,Morina
BlueShark,MaviKöpekbalığı
Bass,Levrek
Alligator,Timsah
Agouti,Aguti
Current {0},Şu an {0}
Constitutions can be overthrown when their value is exceeded by {0}%.,Değerleri {0}% aştığında yasalar çökertilebilir.
Available Causes,Mevcut Nedenler
Available Effects,Mevcut Etkiler
World Settings,Dünya Ayarları
Zoning Office,İmar Ofisi
Tool Bench,Alet Tezgahı
A place to craft and fix up tools.,Hem aletleri üretmek hem de onarmak için bir yer.
Stamp Mill,Maden Değirmeni
Softwood Lumber Table,Yumuşak Odundan Kereste Masa
Softwood Lumber Door,Yumuşak Odundan Kereste Kapı
Softwood Lumber Chair,Yumuşak Odundan Kereste Sandalye
Softwood Lumber Bench,Yumuşak Odun Kerestesi Tezgahı
Small Standing Wood Sign,Ayakta Duran Küçük Ahşap Levha
Small Standing Spruce Sign,Ayakta Duran Küçük Çamdan Levha
Small Standing Softwood Sign,Ayakta Duran Küçük Yumuşak Odundan Levha
Small Standing Saguaro Sign,Ayakta Duran Küçük Saguarodan Levha
Small Standing Redwood Sign,Ayakta Duran Küçük Kızılçamdan Levha
Small Standing Palm Sign,Ayakta Duran Küçük Palmiye Odunundan Levha
Small Standing Oak Sign,Ayakta Duran Küçük Meşe Odunundan Levha
Small Standing Joshua Sign,Ayakta Duran Küçük Joshua Odunundan Levha
Small Standing Hardwood Sign,Ayakta Duran Küçük Sert Odundan Levha
Small Standing Fir Sign,Ayakta Duran Küçük Köknar Odunundan Levha
Small Standing Ceiba Sign,Ayakta Duran Küçük Floş Odunundan Levha
Small Standing Cedar Sign,Ayakta Duran Küçük Sedir Odunundan Levha
Small Standing Birch Sign,Ayakta Duran Küçük Huş Odunundan Levha
Small Hanging Wood Sign,Asılı Duran Küçük Ahşap Levha
Small Hanging Spruce Sign,Asılı Duran Küçük Alaçam Odunundan Levha
Small Hanging Softwood Sign,Asılı Duran Küçük Yumuşak Odundan Levha
Small Hanging Saguaro Sign,Asılı Duran Küçük Saguarodan Levha
Small Hanging Redwood Sign,Asılı Duran Küçük Kızılçamdan Levha
Small Hanging Palm Sign,Asılı Duran Küçük Palmiye Odunundan Levha
Small Hanging Oak Sign,Asılı Duran Küçük Meşe Odunundan Levha
Small Hanging Joshua Sign,Asılı Duran Küçük Joshua Odunundan Levha
Small Hanging Hardwood Sign,Asılı Duran Küçük Sert Odundan Levha
Small Hanging Fir Sign,Asılı Duran Küçük Köknar Odunundan Levha
Small Hanging Ceiba Sign,Asılı Duran Küçük Floş Odunundan Levha
Small Hanging Cedar Sign,Asılı Duran Küçük Sedir Odunundan Levha
Small Hanging Birch Sign,Asılı Duran Küçük Huş Odunundan Levha
Sensor Based Belt Sorter,Sensörlere Dayalı Kemer Sınıflandırıcı
Screening Machine,Elek Makinesi
Rocker Box,Rocker Kutusu
Mortared Stone Table,Harçlı Taştan Masa
Mortared Stone Fireplace,Harçlı Taştan Şömine
Mortared Stone Chair,Harçlı Taştan Sandalye
Mortared Stone Bench,Harçlı Taş Tezgah
Mortared Sandstone Table,Harçlı Kumtaşından Masa
Mortared Sandstone Fireplace,Harçlı Kumtaşından Şömine
Mortared Sandstone Chair,Harçlı Kumtaşından Sandalye
Mortared Sandstone Bench,Harçlı Kumtaşı Tezgahı
Mortared Limestone Table,Harçlı Kireç Taşından Masa
Mortared Limestone Fireplace,Harçlı Kireç Taşından Şömine
Mortared Limestone Chair,Harçlı Kireç Taşından Sandalye
Mortared Limestone Bench,Harçlı Kireç Taşı Tezgahı
Mortared Granite Table,Harçlı Granitten Masa
Mortared Granite Fireplace,Harçlı Granitten Şömine
Mortared Granite Chair,Harçlı Granitten Sandalye
Mortared Granite Bench,Harçlı Granit Tezgahı
Lumber Table,Kereste Masa
Lumber Chair,Kereste Sandalye
Lumber Bench,Kereste Tezgah
Large Standing Wood Sign,Ayakta Duran Büyük Ahşap Levha
A large sign for all of your larger text needs!,Anlatmak istediklerini hiç bir yere sığdıramıyorsan bu levhayı kullanabilirsin!
Large Standing Spruce Sign,Ayakta Duran Büyük Alaçamdan Levha
Large Standing Softwood Sign,Ayakta Duran Büyük Yumuşak Odundan Levha
Large Standing Saguaro Sign,Ayakta Duran Büyük Saguarodan Levha
Large Standing Redwood Sign,Ayakta Duran Büyük Kızılçamdan Levha
Large Standing Palm Sign,Ayakta Duran Büyük Palmiyeden Levha
Large Standing Oak Sign,Ayakta Duran Büyük Meşeden Levha
Large Standing Joshua Sign,Ayakta Duran Büyük Joshua Odunundan Levha
Large Standing Hardwood Sign,Ayakta Duran Büyük Sert Odundan Levha
Large Standing Fir Sign,Ayakta Duran Büyük Köknardan Levha
Large Standing Ceiba Sign,Ayakta Duran Büyük Floş Odunundan Levha
Large Standing Cedar Sign,Ayakta Duran Büyük Sedirden Levha
Large Standing Birch Sign,Ayakta Duran Büyük Huş Odunundan Levha
Large Hanging Wood Sign,Asılı Duran Büyük Ahşap Levha
Large Hanging Spruce Sign,Asılı Duran Büyük Alaçamdan Levha
Large Hanging Softwood Sign,Asılı Duran Büyük Yumuşak Odundan Levha
Large Hanging Saguaro Sign,Asılı Duran Büyük Saguarodan Levha
Large Hanging Redwood Sign,Asılı Duran Büyük Kızılçamdan Levha
Large Hanging Palm Sign,Asılı Duran Büyük Palmiyeden Levha
Large Hanging Oak Sign,Asılı Duran Büyük Meşe Odunundan Levha
Large Hanging Joshua Sign,Asılı Duran Büyük Joshua Odunundan Levha
Large Hanging Hardwood Sign,Asılı Duran Büyük Sert Odundan Levha
Large Hanging Fir Sign,Asılı Duran Büyük Köknardan Levha
Large Hanging Ceiba Sign,Asılı Duran Büyük Floş Odunundan Levha
Large Hanging Cedar Sign,Asılı Duran Büyük Sedirden Levha
Large Hanging Birch Sign,Asılı Duran Büyük Huş Odunundan Levha
Jaw Crusher,Çeneli Konkasör
Hewn Table,Yontulmuş Masa
Hewn Softwood Table,Yontulmuş Yumuşak Odundan Masa
Hewn Softwood Chair,Yontulmuş Yumuşak Odundan Sandalye
Hewn Softwood Bench,Yontulmuş Yumuşak Odun Tezgahı
Hewn Hardwood Table,Yontulmuş Sert Odundan Masa
Hewn Hardwood Chair,Yontulmuş Sert Odundan Sandalye
Hewn Hardwood Bench,Yontulmuş Sert Ağaç Tezgahı
Hewn Chair,Yontulmuş Sandalye
Hewn Bench,Yontulmuş Tezgah
Hardwood Lumber Table,Sert Odundan Kereste Masa
Hardwood Lumber Door,Sert Odundan Kereste Kapı
Hardwood Lumber Chair,Sert Odundan Kereste Sandalye
Hardwood Lumber Bench,Sert Ağaç Kerestesi Tezgahı
Government Office,Hükümet Ofisi
Froth Floatation Cell,Köpük Yüzdürme Hücresi
Executive Office,İdarehane
Court,Mahkeme
Composite Spruce Table,Kompozit Alaçam Masası
Composite Spruce Door,Kompozit Alaçam Kapısı
Composite Spruce Chair,Kompozit Alaçam Sandalyesi
Composite Spruce Bench,Kompozit Alaçam Tezgahı
Composite Softwood Table,Kompozit Çam Masası
Composite Softwood Door,Kompozit Çam Kapısı
Composite Softwood Chair,Kompozit Çam Sandalyesi
Composite Softwood Bench,Kompozit Çam Tezgahı
Composite Saguaro Table,Kompozit Saguaro Masası
Composite Saguaro Door,Kompozit Saguaro Kapısı
Composite Saguaro Chair,Kompozit Saguaro Sandalyesi
Composite Saguaro Bench,Kompozit Saguaro Tezgahı
Composite Redwood Table,Kompozit Kızılçam Masası
Composite Redwood Door,Kompozit Kızılçam Kapısı
Composite Redwood Chair,Kompozit Kızılçam Sandalyesi
Composite Redwood Bench,Kompozit Kızılçam Tezgahı
Composite Palm Table,Kompozit Palmiye Masası
Composite Palm Door,Kompozit Palmiye Kapısı
Composite Palm Chair,Kompozit Palmiye Sandalyesi
Composite Palm Bench,Kompozit Palmiye Tezgahı
Composite Oak Table,Kompozit Meşe Masası
Composite Oak Door,Kompozit Meşe Kapısı
Composite Oak Chair,Kompozit Meşe Sandalyesi
Composite Oak Bench,Kompozit Meşe Tezgahı
Composite Lumber Table,Kompozit Kereste Masası
Composite Lumber Door,Kompozit Kereste Kapısı
Composite Lumber Chair,Kompozit Kereste Sandalyesi
Composite Lumber Bench,Kompozit Kereste Tezgahı
Composite Joshua Table,Kompozit Joshua Masası
Composite Joshua Door,Kompozit Joshua Kapısı
Composite Joshua Chair,Kompozit Joshua Sandalyesi
Composite Joshua Bench,Kompozit Joshua Tezgahı
Composite Hardwood Table,Kompozit Sert Ağaç Masası
Composite Hardwood Door,Kompozit Sert Ağaç Kapısı
Composite Hardwood Chair,Kompozit Sert Ağaç Sandalyesi
Composite Hardwood Bench,Kompozit Sert AğaçTezgahı
Composite Fir Table,Kompozit Köknar Masası
Composite Fir Door,Kompozit Köknar Kapısı
Composite Fir Chair,Kompozit Köknar Sandalyesi
Composite Fir Bench,Kompozit Köknar Tezgahı
Composite Ceiba Table,Kompozit Floş Masası
Composite Ceiba Door,Kompozit Floş Kapısı
Composite Ceiba Chair,Kompozit Floş Sandalyesi
Composite Ceiba Bench,Kompozit Kapok Ağacı Tezgahı
Composite Cedar Table,Kompozit Sedir Masası
Composite Cedar Door,Kompozit Sedir Kapısı
Composite Cedar Chair,Kompozit Sedir Sandalyesi
Composite Cedar Bench,Kompozit Sedir Tezgah
Composite Birch Table,Kompozit Huş Masası
Composite Birch Door,Kompozit Huş Kapısı
Composite Birch Chair,Kompozit Huş Sandalyesi
Composite Birch Bench,Kompozit Huş Ağacı Tezgahı
Census Bureau,Nüfus İdaresi
Capitol,Hükümet Binası
Brick Fireplace,Tuğla Şömine
Board Of Elections,Seçim Kurulu
Ballot Box,Oy Sandığı
Ashlar Stone Table,Kesme Taştan Masa
Ashlar Stone Fireplace,Kesme Taştan Şömine
Ashlar Stone Chair,Kesme Taştan Sandalye
Ashlar Stone Bench,Kesme Taş Tezgah
Ashlar Small Stone Fountain,Küçük Kesme Taş Çeşme
Ashlar Small Shale Fountain,Küçük Kesme Yaprak Taş Çeşmesi
Ashlar Small Sandstone Fountain,Küçük Kesme Kumtaşı Çeşmesi
Ashlar Small Limestone Fountain,Küçük Kesme Kireç Taşı Çeşmesi
Ashlar Small Granite Fountain,Küçük Kesme Granit Çeşmesi
Ashlar Small Gneiss Fountain,Küçük Kesme Gnays Çeşmesi
Ashlar Small Basalt Fountain,Küçük Kesme Bazalt Çeşme
