English,Japanese
Degrees,度
PPM,
Organisms,生物
Votes,投票
Specialties,専門分野
Items,アイテム
Stumps,切り株
Currencies,通貨
Hours,時間
Coins,コイン
Messages,メッセージ
If {0},もし {0}
currency,通貨
level of,レベル
your,あなたの
actions,アクション
where,どこ
MISSING CURRENCY,通貨が見つかりません
Otherwise,
you are a,あなたは
or,もしくは
Species,種
Is,である
Is not,でない
Using,使用
Not using,非使用
{0} and {1},{0} と {1}
item is,アイテムは
object is,オブジェクトは
skill is,スキルは
not,NOT
currency is,通貨は
Humans,人間
Ecosystem,生態系
Populations,人口
Population,生息数
Allow,承認
Prevent,防止
Condition,状態
A truck that runs on steam.,蒸気で走るトラック。
Credit,クレジット
Public Server,公開サーバ
Playtime,プレイ時間
Discord Address,Discordアドレス
Password,パスワード
Description,説明
IPAddress,IPアドレス
Rate,レート
Language,言語
Specialty Cost Multiplier,専門分野コスト倍率
Skill Gain Multiplier,スキルゲイン倍率
Spawn Location,スタート地点
Reputations,評判
online,オンライン
Create Meteor,隕石を作る
Meteor Impact Days,隕石の衝突までの日数
Save Name,名前を保存
Save Frequency,周波数を保存
Cleanup Files On Exceptions,例外時にファイルをクリーンアップ
Storage Directory,ストレージのディレクトリ
Enabled,有効
Max Backups In Last Hour,直前の 1 時間に生成される最大バックアップ数
Backup Frequency In Hours,バックアップ頻度 (時間)
Dimensions,寸法
Height,高さ
Frequency,周波数
Radius Range,半径範囲
Depth Range,深さ範囲
Atmosphere Type,大気の種類
World Tick CPU Max,ワールドのティックの最大 CPU 使用率
List of mod.io mod ids that this server is subscribed to.,このサーバーが利用している mod.io mod id のリスト。
Whitelist Enabled,ホワイトリスト有効
Live Update Unity Files,Unity ファイルをライブアップデート
Subscribed Mods,利用している Mod
Loading {0},{0} をロード中
Generating special features,特殊機能の生成中
Ticking (Pass 1),ティック中 (パス 1)
Ticking (Pass 2),ティック中 (パス 2)
Computing stats,統計データの計算
Compressing,圧縮中
Ticking,ティック中
Starting {0},{0} を開始中
Initializing {0},以下を初期化中 {0}
Loading {0}...,{0} をロード中...
Loading mods,Mod を読み込み中
Calorie Consumption,カロリー消費量
Layers,レイヤー
Spread Rate,拡散率
Operator,演算子
Layer1Name,レイヤー1名
Layer2Name,レイヤー2名
Weight1,重量1
Weight2,重量2
Change Rate,変化率
Modified Layer Name,変更レイヤー名
Spread Ratio,拡散比率
Height Bias,高さバイアス
Post Worldgen Ticks,ワールド生成後のティック
Reactant One Layer Name,反応体 1 レイヤー名
Reactant Two Layer Name,反応体 2 レイヤー名
Product Layer Name,出力レイヤー名
Reaction Rate,反応速度
Active Post Worldgen,Worldgen 後の挙動
Moisture Range,湿度範囲
Temperature Range,温度範囲
Top Block,トップブロック
Dependency Layer Names,依存関係レイヤー名
World Init Dependency Layer Names,ワールド初期化依存関係レイヤー名
Output Layer Name,出力レイヤー名
Tree Health,木の健康度
Log Health,丸太の健康状態
Top Branch Health,一番上の枝の健康状態
Branch Rotations,枝の回転
Branch Count,枝数
Chance To Spawn Debris,デブリスポーン確率
Display Name,表示名
Maturity Age Days,成熟日数
Calorie Value,カロリー値
Resource Item Type,資源アイテムの種類
Resource Range,収穫可能範囲
Resource Bonus At Growth,成長時のリソース・ボーナス
Decorative,装飾
Post Harvesting Growth,収穫後の成長
Scything Kills,大鎌で刈り取り可能
Pickable At Percent,収穫可能%
Block Type,ブロックの種類
Max Growth Rate,最大成長率
Max Death Rate,最大死亡率
Resource Constraints,資源制約
Capacity Constraints,キャパシティ制約
Ideal Temperature Range,理想的な温度範囲
Ideal Moisture Range,理想な湿度範囲
Temperature Extremes,最高・最低温度
Moisture Extremes,最高・最低湿度
Max Pollution Density,最大汚染密度
Pollution Density Tolerance,汚染密度の許容範囲
Voxels Per Entry,エントリーあたりのボクセル使用量
Layer Name,レイヤー名
Half Speed Concentration,成長速度が半分になる栄養素の濃度
Max Resource Content,成体植物の栄養素の最大濃度
Capacity Layer Name,キャパシティレイヤー名
Consumed Capacity Per Pop,生息数あたりの占有キャパシティ
Food Sources,食料源
Flying,飛ぶ
Swimming,泳ぐ
Speed,速度
Health,健康状態
Damage,ダメージ
Delay Between Attacks Range Sec,攻撃間の遅延秒数
Fear Factor,恐怖度
Flee Players,プレイヤーから逃げる
Attack Range,攻撃範囲
Initial CO2 Percent,初期CO2%
Air Pressure,気圧
Atmosphere Volume,大気の体積
Min CO2 ppm,最小 CO2 ppm
Sea Levels' Rise At CO2 ppm,CO2 ppm 時の海面上昇
CO2 ppm Per Sea Level Meter Rise,海面が 1m 上がるのに必要な CO2 ppm
Temperatures Rise At CO2 ppm,CO2 ppm 時の温度上昇
CO2 ppm Per Degree Temperature Rise,温度上昇 1 度あたりの CO2 ppm
Max CO2 Per Day From Animals,動物からの 1 日あたりの最大 CO2
Min CO2 Per Day From Plants,植物からの 1 日あたりの最大 CO2
Time Mult,時間乗数
{0:n0} m²,
{0:n2} km²,
{0:n1} km²,
{0} km²,
"Day {0}, {1:%h:mm tt}",{0} 日目、{1:%h:mm tt}
{0} days {1:hh:mm:ss},{0} 日 {1:hh:mm:ss}
{0:n0}{1}km²,
{0:n0}m²,
"Max CO2 amount from all animals, per day, in PPM",全動物からの 1 日あたりの最大 CO2 量 (PPM)
"Min CO2 amount (typically negative) from all plants, per day, in PPM",全植物からの 1 日あたりの最小 CO2 量 (PPM、一般的には負の値)
Atmosphere,大気
Ground,地面
WorldLayers,ワールドレイヤー
0 Info,0 情報
3 Food,3 食糧
5 Movement,5 移動
6 Behavior,6 行動
5 Resources,5 資源
6 Visuals,6 外観
7 WorldLayers,7 ワールドレイヤー
1 Lifetime,1 寿命
7 Climate,7 気候
0 Layer Relationships,0 レイヤーの関係性
Animal,動物
Biome,生物群系
Reaction,反応
Combine,結合
Decaying,腐敗
Spread,拡散
Sum,合計
Logged in as limited Citizen account '{0}'.,制限付き市民アカウント '{0}' でログインしています。
"A fine, milled wheat product that's useful for all baking.",製粉されたきめ細かい小麦製品で、あらゆるパン作りに役立つ。
Spearhead the fashion movement with the finest clothes and hair!,最高の服とヘアスタイルで、ファッションの最先端を行きましょう！
Restoring backup '{0}',バックアップ '{0}' の復元中
Failed to write backup: {0},バックアップの書き込みに失敗しました: {0}
Removed backup - {0},バックアップを削除しました - {0}
Corruption detected in {0}!,{0} で破損が検出されました！
Couldn't open save '{0}'.\n{1},セーブファイル '{0}' を開けませんでした。\n{1}
{0} AABB can't be inside of other leaf AABB,{0} AABB は他のリーフ AABB の中に存在できません。
Caught exception when trying to dump a prior exception: {0},事前の例外のダンプ中に例外をキャッチしました: {0}
Buy order contained bad trade offers.,買い注文に不正な取引提案が含まれていました。
Sell order contained bad trade offers.,売り注文に不正な取引提案が含まれていました。
Failed to create CommandParserHandler: {0} because: {1} . It likely has no default constructor.,CommandParserHandler を作成できませんでした: {0}。原因: {1}。デフォルトのコンストラクターがない可能性があります。
Mods recompiled with errors.,Mod の再コンパイル時にエラーが出力されました。
Mods recompiled with warnings.,Mod の再コンパイル時に警告が出力されました。
Failed to request mods: {0},Mod の要求に失敗しました: {0}
Failed to request mod dependencies: {0},Mod 依存関係の要求に失敗しました: {0}
Failed to remove object from quad tree after 1024 tries so giving up.  It's probably not actually in the tree.,"クアッドツリーからオブジェクトの削除が 1,024 回試行しても失敗したため放棄します。オブジェクトが実際にはツリーにない可能性があります。"
"Failed to open server GUI, it may not be supported on your OS.  You can run with -nogui to hide this warning.\r\nThe exception encountered was: {0}",サーバー GUI を開けませんでした。お使いの OS でサポートされていない可能性があります。-nogui を指定して実行すると、この警告を非表示にできます。\r\n発生した例外は次の通りです: {0}
"Caught an exception checking for console input, console input disabled. (probably safe to ignore)",コンソール入力のチェック中に例外をキャッチしました。コンソール入力は無効です。(恐らく無視しても安全です)
"Parent process exited, shutting down.",親プロセスが終了しました。シャットダウンしています。
Done,完了
Error when loading main string tables:\n{0},メイン文字列テーブルの読み込み中にエラーが発生しました:\n{0}
Error when loading Mod string tables:\n{0},Mod 文字列テーブルの読み込み中にエラーが発生しました:\n{0}
Invalid queuehandle on tickable.  Is it being destroyed twice?,tickable に対する無効な queuehandle です。2 回破壊されているかもしれません。
Ticking World Layers {0:0.0} minutes...,ワールドレイヤーのティック中 {0:0.0} 分…
Done ({0} minutes to run),完了 (実行に {0} 分必要)
Error backing up database: {0},データベースのバックアップ中にエラーが発生しました: {0}
Failed to add firewall rule for webserver: {0}. This may prevent outside connections from accessing the webserver.,Web サーバーのファイアウォールルールを追加できませんでした: {0}。外部からの接続が Web サーバーにアクセスできない可能性があります。
Failed to add urlacl permissions; webserver will not be available.,urlacl パーミッションを追加できませんでした: Web サーバーは利用できません。
yes,はい
no,いいえ
A fancy toolbench that creates equally fancy toys.,洒落たおもちゃを作ることのできる、洒落た作業台。
"Error: Duplicate strings at: {0}, {1}","エラー: 次の場所で文字列が重複しています: {0}, {1}"
Error: The entry corresponding to string {0} could not be removed because it does not exist,エラー: 文字列 {0} に対応するエントリーが存在しないため、削除できませんでした。
Personal,個人
Admin issued tax.,管理者によって発布された税金。
Couldn't find account with ID {0}.,ID {0} を持つ口座が見つかりません。
{0} taxed everyone {1}. Time for some government spending!,{0} が全員に {1} の税金をかけました。政府がお金を使う時間です！
Accounts,口座
Transferred payment to escrow for {0},{0} の支払いをエスクローに送金しました
Transferred deposit to escrow for {0},{0} の保証金をエスクローに送金しました
Refunded deposit for {0},{0} の保証金を返金しました
Contract payment for {0},{0} の契約支払い
Refunded payment from escrow for {0},エクスローからの {0} の支払いを返金しました
Deposit collected for failed contract {0},失敗した契約 {0} の保証金を回収しました
Client bank account must be set.,クライアントの銀行口座を設定する必要があります。
Contractor bank account must be set.,請負人の銀行口座を設定する必要があります。
Invalid lender account.,貸主の銀行口座が無効です。
Invalid borrower account.,借り主の銀行口座が無効です。
Lender doesn't have access to that account.,貸主はその銀行口座にアクセスできません。
Borrower doesn't have access to that account.,借り主はその銀行口座にアクセスできません。
Target account invalid.,支払い先口座が無効です。
Source account invalid.,支払い元口座が無効です。
Paid Debt.,返済された借金。
Personal Account,個人口座
Can't transfer to the same account.,同じ口座に送金はできません。
Amount must be positive.,金額は正の値でなければなりません。
{0} deleted a bank account: {1}.,{0} が銀行口座を削除しました: {1}。
Transactions for {0},{0} の取引
Account Managers,口座マネージャー
Account Users,口座ユーザー
Click to view transactions.,クリックして取引を表示
Date,日付
Target Account,対象口座
Balance,残高
transaction,取引
{0} {1} at {2},{0} {1}、{2}
"You successfully created {0}, you now have {1} in account {2}.",{0} を作りました。現在、口座 {2} に {1} を持っています。
Exchanged {0},{0} を両替しました
Exchange Tax,為替取引税
Invalid account set.,無効な口座が設定されています。
"No bank account assigned by owner, cannot complete this transaction.",所有者によって銀行口座が割り当てられていないため、この取引を完了できません。
Bank,銀行
"Failed to load {0}, removing...",{0} の読み込みに失敗しました。削除中…
Once you mint a currency you can no longer change the backing item and coins per item. Are you sure you want to back the currency {0} ({1} coin(s)) with {2}?,通貨を発行した後は、裏付けとなるアイテムと、アイテム 1 個あたりのコイン枚数は変更できなくなります。本当に、通貨 {0} (コイン {1} 枚) を {2} で裏付けしますか？
Please enter a name for your world.,ワールドの名前を入力してください。
Can't find server to continue.\n\nTry loading or rejoining the server.,サーバーが見つからないため続行できません。\n\nサーバーを読み込むか、再参加してください。
"Ultimately, your success will depend on your intelligent collaboration and governship among your fellow citizens.",隕石を回避できるかどうかは、他の市民たちとの知的な協力と、コミュニティの適切な統治によって大きく左右されます。
Recipes\n,レシピ\n
Bank Account:,銀行口座:
Make a Transfer,送金する
Your Accounts,あなたの口座
Source Bank Account,送金元銀行口座
Send,はい
Welcome,ようこそ
General,一般
Meteor,隕石
Trades,トレード
Pipes,パイプ
Admin {0} has kicked you.,管理者 {0} があなたをキックしました。
{0} has banned you.,{0} があなたをBANしました。
You were prevented from playing on this server.,あなたはこのサーバーでプレイできません。
Infinity,無限
Not enough store trades to determine exchange rate.,為替レートを確認するのに十分なお店の取引がありません。
Initializing world layers,ワールドレイヤーを初期化中
Ticking world layers,ワールドレイヤーに変化を起こす
Generating world {0},ワールド {0} を生成中
Generating terrain,地形を生成中
Determining visibility,可視性の設定
Caching world data,ワールドデータをキャッシュ中
Converting world to new format,ワールドを新しい形式に変換中
Initializing world,ワールドを初期化中
Saving world,ワールドを保存中
Initializing plants,植物を初期化中
Server Initialization,サーバーを初期化中
Initializing items,アイテムを初期化中
Initializing skills,スキルを初期化中
Amount Required per Organism: {0},生物ごとに必要な量: {0}
Worth {0} {1} on average from 1 trade,1 回の取引の取引額 {0} {1}
Worth {0} {1} on average from {2} trades,{2} 回の取引の取引額 {0} {1}
Standard deviation of rates: {0},レートの標準偏差: {0}
"{0} on property, must be more than {1}.",土地に {0}、{1} 以上でなければなりません。
"{0} on property, must be less than {1}.",専有している土地は{0} ですが{1} 未満でなければならない。
You are not logged in to a Steam account.,Steamアカウントにログインしていません。
You are not logged in to an SLG account.,SLGアカウントにログインしていません。
"Note that once you do, the permissions can never be changed again by anyone.",なお、この操作を行うと誰も権限を再び変更することはできなくなります。
(Displaying last {0} transactions.),(直近の {0} 件の取引を表示中)
Due in,期限:
"{0} hours,",{0} 時間、
{0} minutes.,{0} 分。
Payment on Completion,完了時の支払い
{0} ({1}) to retain from contractor on completion,完了時に {0} ({1}) を請負人から徴収
Unnamed Contract,名前のない契約
Crafted at a {0},{0} で製作されました
Permissions on {0} added.,{0} に対する権限が追加されました。
Permissions on {0} removed.,{0} に対する権限が外されました。
Harvesting fully grown plant yielded no resources. Try planting in a better location.,成長しきった植物を収穫しても資源は得られませんでした。もっと良い場所に植えてみましょう。
{0} changed the global skill rate multiplier from {1} to {2}.,{0} がグローバルスキルレート倍率を {1} から {2} に変更しました。
You saved the world! It only took {0:N1} seconds for you!,あなたは世界を救いました！かかった時間はたったの {0:N1} 秒でした！
Added {0}. All requested items are present.,{0} が追加されました。要求されたアイテムはすべて存在します。
Removed {0}. All requested items are present.,{0} が削除されました。要求されたアイテムはすべて存在します。
Removed {0}. {1} remaining.,{0} が削除されました。残り {1}。
{0} turned on,{0} がオンになりました
{0} turned off,{0} がオフになりました
You can't carry {0:n0} more {1:items} ({2} max).,{0:n0} 以上の {1:items} を運ぶことはできません (最大 {2})。
Ecko demands {0}!,Ecko は {0} を要求しています！
{0} forgave {1} of your debt.  Debt is now cancelled.,{0} があなたの借金のうち {1} を棒引きしました。借金はなくなりました。
{0} forgave {1} of your debt. {2} debt remains.,{0} があなたの借金のうち {1} を棒引きしました。借金は残り {2} です。
{0} paid off {1} in debt.,{0} が借金 {1} を返済しました。
Cannot post invalid contract.,契約が無効なため掲示できません。
Contract {0} deleted.,契約 {0} が削除されました。
{0} accepted your contract: {1}\n{2} {3},{0} があなたの契約を受諾しました: {1}\n{2} {3}
nothing,何もなし
Washing,洗濯
Bed,ベッド
Rug,ラグ
Shelves,棚
Fueled,燃料補給済み
Out of fuel,燃料切れ
Room Requirements,必要空間
N,
NE,
E,
SE,
S,
SW,
W,
NW,
Can only add users to this list.,このリストにはユーザーしか追加できません。
Registrar,登録者
Managers,マネージャー
Bank Account,銀行口座
Slush Fund,贈賄資金
Petty Cash,小口現金
Crown Jewels,戴冠用宝玉
Secret Stash,秘密の隠し場所
Off-Shore Account,オフショア口座
Retirement Funds,退職基金
Mutual Fund,投資信託
Tax Revenues,税収
Old Money,世襲財産
New Money,新財源
Rainy-Day Fund,困窮時用蓄え資金
Reserve Account,準備金
Venture Capital,ベンチャーキャピタル
Dividends,配当
Build a tier {0} room at {1} of {2} volume.,{1}/{2} 体積、ティア{0} の部屋を建設してください。
"Volume of room is {0}, must be at least {1}.",部屋の体積は {0} で、少なくとも {1} 以上である必要があります。
"Tier of room is {0}, must be at least {1}.",部屋のティアは{0} であり、少なくとも{1} でなければならない。
May be appointed by {0}.,{0} によって任命される必要があります。
ID: {0},
Appointers,任命者
Appointees,被任命者
{0} already has the title {1}.,{0} はすでに役職 {1} を持っています。
{0} assigned the title {1} to {2}.,{0} が役職 {1} を {2} に任命しました。
{0} does not have the title {1}.,{0} は役職 {1} を持っていません。
{0} removed the title {1} from {2}.,{0} が役職 {1} を {2} から外しました。
No users are assigned this title.,この役職を任命されているユーザーはいません。
"{0} cleared the title {1}, removing {2}.",{0} が役職 {1} を削除し、{2} を外しました。
{0} deleted the title {1}.,{0} が役職 {1} を削除しました。
{0} renamed {1}.,{0} が {1} の名前を変更しました。
{0} changed parameters of title {1}.,{0} が役職 {1} のパラメータを変更しました。
{0} spawned random titles.,{0} が役職をランダムにスポーンしました。
themselves,自身
King,王
Czar,皇帝
Baron,男爵
President,大統領
Vice-President,副大統領
Minister,大臣
Dictator,独裁者
Janitor,管理人
Duke,公爵
District Manager,地域マネージャー
Superintendent,監督者
Principal,校長
Officer,オフィサー
Prime Minister,首相
"When calling a command with a {0}, you can specify either its name or the ID number (found in their tooltip).",{0} でコマンドを呼び出す場合、名前または ID 番号 (ツールチップに表示) を指定することができます。
Server unique identifier (generates automatically). Should be cleaned-up for new server.,サーバーの一意の名前 (自動生成)。新しいサーバーのためにクリーンアップしてください。
Server passport which used to confirm it owns ID. Protects from server substitution. Should be cleaned-up for new server.,ID を所有していることを確認するために使われるサーバーパスポート。サーバーの置換を防ぎます。新しいサーバーの場合はクリーンアップする必要があります。
{0} for {1} ({2} available),{0} に {1} (販売個数 {2})
{0} for {1} ({2} wanted),{0} に {1} (購入個数 {2})
Restoring backup '{0}'...,バックアップ '{0}' の復元中...
Circulation:,流通量:
Can't find lender bank account to pay into,支払い先の貸主の銀行口座が見つかりません
Placing water,水を配置中
BackupPlugin,
ControllerManager,
StorageManager,
WebServerPlugin,
DisasterPlugin,
EconomyPlugin,
ReputationPlugin,
EconomyTracker,
GarbagePlugin,
MinimapManager,
EcoObjectManager,
WorldObjectManager,
ObjectivePlugin,
UserManager,
PropertyManager,
RoomPlugin,
DifficultySettings,
LocalizationPlugin,
SleepPlugin,
ModKitPlugin,
NetworkManager,
ClimateSim,
EcoSim,
TimePlugin,
WorldLayerManager,
WorldPlugin,
WorldGeneratorPlugin,
Steam Truck,蒸気トラック
IntegrationTestsPlugin,
Redwood,セコイア
Palm,ヤシ
Trillium,トリリウム
Taro,タロイモ
Switchgrass,スイッチグラス
Saxifrage,ユキノシタ
Pumpkin,カボチャ
Pineapple,パイナップル
Peat Moss,ピートモス
Papaya,パパイヤ
Orchid,蘭
Ocean Spray,オーシャンスプレー
Lupine,ルピナス
Lattice Mushroom,格子きのこ
Heliconia,ヘリコニア
Dwarf Willow,ドワーフウィロー
Desert Moss,砂漠の苔
Deer Lichen,鹿地衣類
Cookeina Mushroom,ウスベニコップタケ
Bolete Mushroom,ヤマドリタケ
Big Bluestem,ビッグブルーステム
Arctic Willow,北極ヤナギ
Agave,アガベ
Deer,鹿
Water Pump,ウォーターポンプ
Pumps water from a source into a pipe network.,水源からパイプネットワークに水を送ります。
Treats raw sewage.,下水を処理する。
Sink,シンク
An industrial sink.,工業用シンク
Spooky pumpkin that emits a mystical light.,神秘的な光を放つ不気味なカボチャ。
Advanced smelting aids in the production of steel - a key ingredient in the progress of any group.,高度な製錬は鉄鋼の生産を助ける - あらゆるグループの進歩における重要な要素。\n
Advanced baking mostly improves recipes that involve a leavening agent.,高度なパン焼きスキルを習得すると、パン種の入っているレシピの多くを改良できるようになります。
Trillium Seed,トリリウムの種子
Plant to grow trillium.,トリリウムを栽培するための植物
Trillium Seed Pack,トリリウムの種袋
Taro Seed,タロイモの種
Plant to grow taro.,タロイモの苗
Taro Seed Pack,タロイモの種袋
Saxifrage Seed,ユキノシタの種
Plant to grow saxifrage.,ユキノシタを植える
Saxifrage Seed Pack,ユキノシタの種袋
Redwood Seed,レッドウッドの種
Plant to grow a redwood tree.,レッドウッドを植える
Redwood Seed Pack,セコイアの種袋
Pumpkin Seed,カボチャの種
Plant to grow a pumpkin.,カボチャを植える
Pumpkin Seed Pack,カボチャの種袋
Pineapple Seed,パイナップルの種
Plant to grow a pineapple plant.,パイナップルを植える
Pineapple Seed Pack,パイナップルの種袋
Papaya Seed,パパイヤの種
Plant to grow a papaya plant.,パパイヤを植える
Papaya Seed Pack,パパイヤの種袋
Palm Seed,ヤシの種
Plant to grow a palm tree.,ヤシの苗木
Palm Seed Pack,ヤシの種袋
Orchid Seed,ランの種
Plant to grow an orchid.,蘭の苗
Orchid Seed Pack,ランの種袋
Ocean Spray Seed,オーシャンスプレーの種
Plant to grow ocean spray.,オーシャンスプレーの苗
OceanSpray,オーシャンスプレー
Ocean Spray Seed Pack,オーシャンスプレーの種袋
Lupine Seed,ルーピンの種
Plant to grow lupine.,ルーピンの苗
Lupine Seed Pack,ルーピンの種袋
Lattice Mushroom Spores,格子きのこの胞子
Plant to grow lattice mushrooms.,格子きのこの苗
LatticeMushroom,格子きのこ
Lattice Mushroom Spores Pack,格子きのこの胞子の塊
Heliconia Seed,ヘリコニアの種
Plant to grow heliconia.,ヘリコニアの苗。
Heliconia Seed Pack,ヘリコニアの種袋
Dwarf Willow Seed,ドワーフウィローの種
Plant to grow dwarf willow.,ドワーフウィローの苗木。
DwarfWillow,ドワーフウィロー
Dwarf Willow Seed Pack,ドワーフウィローの種袋
Cookeina Mushroom Spores,ウスベニコップタケの胞子
Plant to grow cookeina mushrooms.,ウスベニコップタケの苗
CookeinaMushroom,ウスベニコップタケ
Cookeina Mushroom Spores Pack,ウスベニコップタケの胞子の塊
Bolete Mushroom Spores,ヤマドリタケの胞子
Plant to grow bolete mushrooms.,ヤマドリタケの苗
BoleteMushroom,ヤマドリタケ
Bolete Mushroom Spores Pack,ベニテングダケの胞子の塊
Big Bluestem Seed,ビッグブルーステムシード
Plant to grow a big bluestem plant.,パイナップルを植える
BigBluestem,ビッグブルーステム
Big Bluestem Seed Pack,ビッグブルーステムの種袋
Arctic Willow Seed,北極ヤナギの種子
Plant to grow arctic willow.,北極ヤナギを育てるための植物。
Arctic Willow Seed Pack,北極ヤナギの種袋
Agave Seed,アガベの種子
Plant to grow an agave plant.,アガベ植物を育てるための植物。
Agave Seed Pack,アガベの種袋
Rainforest Salad,熱帯雨林のサラダ
Rainforest Fruit Salad,熱帯雨林のフルーツ サラダ
Mushroom Medley,キノコのメドレー
Shale,頁岩
"A soft rock, with few potential uses. Shale is a sedimentary rock formed by thin layers of compacted clay or mud.",軟らかい岩石で、潜在的な用途はほとんどない。頁岩は圧縮された粘土や泥の薄い層によって形成される堆積岩である。
Sandstone,砂岩
Quicklime,生石灰
A chemical compound used in steel production.,鉄鋼生産に使用される化学化合物。
Mountain Goat Carcass,シロイワヤギの死体
A dead mountain goat.,死んだシロイワヤギ
Old stone,古い石
Mortared Sandstone,砂岩モルタル
Mortared Limestone,石灰モルタル
Mortared Granite,花崗岩モルタル
Limestone,石灰岩
"A hard rock useful for construction and industrial processes. Limestone is sedimentary, forming mostly from the fallen compacted remains of marine organisms.",建築や工業プロセスに有用な硬い岩石。石灰岩は堆積岩で、主に海洋生物の遺骸が落下して圧縮されたものから形成される。
Granite,花崗岩
"A hard rock useful for construction, and host to various ores. Granite forms from cooling magma deep underground. It is the most common continental rock type!",建築に有用な硬い岩石で、さまざまな鉱石を産する。花崗岩は、地下深くでマグマが冷えて形成される。最も一般的な大陸の岩石である
Gneiss,片麻岩
A hard rock with some uses in construction. Gneiss is a metamorphic rock formed from previous rock recrystallizing at high pressures and temperatures deep in the earth.,建築に使われることもある硬い岩石。片麻岩は、以前の岩石が地中深くで高い圧力と温度で再結晶してできた変成岩です。
Deer Carcass,鹿の死体
A dead deer.,死んだ鹿
Clay,粘土
"A very fine grained deposit of weathered bits of rock. Plastic when wet and brittle when dry, clay is impermeable to many liquids and useful for many industrial and environmental purposes.",岩石が風化してできた非常に細かい粒子の堆積物。粘土は湿った状態では可塑性があり、乾燥するともろくなる。
Bighorn Carcass,ビッグホーンの死体
A dead bighorn.,死んだビッグホーン
Basalt,玄武岩
"A hard and heavy rock with some uses in construction. Basalt forms directly from lava erupted volcanically, making it an extrusive igneous rock. The basis of all bedrock in the oceans.",硬くて重い岩石で、建築に使われることもある。玄武岩は、火山で噴出した溶岩から直接形成されるため、火成岩の一種である。海洋のすべての岩盤の基礎となる。
Taro Root,タロイモの根
Pineapple Friend Rice,パイナップルチャーハン
"A homely recipe made from a mix of cooked rice and fruit. Not only is it friendly, but it also happens to be pan fried.",炊き込みご飯とフルーツをミックスした家庭的なレシピ。フレンドリーなだけではなくフライパンで焼くこともある。
Cookeina Mushrooms,ウスベニコップタケ
Charred Taro,焦げたタロイモ
Charred Pineapple,焦げたパイナップル
Charred Papaya,焦げたパパイヤ
Charred Agave,焦げたリュウゼツラン
Bolete Mushrooms,ヤマドリタケ
Boiled Rice,茹でた米
Baked Agave,焼いたリュウゼツラン
Agave Leaves,リュウゼツランの葉
Urban Traveller: SelfImprovement,都会の旅人: 自己改善
Tool Strength: Logging,道具の強度: 木こり
Tool Strength: Mining,道具の強度: 採鉱
Tool Strength: Gathering,道具の強度: 採集
Tool Efficiency: Logging,道具の効率: 木こり
Tool Efficiency: Mining,道具の効率: 採鉱
Tool Efficiency: Gathering,道具の効率: 採集
Sweeping Hands: Mining,すくい取る手: 採掘
Nature Adventurer: SelfImprovement,自然の冒険者: 自己改善
Natural Gatherer: Gathering,自然採集者: 採集
Lucky Break: Mining,幸運な壊れ目: 採鉱
Loggers Luck: Logging,木こりの幸運: 木こり
Lavish Workspace: AdvancedBaking,豪華な作業空間: 高度な焼成
Lavish Workspace: AdvancedCooking,豪華な作業空間: 高度な料理
Lavish Workspace: AdvancedSmelting,豪華な作業空間: 高度な精錬
Lavish Workspace: Baking,豪華な作業空間: 焼成
Lavish Workspace: BasicEngineering,豪華な作業空間: 基礎工学
Lavish Workspace: Butchery,豪華な作業空間: 食肉加工
Lavish Workspace: Cooking,豪華な作業空間: 料理
Lavish Workspace: CuttingEdgeCooking,豪華な作業空間: 最先端料理
Lavish Workspace: Electronics,豪華な作業空間: 電子工学
Lavish Workspace: Fertilizers,豪華な作業空間: 肥料
Lavish Workspace: Glassworking,豪華な作業空間: ガラス加工
Lavish Workspace: Industry,豪華な作業空間: 産業
Lavish Workspace: Mechanics,豪華な作業空間: 機械
Lavish Workspace: Milling,豪華な作業空間: 製粉
Lavish Workspace: OilDrilling,豪華な作業空間: 石油採掘
Lavish Workspace: PaperMilling,豪華な作業空間: 製紙
Lavish Workspace: Smelting,豪華な作業空間: 精錬
Lavish Workspace: Tailoring,豪華な作業空間: 裁縫
Frugal Workspace: AdvancedBaking,質素な作業空間: 高度な焼成
Frugal Workspace: AdvancedCooking,質素な作業空間: 高度な料理
Frugal Workspace: AdvancedSmelting,質素な作業空間: 高度な精錬
Frugal Workspace: Baking,質素な作業空間: 焼成
Frugal Workspace: BasicEngineering,質素な作業空間: 基礎工学
Frugal Workspace: Butchery,質素な作業空間: 食肉加工
Frugal Workspace: Cooking,質素な作業空間: 料理
Frugal Workspace: CuttingEdgeCooking,質素な作業空間: 最先端料理
Frugal Workspace: Electronics,質素な作業空間: 電子工学
Frugal Workspace: Fertilizers,質素な作業空間: 肥料
Frugal Workspace: Glassworking,質素な作業空間: ガラス加工
Frugal Workspace: Industry,質素な作業空間: 産業
Frugal Workspace: Mechanics,質素な作業空間: 機械
Frugal Workspace: Milling,質素な作業空間: 製粉
Frugal Workspace: OilDrilling,質素な作業空間: 石油採掘
Frugal Workspace: PaperMilling,質素な作業空間: 製紙
Frugal Workspace: Smelting,質素な作業空間: 精錬
Frugal Workspace: Tailoring,質素な作業空間: 裁縫
Focused Workflow: AdvancedBaking,ワークフロー重視: 高度な焼き料理
Focused Workflow: AdvancedCooking,ワークフロー重視: 高度な料理
Focused Workflow: AdvancedSmelting,ワークフロー重視: 高度な精錬
