Context,English,French
,Error inserting stat of type {0} into database,Erreur lors de l'insertion de la statistique de type {0} dans la base de données
,Stats Display Text,Texte d'affichage des statistiques
,Stats Status,Statut des statistiques
,On what height the animal could climb?,A quelle altitude l'animal peut-il grimper ?
,This server will be used as fallback to proxy traffic between server and client if no direct connection possible. Should be in following format: host_or_ip:port,Ce serveur sera utilisé comme solution de repli pour le trafic proxy entre le serveur et le client si aucune connexion directe n'est possible. Il doit être au format suivant : host_or_ip:port
,Currency associated with this mint: {0},Monnaie associée à cet hôtel de la monnaie : {0}
,Inventory only accepts carried items,L'inventaire accepte uniquement les objets portés
,Can only add items that need repairing.,Vous ne pouvez ajouter seulement des objets nécessitant une réparation.
,Inventory only accepts non-carried items,L'inventaire accepte uniquement les objets non portés
,Inventory is too heavy,L'inventaire est trop lourd
,Inventory only accepts fuel,L'inventaire accepte seulement le carburant
,Inventory only accepts seeds,L'inventaire accepte seulement les graines
,Inventory only accepts clothing items fitting that slot,L'inventaire n'accepte que les objet de type habit correspondant à cet emplacement
,Displays the citizen-run economy across the world.,Présente l'économie gérée par les citoyens dans le monde entier.
,Work list cannot be empty!,Le groupe de travail ne peut être vide !
,Declined by the player.,Décliné par le joueur.
,Work Party,Groupe de travail
,Contracts related to {0} recalculated,Les contrats liés à {0} ont été recalculés
,Nested clause failed because all sub-clauses failed:\n\n{0},La clause imbriquée a échoué parce que toutes les sous clauses ont échoué :\n\n{0}
,Nested clause failed because at least one sub-clauses failed:\n\n{0},La clause imbriquée a échoué parce qu'au moins une sous clause a échoué :\n\n{0}
,Nested clause failed because at least one sub-clause succeeded:\n\n{0},La clause imbriquée a échoué parce qu'au moins une sous-clause a réussi :\n\n{0}
,"This clause allows players to define in words what they would like done.  When using this clause, the contract can no longer be auto-approved, and the client will have to approve it before accepting it. When accepting a contract with a custom clause, it is wise to first review the reputation of the citizen offering it, because it is fully at their discretion to approve or deny its completion.\n\nYou must uncheck {0} at the bottom of the contract to use this clause.","Cette clause permet aux joueurs de définir avec des mots ce qu'ils aimeraient faire. Lors de l'utilisation de cette clause, le contrat ne peut plus être auto-approuvé et le client devra l'approuver avant de l'accepter. Lorsque vous acceptez un contrat avec une clause personnalisée, il est plus prudent de vérifier d’abord la réputation du citoyen qui l’offre, car c’est à son entière discrétion d’approuver ou de refuser son exécution.\n\nVous devez décocher {0} en bas de contrat pour utiliser cette clause."
,Requested tier can't be reached. Max tier is {0},Le niveau demandé ne peut être atteint. Le niveau maximum est {0}
,Cannot finish contract,Impossible de finir le contrat
,Can't mark finished job as failed,Impossible de marquer un travail terminé en tant qu'échoué
,inside,à l'intérieur de
,outside,à l'extérieur
,Number of hours since the citizen's first login.,Nombre d'heures depuis la première connexion du citoyen.
,The citizen whose age we're testing.,Le citoyen dont on teste l'âge.
,Number of hours the world has been active.,Le nombre d'heures où le monde a été actif.
,Number of days the world has been active.,Le nombre de jours où le monde a été actif.
,Is this citizen currently not an admin?,Ce citoyen n'est-il actuellement pas un administrateur ?
,on owned land,sur une parcelle revendiquée
,on unowned land,sur une parcelle non revendiquée
,Property owned by,Propriété revendiquée par
,Property not owned by,Propriété non revendiquée par
,Property authorized for,Propriété autorisée pour
,"Must the user have only one, or all of the listed memberships?","L'utilisateur doit-il avoir une seule, ou toutes les adhésions énumérées ?"
,Detect if a citizen is a member in a set of demographics.,Détecter si un citoyen fait partie d'un ensemble de titres démographique.
,Detect if a citizen is a member in a set of titles.,Détecter si un citoyen est membre d'un ensemble de titres.
,The titles that will be checked on the specified citizen.,Les titres qui seront vérifiés sur les citoyens spécifiés.
,Trigger happened on owned land.,Déclencheur déclenché sur une parcelle revendiquée.
,Trigger happened on unowned land.,Déclencheur déclenché sur une parcelle non revendiquée.
,Requirements regarding property rights.,Exigences concernant les droits de propriété.
,The citizen or group to test.,Le citoyen ou le groupe à tester.
,Should they be authorized or unauthorized?,Doivent-ils être autorisés ou non ?
,not {0},pas {0}
,Compare two values.,Compare deux valeurs.
,Test a subset of conditions.,Tester un sous-ensemble de conditions.
,Returns opposite of specified value.,Renvoie un opposé de la valeur spécifiée.
,The opposite of this value will be used.,L'opposé de cette valeur sera utilisé.
,The operation to perform.,L'opération à effectuer.
,Take a percentage of a given number.,Prendre un pourcentage d'un nombre donné.
,All property owned {0}by {1},Tous les biens {0} appartiennent à {1}
,only,seulement
,Property owned by this citizen.,Propriété appartenant à ce citoyen.
,"Should only property that is solely owned by the specified citizen be considered? If not set, joint owned property will be chosen as well.","Faut-il considérer uniquement les biens qui appartiennent exclusivement au citoyen spécifié ? Si ce n'est pas le cas, la propriété commune sera également choisie."
,All property owned by a citizen.,Toutes les propriétés appartenant à ce citoyen.
,"Separate from how many total terms a citizen can serve, this value defines how many terms a citizen can have consecutively.","Indépendamment du nombre total de mandats qu'un citoyen peut servir, cette valeur définit le nombre de mandats qu'un citoyen peut servir consécutivement."
,Plot,Parcelle
,if {0} then {1},si {0} alors {1}
,Executive Action by {0},Action de l'exécutif déclaré par {0}
,Change owner of {0} to {1},Le propriétaire a été changé de {0} à {1}
,Executive action by {0},Action de l’exécutif déclaré par {0}
,the Executive Office,le bureau de l'exécutif
,Paying,Payant
,Collecting,Collecte
,Ignore Auth,Ignorer l'accès
,An action to take when a law is triggered.,L'action à effectuer quand la loi est déclenchée.
,Prevents the triggering action from happening.,Empêche le déclenchement de l'action.
,The player or group to tax.,Le joueur ou le groupe à taxer.
,Give money to a given citizen or group.,Donne de l'argent à un citoyen ou un groupe donné.
,Ignore all authorization restrictions for the triggering action.,Ignorer toutes les restrictions d'autorisation pour l'action déclenchante.
,Change the owners of a set of property.,Change le propriétaire pour un ensemble de propriétés.
,The owner to assign the property.  Leave blank to remove the owner and unclaim the property.,Le propriétaire auquel assigner la propriété. Laisser blanc pour supprimer le propriétaire et libérer la propriété.
,Change Property Owner,Changer le propriétaire de la propriété
,then,alors
,or event,ou l'événement
,Section {0},Article {0}
,Values From {0},Valeurs depuis {0}
,Not {0},Pas {0}
,Missing context {0},Contexte manquant {0}
,Citizens applied to: {0},Citoyens concernés : {0}
,Citizens not applied to: {0},Citoyens non concernés : {0}
,Executive Action,Action de l'exécutif
,Results:,Résultats :
,met conditions,les conditions ont été remplies
,did not meet conditions,les conditions n'ont pas été remplies
,No results,Aucun résultat
,For each citizen matching conditions:,Pour chaque citoyen correspondant à ces conditions :
,Perform the following:,Effectuez les opérations suivantes :
,Applied Executive Action,Action de l'exécutif appliquée
,Not Applied Executive Action,Action de l'exécutif non appliquée
,Perform an executive action on each citizen.,Effectuer une action de l'exécutif sur chaque citoyen.
,Should the way a citizen votes be hidden?,Faut-il cacher le vote des citoyens ?
,Starting replacement election for current office.,Début de l'élection de remplacement pour le poste actuel.
,There's already an active election regarding {0}: {1},Il y a déjà une élection active concernant {0} : {1}
,{0} started for {1}!,{0} a commencé le {1} !
,{0} vetoed.,{0} a posé son veto.
,Remove constitutional articles,Supprime les articles constitutionnels
,Add new constitutional articles:,Ajouter de nouveaux articles constitutionnels :
,"Specifies a change to the constituion. Allows adding, removing, and changing of civic articles.","Précise une modification de la constitution. Permet d'ajouter, de supprimer et de modifier des articles civiques."
,An optional existing article that is removed with this amendment.,Un article existant facultatif qui est supprimé avec cet amendement.
,A new article that will be added to the constitution.,Un nouvel article qui sera ajouté à la constitution.
,"Must set either a new constitutional article, or specify an article to be removed (or both).","Doit fixer soit un nouvel article constitutionnel, soit préciser un article à supprimer (ou les deux)."
,caused by {0},a été causé par {0}
,change {0},changer {0}
,perform {0},effectuer {0}
,Elected Titles,Titres des élus
,Executive Actions,Actions de l'exécutif
,Removed by {0}.,Supprimé par {0}.
,To {0}:,Pour {0} :
,{0} may do so immediately.,{0} peut le faire immédiatement.
,Nobody,Personne
,failing,échoue
,This is a special {0} that cannot be changed.,{0} est une donnée spéciale qui ne peut être modifiée.
,{0} already owns {1}.,{0} possède déjà {1}.
,{0} now owns {1}.,{0} possède maintenant {1}.
,"There is no existing citizen with username, steamid, or slgid '{0}'.","Il n'y a pas de citoyen existant avec ""{0}"" comme nom d'utilisateur, steamid, ou slgid."
,Ignored users list:,Liste des utilisateurs ignorés :
,You are not a citizen on this server,Vous n'êtes pas un citoyen sur ce serveur
,Disconnected from server,Vous avez été déconnecté du serveur
,User was logged in from another client.,L'utilisateur était connecté depuis un autre client.
,{0} in the World,{0} dans le monde
,{0} required,{0} nécessaire
,Labor,Travail
,Tagged Items,Articles étiquetés
,({0:username} {1:verb} by {2:bonus amount}),({0:username} {1:verb} par {2:bonus amount})
,"[When carried, use right-click to place.]","[Quand porté, utilisez Clic-Droit pour placer.]"
,"[When carried, use hammer to construct, or right-click to stack.]","[Quand porté, utilisez le marteau pour construire, ou Clic-Droit pour empiler.]"
,on table,sur la table
,"Number of hours between executions of this action.  It's run immediately when installed, then at this interval.","Nombres d'heures entre les exécutions de cette action. Elle tourne immédiatement, puis à l'intervalle fixé."
,Movement of items between inventories by a citizen.,Mouvement d'objets entre deux inventaires par un citoyen.
,Currency used.,Monnaie utilisée.
,Amount for payment.,Montant à payer.
,The citizen who posted the work.,Le citoyen qui a publié le travail.
,Current percent completion of total work.,Pourcentage actuel d'achèvement du travail total.
,A citizen offered a contract.,Un citoyen a proposé un contrat.
,A citizen accepted a contract.,Un citoyen a accepté un contrat.
,A citizen failed a contract.,Un citoyen a failli à son contrat.
,A citizen completed a contract successfully.,Un citoyen a mené à bien un contrat.
,A citizen started a work party.,Un citoyen a créé un groupe de travail.
,A citizen joined a work party.,Un citoyen a rejoint un groupe de travail.
,A citizen left a work party.,Un citoyen a quitté un groupe de travail.
,A work party was completed.,La mission d'un groupe de travail a été complété.
,A citizen performed work for a work party.,Un citoyen a effectué un travail pour un groupe de travail.
,Percent of work contributed.,Pourcentage contribué pour le travail.
,Was it a loan or bond?,Est-ce un prêt ou une obligation ?
,A citizen offered a loan or bond.,Un citoyen a ouvert un prêt ou une obligation.
,A citizen accepted a loan or bond.,Un citoyen a accepté un prêt ou une obligation.
,A citizen repaid a loan or bond successfully.,Un citoyen a remboursé un prêt ou une obligation.
,A citizen failed to pay back a loan or bond by the due date.,Un citoyen n'a pas pu rembourser un prêt ou une obligation à la date prévu.
,A citizen either fit or ceased to fit the criteria for a demographic.,Un citoyen correspond ou a cessé de correspondre aux critères d'un groupe démographique.
,The citizen who changed demographics.,Le citoyen qui vient de modifier la démographie.
,"Did The citizen become part of the demographic, or stop being part?",Le citoyen a-t-il fait partie de la population ou a-t-il cessé d'en faire partie ?
,A citizen claimed or unclaimed property.,Un citoyen a revendiqué ou libéré une propriété.
,The citizen who claimed or unclaimed the land.,Un citoyen a revendiqué ou libéré une parcelle.
,A citizen paid tax.,Un citoyen a payé une taxe.
,The citizen who paid.,Le citoyen qui a payé.
,A citizen received allocated government money.,Un citoyen a reçu des fonds alloués par le gouvernement.
,The citizen who was paid.,Le citoyen qui a été payé.
,The citizen who performed the action.,Le citoyen qui a effectué l'action.
,A citizen voted in an election.,Un citoyen a voté lors d'une élection.
,"If they voted for a citizen, this is that player.","S'ils ont voté pour un citoyen, c'est ce joueur."
,A citizen started an election.,Un citoyen a lancé une élection.
,A citizen entered or left an election as a candidate.,Un citoyen a candidaté ou s'est retiré d'une élection en tant que candidat.
,Did the citizen enter or leave the election?,Est-ce que le citoyen est entré ou sorti de l'élection ?
,A citizen won an election.,Un citoyen a remporté une élection.
,A citizen lost an election.,Un citoyen a perdu une élection.
,A citizen took a new specialty.,Un citoyen a pris une nouvelle spécialité.
,A citizen took a specialty in a profession they don't have yet.,Un citoyen a pris une spécialité dans un métier qu'il n'a pas encore.
,A citizen leveled-up a specialty.,Un citoyen a monté le niveau d'une spécialité.
,"A citizen leveled-up their character, gaining a new specialty to choose.","Un citoyen est monté d'un niveau, permettant la sélection d'une nouvelle spécialité."
,The citizen leveling up.,Le citoyen a monté de niveau.
,The citizen's new level.,Le nouveau niveau du citoyen.
,A citizen planted a plant.,Un citoyen a planté une plante.
,The citizen planting the plant.,Le citoyen plante une plante.
,Was the plant or animal destroyed or damaged?,Est-ce que l'animal ou la plante a été endommagé ou détruit ?
,A citizen chopped a tree.,Un citoyen a coupé un arbre.
,A citizen chopped a stump.,Un citoyen a coupé une souche.
,The total number of items to be created.,Le nombre total d'éléments à créer.
,The citizen who performed the interaction.,Le citoyen qui a effectué l'interaction.
,The work order.,La commande.
,A citizen added to a work order.,Un citoyen a été ajouté à une commande.
,The ingredient being added.,Ingrédient ajouté.
,The number of that item added.,Le nombre de cet objet ajouté.
,A work order was created.,Une commande a été créée.
,The item being crafted.,L'objet en cours de fabrication.
,The type of the block.,Le type du bloc.
,A citizen posted a chat message.,Un citoyen a envoyé un message dans discussion.
,A citizen remained logged in for a moment.,Un citoyen est resté connecté pendant un moment.
,A citizen logged in for the first time.,Un citoyen s'est connecté pour la première fois.
,The object doing the polluting.,L'objet qui pollue.
,A citizen dropped garbage.,Un citoyen a jeté des ordures.
,The citizen who dropped the garbage.,Le citoyen qui a jeté des ordures.
,"Time until the next trigger, represented in hours.","Temps avant le prochain déclenchement, représenté en heures."
,Contract,Contrat
,Finance,
,System,Système
,An action that can happen in Eco.,Une action qui peut se produire dans Eco.
,The tool used in the interaction.,L'outil utilisé dans l'interaction.
,Click to view Ecopedia page.,Cliquez pour voir la page Ecopedia.
,Sales tax,Taxe de vente
,Crafting fee tax,Taxe de fabrication
,Contract tax,Taxe sur le contrat
,Public direct Transfer tax,Taxe sur les transferts publics directs
,Own direct Transfer tax,Taxe sur les transferts personnels directs
,Tax rates changed\n {0},Les taux de taxe ont changé\n {0}
,{0} does not have access to {1}.,{0} n'a pas accès à {1}.
,Storage Container,Conteneur de stockage
,Perform Action,Réaliser l'action
,You can't afford to buy this deed for {0}.  {1} only has {2},Vous ne pouvez pas acheter ce titre de propriété pour {0}. {1} n'a que {2}
,Could not cancel this project: {0}. Remaining project cancelled.,Impossible d'annuler ce projet : {0}. Projet restant annulé.
,Completed projects cannot be cancelled.,Les projets achevés ne peuvent être annulés.
,Crafting Table,Atelier de fabrication
,{0} is active.,{0} est active.
,It can be overthrown if another constitution is created in a building exceeding this one by {0}%. Current building value: {1},Elle peut être renversée si une autre constitution est créée dans un bâtiment dépassant celle-ci de {0} %. Valeur actuelle du bâtiment : {1}
,{0} is {1} currently active.,{0} est {1} actuellement actif.
,"There is currently another active constitution election {0}, and no others may be started until it's complete.","Il y a actuellement une autre élection constitutionnelle active {0}, et aucune autre ne peut être entamée avant qu'elle ne soit terminée."
,"The value of this constitution's room ({0}) does not exceed the active constitution's room ({1} for {2}) by more than {3}% ({4} total), so it can not be ratified.","La valeur de la pièce de cette constitution ({0}) ne dépasse pas la pièce de la constitution active ({1} pour {2}) de plus de {3}% ({4} au total), elle ne peut donc pas être ratifiée."
,"The value of this constitution's room ({0}) exceeds the active constitution's room ({1} for {2}) by more than {3}%, so it can be ratified at anytime, overthrowing the previous government.","La valeur de la pièce de cette constitution ({0}) dépasse de plus de {3}% la pièce de la constitution active ({1} pour {2}), de sorte qu'elle peut être ratifiée à tout moment, renversant le gouvernement précédent."
,"{0} is disabled, can't ratify.","{0} est désactivé, impossible de ratifier."
,Can't ratify. {0}{1},Impossible de ratifier. {0}{1}
,"There is no active constitution, so this one can be ratified at anytime.","Il n'y a actuellement aucune constitution active, celle-ci peut donc être ratifiée à tout moment."
,Ratify {0},Ratifier {0}
,"Are you sure you want to remove this draft, {0}?","Voulez-vous vraiment supprimer ce projet, {0} ?"
,Are you sure you want to remove {0} immediately?,Voulez-vous vraiment supprimer {0} immédiatement ?
,You can only remove this via an election. Would you like to start that election to remove {0} now?,Vous ne pouvez le supprimer que par le biais d'une élection. Souhaitez-vous commencer cette élection pour supprimer {0} maintenant ?
,Legally allowed to pollute.,Légalement autorisé à polluer.
,Legally prevented from polluting. Turn on to retry.,Légalement empêché à polluer. Rallumer pour réessayer.
,The 'Abandoned Players' demographic will check this many past days for hours played by the user,"Les données démographiques des ""joueurs abandonnés"" s'appliquent à tous les utilisateurs qui ont joué moins d'heures au cours des derniers jours spécifiés ci-dessus"
,Can laws prevent someone from logging in or playing?  Enable with caution: users can create a law that blocks everyone from logging in if this is enabled.,Les lois peuvent-elles empêcher quelqu'un de se connecter ou de jouer ?  Activez cette option avec précaution : les utilisateurs peuvent créer une loi qui empêche tout le monde de se connecter si elle est activée.
,Details of {0} '{1}',"Détails de {0} ""{1}"
,Add {0} as a new {1},Ajoute {0} en tant que nouveau {1}
,Change {0} '{1}' to '{2}',"Change {0} ""{1}"" par ""{2}"
,Changes between old ({0}) and new ({1},Changements entre l'ancien ({0}) et le nouveau ({1}
,Current {0} ({1}):,Actuel {0} ({1}):
,Proposed {0} ({1}):,{0} ({1}) proposé :
,{0} began: Should {1} be changed to {2}?.,{0} a commencé : {1} doit-il être remplacé par {2} ?
,{0} began: Should {1} be removed?.,{0} a commencé : {1} doit-il être supprimé ?
,No object provided,Aucun objet fourni
,Cliffs,Falaises
,Wrong number of arguments for command: {0},Nombre d'arguments invalide pour la commande : {0}
,Wrong argument type for command: {0},Type d'argument invalide pour la commande : {0}
,Invalid number of arguments for command: {0},Nombre d'arguments invalide pour la commande : {0}
,Invalid block type for command: {0},Type de bloc invalide pour la commande : {0}
,Unknown command: {0},Commande inconnue : {0}
,Import string can't be empty.,Le champ de texte d'importation ne peut pas être vide.
,Command can't be empty.,La commande ne peut pas être vide.
,Import finished successfully.,L'importation s'est terminée avec succès.
,Initializing registrars for {0},Initialisation des registres pour {0}
,Else If,Sinon si
,Owned by {0}.,Propriété de {0}.
,Select a target to transfer ownership to.,Sélectionnez une cible vers laquelle transférer la propriété.
,Enter a Number,Saisir un nombre
,Manual Value,Valeur manuelle
,Impact in: ,Impact dans :
,Failed to parse table rich text: {0},Impossible d'analyser le texte enrichi de la table : {0}
,Create a copy of this world?,Créer une copie de ce monde ?
,Enter a name for this world:,Saisir un nom pour ce monde :
,Please choose another name for this world.,Veuillez choisir un autre nom pour ce monde.
,Hollow,Creux
,Drilling...,Forage...
,Finished!,Terminé !
,{0} plots. {1} sq m.,{0} parcelles. {1} m².
,Labor Complete,Travail terminé
,"You don't have {0}, so someone else will need to perform the labor on this work order. Do you still want to start it?","Vous n'avez pas {0}, donc quelqu'un d'autre devra effectuer le travail de cette commande. Êtes-vous sûre de vouloir le démarrer ?"
,object,objet
,In Election{0}{1},En élection {0} {1}
,Active {0},{0} actif
,Draft {0},Projet de {0}
,Revise {0},Modifier {0}
,Place block,Placer le bloc
,Place starting block,Placer le bloc de départ
,Place ending floor block,Placer le bloc sol de fin
,"Place height, {0} blocks","Placer une hauteur, de {0} blocs"
,Can't place here,Ne peut être placé ici
,Steam initialization failed with message: {0}\nIt may be related to one of problems described here: https://partner.steamgames.com/doc/sdk/api#initialization_and_shutdown\nYou can also may try to close all other Steam apps and restart client\nor login with SLG account.,L'initialisation de la vapeur a échoué avec le message : {0}\nIl peut être lié à l'un des problèmes décrits ici : https://partner.steamgames.com/doc/sdk/api#initialization_and_shutdown\nVous pouvez également essayer de fermer toutes les autres applications Steam et de redémarrer le client\nou de vous connecter avec un compte SLG.
,You are trying to use Family Sharing. This is not supported.,Vous essayez d'utiliser le partage familial. Ce n'est pas pris en charge.
,Nothing found,Introuvable
,Level of Details,Niveau de détails
,"Level of Details determines how good environment (like grass, leaves, etc.) look in game and how far it visible. Also affects small animals.\n\nPerformance impact: Average","Le niveau de détail détermine la qualité de l'environnement (comme l'herbe, les feuilles, etc.) dans le jeu et la distance à laquelle il est visible. Il affecte également les petits animaux.\n\nImpact sur les performances : Moyen"
,Window Name,Nom de fenêtre
,Autocraft,Fabrication automatique
,Transfer Funds,Transférer des fonds
,Add marker,Ajouter un marqueur
,Adds world marker to this block on your minimap so you will never miss your finds.,Ajoute un marqueur mondial à ce bloc sur votre mini carte pour que vous ne manquiez jamais vos trouvailles.
,Instead it...,"Au lieu de cela, il ..."
,"Yes, and yes...","Oui, et oui..."
,It should have...,Il aurait dû...
,Search text...,Recherche de texte...
,Fine red stone,Pierre rouge fine
,Show undiscovered,Afficher non découvert
,Look at block description,Regarder la description du bloc
,Eraser,Effaceur
,Filter,Filtrer
,max\n,
,Reset ecopedia viewed pages,Réinitialiser les pages vues d'ecopedia
,Audio,
,Your Civic Duties,Vos devoirs civiques
,Contained Districts,Quartiers contenus
,Current claimed: ,Actuellement revendiqué :
,Camera Mode,Mode Caméra
,(Right click to select plots),(Clic-Droit pour sélectionner des parcelles)
,Choose size,Choisir une taille
,Available:,Disponible :
,Group,Groupe
,Set notifications that will be displayed,Définir les notifications qui seront affichées
,Sale Price,Prix de vente
,Buy Price,Prix d'achat
,Number Wanted,Quantité voulu
,Number Available,Quantité disponible
,Prospecting,Prospection
,PEDIA,
,Cancel\n,Annuler\n
,New District,Nouveau quartier
,Advanced Crafting,Fabrication avancée
,Allows you to manually choose a specific recipe variation.,Vous permet de choisir manuellement une variation de recette spécifique.
,Form,Type de formes
,Fill Type,Type de remplissage
,Material,Matériel
,Notifications,
,District maps,Carte de quartiers
,Delete all,Tout supprimer
,Width,Largeur
,None​,Aucun
Chat command/Parameter for chat command /alert,alert,
Help text for chat command /alert,Sends an alert to everybody,Envoie une alerte à tout le monde
Chat command,clearobjective,
Help text for chat command /clearobjective,Clears a user's objective,Efface l'objectif d'un utilisateur
Chat command,dumpall,
,Change In Item Count,Modification du nombre d'articles
,Vote Type,Type de vote
,Constructed Or Deconstructed,Construit ou déconstruit
,Dropped Or Picked Up,Déposer ou ramasser
,Block Form,Types de formes de blocs
,If Then Block,Bloc Si Alors
,Message,
,Notification Type,Type de notification
,People To Send To,Personnes à qui l'envoyer
,Value To Display,Valeur à afficher
,Stat Name,Nom de la statistique
,Person,Personne
,Count,Compte
Help text for chat command /levelupuser,Level up a citizen by one.  Default levels you up.,"Augmenter le niveau d'un citoyen de un. Par défaut, vous montez de niveau."
,Loose Rubble,Pierres en vrac
,Not Loose Rubble,Pas de débris en vrac
,Constructed,Construit
,Deconstructed,Déconstruit
,Dropped,Déposer
,Picked Up,Ramassé
,Basic Notification,Notification de base
,Side Bar Message,Message dans la barre latérale
,On Screen Notice,Annonce sur l'écran
,First Vote In Election,Premier vote aux élections
,Changed Previous Vote,Précédent vote modifié
,Full Access,Accès total
,Consumer Access,Accès des utilisateurs
,RPCLogger,
,Excavation,
,Harvester,Récolteur
,Planter,
,{0} comment from {1}: {2},{0} commentaire de {1} : {2}
,{0} ({1:N2} seconds) ({2}),{0} ({1:N2} secondes) ({2})
,Message is empty,Le message est vide
,Objective for {0} cleared,Objectif pour {0} effacé
,Not authorized to add items there.,Non autorisé à y ajouter des éléments.
,Not authorized to remove items there.,Non autorisé à y supprimer des éléments.
,"This is a government account, and is thus not counted for wealth calculations and taxes are not collected from it.","Il s'agit d'un compte du gouvernement, et n'est donc pas pris en compte pour le calcul de la richesse et les impôts ne sont pas perçus à partir de ce compte."
,Your percent ownership of this account for wealth calculation purposes: {0},Votre pourcentage de propriété de ce compte à des fins de calcul de la richesse : {0}
,Government Banking Privileges,Privilèges bancaires gouvernementaux
,"(Only account managers are counted in percent ownership, unless there are no managers).","(Seuls les gestionnaires de comptes sont comptabilisés en pourcentage de propriété, sauf s'il n'y a pas de gestionnaires)."
,"Government accounts can receive and pay out tax funds, and are ignored when collecting tax and calculating personal wealth.  To set this, you must have government banking privileges, assigned by an Elected Title.","Les comptes du gouvernement peuvent recevoir et verser des fonds d'impôts, et sont ignorés lors de la collecte des impôts et du calcul de la richesse personnelle.  Pour cela, vous devez disposer de privilèges bancaires du gouvernement, attribués par un titre d'élu."
,Not enough {0} in {1},Pas assez {0} dans {1}
,in the last {0},dans le dernier {0}
,Record custom stat {0},Enregistrer une statistique personnalisée {0}
,for user {0},pour l'utilisateur {0}
,Stat name must be set.,Le nom de la statistique doit être défini.
,"Stat name '{0}' not allowed, may not contain spaces.","Le nom de statistique ""{0}"" n'est pas autorisé, ne doit pas contenir d'espaces."
,"Stat name '{0}' not allowed, may only contain letters and numbers.","Le nom de statistique ""{0}"" n'est pas autorisé, ne peut contenir que des lettres et des chiffres."
,Count how many times a custom stat has occurred.,Comptez combien de fois une statistique personnalisée s'est produite.
,Record a custom stat of your choosing.,Enregistrer une statistique personnalisée de votre choix.
,Person to associate with this recording of the stat (optional),Personne à associer à cet enregistrement de la statistique (optionnel)
,"Count associated with this event (optional, defaults to 1).","Nombre associé à cet événement (facultatif, 1 par défaut)."
,property plots,parcelles revendiquées
,property plots (including government-owned),parcelles revendiquées (y compris appartenant au gouvernement)
,owned by {0},appartenant à {0}
,plot,parcelle
,(ignoring ownership percent),(en ignorant le pourcentage de propriété)
,owned by anyone,appartenant à personne
,anyone,n'importe qui
,How many property plots a person owns or is a manager of. Multiple owners yields a pro-rated ownership amount.,Combien de parcelles revendiquées une personne possède ou dont elle est le gestionnaire. La multiplicité des propriétaires donne un montant de propriété calculé au prorata.
,The person whose property is being checked. Leave blank to count property owned by anyone.,La personne dont la propriété est vérifiée. Laissez vide pour compter la propriété détenue par n'importe qui.
,Districts to check with property.  Leave empty to ignore districts.,Quartiers à vérifier avec la propriété. Laissez vide pour ignorer les quartiers.
,Ignores property owned by demographics or elected titles.,Ignore les propriétés appartenant à la démographie ou aux titres élus.
,"If multiple people own a property (titles), this will weight ownership evenly among them.","Si plusieurs personnes possèdent une propriété (des titres), le poids de la propriété sera réparti de manière égale entre elles."
,How much currency a citizen has in all the bank accounts they manage (pro-rated when there are multiple managers). Ignores Government Accounts.,La quantité de monnaie dont dispose un citoyen sur tous les comptes bancaires qu'il gère (au prorata lorsqu'il y a plusieurs gestionnaires). Ne tient pas compte des comptes du gouvernement.
,Basic math operations.,Opérations mathématiques de base.
,Can holders of this position use the treasury bank account?,Les titulaires de ce poste peuvent-ils utiliser le compte bancaire du Trésor public ?
,{0} {1} block {2} failed: {3},{0} {1} block {2} a echoué : {3}
,Send a {0} '{1}' to {2},"Envoyez un {0} ""{1}"" à {2}"
,if,si
,else if,sinon si
,else,sinon
,unowned,sans propriétaire
,Message from {0} via executive action:,Message de {0} via une action de l'exécutif :
,Message from {0}:,Message de {0} :
,"Take money from a given citizen or group, applies to all accounts they manage (except government account).","Prendre l'argent d'un citoyen ou d'un groupe donné, s'applique à tous les comptes qu'ils gèrent (sauf le compte du gouvernement)."
,Send a custom notice to a set of people.,Envoyer un annonce personnalisée à un ensemble de personnes.
,The text to send.,Le texte à envoyer.
,The people to send to.,Les personnes à qui envoyer.
,An optional custom value to display at the end of the notice.,Une valeur personnalisée facultative à afficher à la fin de l'avis.
,The tests made to apply this effect.,Les tests effectués pour appliquer cet effet.
,The results if the conditions for this block are met.,Les résultats si les conditions de ce bloc sont remplies.
,{0} {1} trigger failed: {2},{0} {1} échec du déclenchement de : {2}
,{0} {1} trigger passed: {2},{0} {1} seuil adopté : {2}
,{0} {1} executed: {2},{0} {1} exécuté : {2}
,On event,Pour le cas suivant
,{0} timer,{0} minuteur
,person,personne
,people,personnes
,Requires {0} calories of{1} labor,Nécessite {0} calories de {1} travail
,Requires{0},Nécessite {0}
,every {0},chaque {0}
,on {0},sur {0}
,on each person in {0},sur chaque personne dans {0}
,"Movement of items between inventories by a citizen.  When moving between inventories, two actions are triggered.","Mouvement d'objets entre deux inventaires par un citoyen.  Lors d'un déplacement entre deux inventaires, deux actions sont déclenchées."
,"The number of items moved; positive if they're being put in, negative if taken out.","Le nombre d'objets déplacés ; positif s'ils sont placés, négatifs s'ils sont retirés."
,An object's interface panel was opened.,Le panneau d'interface d'un objet a été ouvert.
,"Is this the first time they've voted in the election, or are they changing a previous vote?","S'agit-il de la première fois où ils ont votés, ou ont-ils changé un vote antérieur ?"
,The tool used to plant.,L'outil utilisé pour planter.
