English,Korean
Balance: {0},잔고: {0}
{0:n1}ms,{0:n1}ms
Error during shutdown,종료 중 오류가 발생함
Joshua Tree,여호수아 나무
White Bursage,하얀 버세지
Barrel Cactus,고슴도치 선인장
White Bursage Seed,하얀 버세지 씨앗
Plant to grow a white bursage.,심으면 하얀 버세지가 자랍니다.
WhiteBursage,하얀 버세지
White Bursage Seed Pack,하얀 버세지 씨앗 묶음
Joshua Seed,여호수아 나무 씨앗
Plant to grow a joshua tree.,심으면 여호수아 나무가 자랍니다.
Joshua,여호수아 나무
Joshua Seed Pack,여호수아 나무 씨앗 묶음
Barrel Cactus Seed,고슴도치 선인장 씨앗
Plant to grow barrel cactus.,심으면 고슴도치 선인장이 자랍니다.
BarrelCactus,고슴도치선인장
Barrel Cactus Seed Pack,고슴도치 선인장 씨앗 묶음
Otter Carcass,수달 사체
A dead otter.,죽은 수달입니다.
Exclusive Fullscreen,전용 전체 화면
Borderless Fullscreen,테두리 없는 전체 화면
Windowed,창 화면
SwitchObject,스위치 구조물
ButtonObject,버튼 구조물
TollObject,통행료 구조물
LogicGateObject,논리 게이트 구조물
Specialty Leveled-Up\nLevel 5,특기 레벨-업\n레벨 5
WaterPumpObject,양수기 구조물
Logging\nGold,로깅\n금
Tool\nStrength,도구\n강도
Arrow\nEfficiency,화살\n효율
Lucky\nBreak,행운의\n곡괭이
Spruce,가문비나무
Spruce Seed,가문비나무 씨앗
Spruce Seed Pack,가문비나무 씨앗 묶음
Wheat Mortar,밀 모르타르
Masonry Mortar,석조 모르타르
Charred Mortar,그슬린 모르타르
Baked Mortar,구운 모르타르
"A byproduct of processing lumber, wood pulp can be burned for Mortar or pressed into paper.","목재 가공에서 나오는 부산물로, 태워서 모르타르로 만들거나 종이로 가공할 수 있다."
Mortar,모르타르
A log hewn and shaped to be a building material. Hewing logs at a workbench will grant no experience.,통나무를 잘라내고 건축 자재로 쓰이게 모양을 냈다. 잘라낸 통나무는 작업대에서 제작할 시 경험치를 얻지 못한다.
Player Trampled,플레이어가 짓밟은 곳
Can mine,채광 가능
Id,아이디
{0}: {1} {2} experience,{0}: {1} {2} 경험치
Added {0} to {1} managers.,{0} 님을 {1} 관리자로 추가하였습니다.
Removed {0} from {1} managers.,{0} 님을 {1} 관리자에 제거하였습니다.
Added {0} to {1},{0}을(를) {1}에 추가함
Removed {0} from {1},{1}에서 {0}을(를) 제거함
Can't make {0} the owner of {1} for security.,보안상의 이유로 {1}의 소유자를 {0}(으)로 설정할 수 없습니다.
{0} is now the owner of {1} account.,{0}은(는) {1} 계좌의 소유자가 됐습니다.
Changed {0} account name to,{0} 계좌의 변경된 이름
Custom,사용자 지정
Generate Random Landscape,무작위 지형 생성
Small,작은
Default,기본값
Large,큰
Insane,엄청난
Custom World Language,사용자 지정 세계 언어
Custom Difficulty Settings,사용자 지정 난도 설정
Impact Days,충돌까지 남은 날
Random,무작위
Time in days when the meteor will impact. Changing this value will override impact time for current active meteor.,운석이 충돌하기까지의 날을 설정합니다. 현재 값을 변경하게 된다면 현재 활성화된 운석 충돌 일도 변경됩니다.
{0} at {1},{1}에 {0}
{0} Bought {1},{0}이(가) {1}을(를) 구매함
Changes the distance at which game objects are rendered.\n\nPerformance impact: High,물체들이 렌더링 되는 거리를 변경합니다.\n\n성능 영향: 높음
Determines actual interface size.\n\nPerformance impact: None,실제 인터페이스 크기를 결정합니다.\n\n성능 영향: 없음
Determines how bright the final picture is.\n\nPerformance impact: None,밝기의 정도를 결정합니다.\n\n성능 영향: 없음
"Antialiasing aims to cut down on the pixellated, jagged edges you see in the game and helps to smooth out objects when you can't increase the resolution any further.\n\nPerformance impact: High",안티앨리싱은 화면 해상도를 더이상 올리지 못할때 물체 외곽 그래픽의 픽셀화를 부드럽게 해주는 기능입니다.\n\n성능 영향:높음
Shadow quality determines how good shadows look in game.\n\nPerformance impact: Average,게임에서 그림자 표현을 얼마나 세밀하게 하는지를 결정합니다.\n\n성능 영향: 평균
Render scale,렌더링 비율
"Render scale lets you use a 'lower resolution' while technically keeping your native resolution going. Playing at a 75% render scale will lower the load on your GPU as if it was a lower resolution while still displaying it in the proper, native resolution to avoid the blurry image.\n\nPerformance impact: High","렌더링 비율은 본래 화면의 해상도를 유지하면서 '낮은 해상도'로 출력을 바꿀 수 있습니다. 75%의 렌더링 비율로 설정 시 본래 해상도는 유지되고 화면이 흐릿해지지 않지만, 해상도를 직접적으로 낮춘 것처럼 GPU에 가하는 부담이 적어집니다.\n\n성능 영향: 높음"
Vertical Synchronization,수직 동기화
Enabling VSync tells your graphics card to synchronize its actions with your monitor. That means the graphics card is only allowed to render things to the monitor when the monitor says it is ready to repaint a new screen.\n\nPerformance impact: Average,"수직 동기화를 활성화 시, 그래픽 카드의 프레임과 모니터 프레임을 같게 설정해 줍니다. 즉 모니터가 그래픽 카드의 출력을 따라서 올 수 있을 때만 제대로 렌더링 할 수 있다는 겁니다.\n\n성능 영향: 평균"
Microphone,마이크
Voice Chat,음성 채팅
World dimensions should divide on {0},세계 면적은 {0}으(로) 나눠야 함
Failed to start the server. {0}: {1},서버를 구동하는데 실패함 {0}: {1}
Contract not accepted: cannot accept multiple copies of same contract at once.,계약이 수락되지 않음: 동일한 계약의 복사본들을 한 번에 수락할수 없습니다.
Ideal Water Range,이상적인 물 편차
Water Extremes,물 깊이
water Range,물 편차
Sunflower,해바라기
Seagrass,해초
Jointfir,마황
Sunflower Seed,해바라기 씨앗
Plant to grow sunflowers.,심으면 해바라기가 자랍니다.
Sunflower Seed Pack,해바라기 씨앗 묶음
Seagrass Seed,해초 씨앗
Plant to grow seagrass.,심으면 해초가 자랍니다.
Seagrass Seed Pack,해초 씨앗 묶음
Jointfir Seed,마황 씨앗
Plant to grow a jointfir.,심으면 마황이 자랍니다.
Jointfir Seed Pack,마황 씨앗 묶음
Common Grass,흔한 잔디
Ocean Biome,바다 지형
Deep Ocean Biome,깊은 바다 지형
Target water,물을 목표로 바라보세요
The plant's preferred salt water range.  Water in this range won't inhibit population growth or reduce yield.,이 식물에 적합한 소금물 농도 편차입니다. 이 편차 내 식물은 생장이 저해되지 않고 수확량 또한 감소되지 않을 것입니다.
The rainfall range that can support this plant (albeit at reduced efficiency if the rainfall is not also within the ideal range).  Rainfall outside this range prohibits reproduction entirely and prevent any yield at all.,이 식물에 적합한 강우량 편차입니다(이상적인 강우량 편차에서 벗어난 환경이 될 경우 생장 효율이 낮아지는 경우가 많습니다). 환경이 이 강우량 편차에서 벗어나는 경우 식물의 생장이 멈추고 수확을 할 수 없게 됩니다.
The salt water range that can support this plant (albeit at reduced efficiency if the salt water is not also within the ideal range).  Salt water outside this range prohibits reproduction entirely and prevent any yield at all.,이 식물에 적합한 염수 편차입니다(이상적인 염수 편차에서 벗어난 환경이 될 경우 식물의 생장 효율이 낮아집니다). 환경이 이 편차를 벗어나는 경우 식물의 생장이 멈추고 수확을 할 수 없게 됩니다.
"Identifier used to create the server's voice channel, keep secret",서버의 음성 채널을 만드는 데 사용되는 식별 코드입니다. 공개하지 마세요
"EXPERIMENTAL: Tick World Objects in parallel. May significantly increase performance, but also may cause crashes and inconsistency. Use it on your own risk.","해당 기능 연구 중: 세계 구조물과 동기화(틱) 의 병렬화를 시작합니다. 성능을 향상시킬 수 있지만, 불안정하여 충돌할 수 있습니다. 주의하십시오."
Can't find suitable server executable,실행 가능한 적합한 서버를 찾을 수 없음
Resource List,자원 목록
Sleeping,자는 중
Logging level for admin commands executed: None - no logging; Log File - logged in a file; Log File And Notify Admins - logged in a file and admins see a message in the chat; Log File And Notify Everyone - logged in a file and everyone see a message in the chat,관리자 명령어를 위한 로깅 레벨 실행: 없음 - 로깅 없음; Log File - 파일에 기록을 남김; Log File And Notify Admins - 파일에 접속하고 어드민에게 메시지로 표시; Log File And Notify Everyone - 파일에 접속하고 모두에게 메시지로 표시
Currently trapping animals.,현재 동물을 포획할 수 있는 상태입니다.
Push to talk,눌러서 말하기
Open mic,열린 마이크
Host in Cloud,클라우드 서버에 호스트
World runs while you run\nEco,본인이 플레이 할시에만 세계가 작동함\nEco
Host Locally,로컬에 호스트
World runs 24/7,세계 1년 내내 가동 중
Add 'Citizen' accounts to allow friends to play\nwithout owning Eco,친구와 플레이할 수 있도록 '시민' 계정을 추가함\nEco가 없어도 플레이할 수 있음
Voice chat,음성 채팅
Player voice,플레이어 음성
Click to mute player,클릭 시 플레이어 음소거
Click to unmute the player,클릭 시 플레이어 음소거 해제
Moisture,습도
Plant Group,식물군
Animal Group,동물군
Nutrient,영양소
Consumption,소비량
Misc,기타
Lights,조명
Power,동력
Sign,표지판
Research,연구
Experience Multiplier,경험치 배수
Posted by {0}. State: {1},{0}에 의해 게시되었습니다. 상태: {1}
SFX Volume\n,SFX 소리 크기\n
Music Volume,음악 소리 크기
Show speaking players on screen,현재 대화 중인 플레이어를 표시
Voice Volume,음성 크기
Push to Talk,눌러서 말하기
No Spread,확산 없음
"For plants that shouldn't ever grow more. Old growth, mostly. Normal growth is needed for world gen to work properly.",더는 자랄 수 없는 식물들을 위한 겁니다. 일반적으로 오래된 식물에 사용합니다. 어린 식물들은 세계가 제 일을 할 수 있도록 놔두어야 합니다.
Global Reputation,세계 평판
Object Rights,구조물 권리
Permanently,영구적으로
Contract End,계약 종료
{0} Location: {1},{0} 위치: {1}
IP Address or Hostname and Port,IP 주소 혹은 호스트 이름과 포트
hours,시간
percent,퍼센트
angle,각도
rubble,돌무더기
warning,경고
yield,수확
hour,시간
days,일(날)
durability,내구도
material,재료
lender,대출
borrower,차용자
copies,복사
cost,비용
val,수치
Entries,개체
XP,경험치
Item Type,물품 종류
Items Moved,물품 옮겨짐
Amount,수량
Number Of Items,물품의 개수
Bought,구매함
Seller,판매자
Cost,비용
Demographic,인구통계
Entered,가입완료
First Time,첫 시작
Claimed,소유함
Tax Rate,세율
Election,선거
Election Process,선거 과정
Elected Title,선출직 직책
Profession,직업
Specialty,특기
Felled,떨어짐
Branches Targeted,가지가 조준됨
Destroyed,파괴됨
Placed,배치됨
Tag,태그
Tons,톤
Source Account,원천 계좌
Element,요소
Applies to,적용 대상
Proposers,제안자
Any Law,모든 법률
Process,규정
Voters,유권자
If,만약
Then,결과 값
Else,다른
Trigger,발동
Conditions,조건
Causes,원인
Effects,효력
Left,비교 대상(왼쪽)
Right,오른쪽
Left Number,왼쪽 숫자
Right Number,오른쪽 숫자
Number,숫자
Requirements,요구 조건
Block,블록
Position,위치
Speech,연설
Elected,당선됨
Removed,제거됨
Active,활동적임
Storage Handle,저장소 손잡이
Total CO2 ppm,총 CO2 ppm
Past 24 Hours CO2 ppm Delta,지난 24시간의 CO2 ppm 델타
CO2 From Animals ppm,동물로 인한 CO2의 ppm
CO2 From Plants ppm,식물로 인한 CO2의 ppm
Initial Sea Level,초기 바다 높이
Sea Level Applied,해수면 적용됨
Unique Abbreviation,고유 약어
Controller ID,컨트롤러 ID
Is Considered Nearby Food During Spawn Check,스폰 체크 중 근처 식량 위치를 고려함
Invertebrates,무척추동물
Ecko accepts your tribute of {0:wanted} and grants you {1:given} for your devotion.,Ecko가 당신의 공물 {0:wanted}을(를) 받고 헌신에 대한 보상으로 {1:given}을(를) 수여 했습니다.
stomach capacity,위 용량
Wooden fish traps must be placed underwater in fresh water to function.,나무 통발은 민물 속에 설치해야 제대로 작동합니다.
Road Items,도로 물품
{0} leveled-up to level {1},{0}이(가) {1} 레벨로 올랐음
Use for spawn finder,생성 탐색을 위해 사용
Referenced By,다음 참조
A helpful player-created description explaining the purpose of this object for other players.,다른 플레이어에게 이 구조물의 목적에 대해 알리는 유용한 설명입니다.
Created by {0},{0}이(가) 제작
Playtimes for {0},{0} 플레이 시간
Total time: {0},총 시간: {0}
Object types include:,구조물 유형 포함:
The following sub-commands are available:,다음 하위 명령어 사용 가능:
Actionbar Items,도구 모음 물품
Current population of a given species.,해당 종의 개체 수입니다.
The species which should have its population measured.,개체 수를 측정한 종입니다.
The game action we're counting.,지금 통계를 내는 행위입니다.
"If set, only count actions by this user.",설정한 경우 이 유저의 행위만 통계를 냅니다.
Statistics,통계
success.,성공.
failed,실패
Must be inside or outside the listed districts?,목록에 있는 구역 내부입니까 아니면 바깥입니까?
Total online hours of {0},총 접속 시간 {0}
The range to check. '0' means count all online time.,색인할 범위입니다. '0'은 모든 접속 시간을 세는 값입니다.
Player,플레이어
{0} is {1},{0}은(는) {1}
Detect skills players have or lack.,플레이어가 해당 기술을 가졌는지 없는지 확인합니다.
Which skills to consider.,확인할 기술입니다.
"Must the user have only one, or all of the listed skills?",유저가 기술을 하나만 보유해도 됩니까? 아니면 목록에 있는 기술 모두를 보유해야만 합니까?
How many level-ups must the skills have?,기술 레벨이 몇이어야 합니까?
Which demographics to check.,확인할 인구통계입니다.
The left number of the operation.,작업에 대입한 왼쪽 수치입니다.
The right number of the operation.,작업에 대입한 오른쪽 수치입니다.
The value to take the percent from.,백분율로 표시할 값입니다.
The percentage to take.  100 = 100%.,백분율 100 = 100%.
The user whose personal bank account will be used.,개인 은행 계좌를 사용할 유저입니다.
And,그리고
Not,제외(Not)
Logic,형식 분류
Math,계산
Current Titles:,현재 직책:
Can holders of this position change treasury taxes?,해당 직책이 국세 설정을 바꿀 수 있는가?
Occupants:,직위를 지닌 자:
Properties:,부지:
Currently held by: {0}{1}Elected via {2},현재 직책: {0}{1} 선거 {2}을(를) 통해 선출됨
The rules for how this election is run.  Election Processes are defined directly by the constitution.,선거의 진행방식에 대한 규정입니다. 선거 규정은 헌법에 의해 직접적으로 정의됩니다.
Only candidates who are part of this group can run for this position.,해당 집단에 속한 후보자만이 해당 공직에 출마할 수 있습니다.
"An individual player may hold the position this many times, after which they will not be allowed to run for election.","플레이어 개인은 해당 직위를 몇 회 재임할 수 있으나, 그 횟수를 넘어가면 해당 직위 선거에 출마할 수 없게 됩니다."
Office Holders History,해당 공직 소유자 기록
Election currently running for this position: {0},현재 이 직위에 대해 진행 중인 선거:{0}
Valid.,유효합니다.
List must not be empty.,목록은 비워둘 수 없습니다.
Object is not set.,구조물이 설정되지 않았습니다.
(draft),(초안)
(proposed),(제안됨)
(removed),(제거됨)
If {0} then {1},{0}일 경우 {1}
{0} Else {1},{0} 또는 {1}
"{0}, proceeding.","{0}, 진행중."
Prevent.,방지.
Perform different actions depending on a test.,실험에 따라 다른 조치를 시행합니다.
Which currency to collect the tax in.,세금으로 징수될 화폐입니다.
The amount that is going to be taxed.,부과될 세금의 금액입니다.
Conditional,조건부
Ignore Authorization,권한 무시
{0} blocked by,{0} 차단됨
"When this action happens in the game, the conditions below will be tested for this law.","해당 행위가 일어날 때, 아래 조건들이 해당 법을 검사하게 됩니다."
The list of triggers that will cause this law to activate.,이 법률이 작동하게 되는 조건의 목록입니다.
On {0},{0}에서
is {0},은(는){0}
is not {0},{0} 아님
Nothing selected.,선택한 항목이 없습니다.
A set of rules for how an election is run.,선거가 진행되는 과정의 규정입니다.
Must specify who can vote in this election or who can veto it (or both).,이번 선거에 누가 투표할 수 있고 누가 거부할 수 있는지 혹은 둘 다 가능한지 설정해야 합니다.
nobody,아무도
Elections can be voted on by {0},{0} 선거에서 투표할 수 있음
Elections can be vetoed by {0},{0} 선거에서 투표 거부할 수 있음
{0} Election,{0} 선거
Start election for {0},{0} 관련한 선거 시작
Vote {0} in {1},{1} 에서 {0} 을(를) 투표하세요
{0} entered the election {1}. Speech: {2},{1} 선거 {0} 참여했습니다. 연설: {2}
Enter election {0}. Speech:{1},{0} 선거에 참여했습니다. 연설:{1}
Withdraw from election {0},{0} 선거에서 사퇴
Enter Election,선거에 참여
Withdraw From Election,선거에서 사퇴
This election cannot be joined as a candidate.,이번 선거에 후보자로 참여하실 수 없습니다.
You cannot withdraw from an election in which you are not a candidate.,후보자 명단에 등록되지 않은 선거에서 사퇴할 수 없습니다.
Election for {0},{0}에 대한 선거
Election finished after {0} hours.,{0} 시간 후에 선거가 끝납니다.
Election was force-finished.,선거가 강제로 끝났습니다.
Vote contains an incorrect choice ID.,해당 표에 정확하지 않은 후보자의 이름이 있습니다.
"Election complete, no winner.","선거 종료, 승자 없음."
No winner.,승자 없음.
Election will end in {0}.,{0}에 선거가 종료됩니다.
{0} is now a member of {1},{0}은(는) 이제 {1}의 구성원임
{0} is no longer a member of {1},{0}은(는) 이제 {1}의 구성원이 아님
are,아닌
Passed,통과된
are not,아니다
Failed,실패함
You {0} currently a member of {1}.,현재 {0}은(는) {1}의 구성원입니다.
Viva la Revolución!,혁명을 위하여!
election processes,선거 규정
civic articles,시민 조항
Constitutional Amendments,헌법 개정
{0} may propose an election of type {1}.,{0} 유형의 선택을 제안할 수 있습니다. {1}.
Collect wild {0}.,야생 {0}을(를) 수집하세요.
Collect some food.,음식을 모으세요.
Talents,재능
{0}'s SLG id is {1}.,{0}의 SLG id는 {1} 입니다.
{0}'s ID is {1}.,{0}의 ID는 {1} 입니다.
Delay in minutes for the next searching nearby food location and moving spawn point,플레이어 소환 지점 이동과 식량이 가까운 곳을 탐색 중이기에 잠시 지연 발생
"When choosing a spawn point with nearby food, how far away can the food be?",플레이어 소환 위치와 식량과의 거리를 어느 정도로 설정합니까?
"When choosing a spawn point, this much food be nearby.",플레이어 소환 위치 근처에 해당 수치만큼의 식량이 있습니다.
"When true, spawn point stays as set below. When false, the spawn point will move periodically to be close to wild food.","True일 경우 플레이어 소환 위치는 해당 위치에 고정이 됩니다. False일 경우, 플레이어 소환 위치는 식량 자원 근처로 주기적으로 옮겨집니다."
Nearby Food spawn location,소환 위치 근처 식량
Demographics are updated after this much time has passed.,인구통계는 시간이 이 정도 지나면 데이터가 갱신됩니다.
You were prevented from playing on this server by law:,다음 법률에 따라 이 서버에서 플레이하는 것이 금지됐습니다:
Block Items,블록 물품
Were the items taken or put?,해당 물품들이 옮겨졌습니까?
The number of items moved.,옮겨진 물품의 개수입니다.
Money created at a mint.,조폐기에서 발행된 화폐입니다.
The currency in which the money was created.,"화폐, 새로 발행한 돈입니다."
A new currency created at a mint.,조폐기에서 새로 발행한 화폐입니다.
A trade between two players at a store.,상점 목록에 있는 두 플레이어 간의 거래입니다.
Number of items in the transaction,거래 중인 품목의 수
Was the good bought or sold by the initiating player?,초보 플레이어가 해당 물품을 샀습니까 아니면 팔았습니까?
The owner of the shop where the trade occurred.,거래가 발생한 상점의 소유자입니다.
The buying player.,구매하려는 사람입니다.
The selling player.,판매하려는 사람입니다.
Currency used in the transaction.,거래에 사용된 화폐입니다.
Amount used in the transaction.,거래에 사용된 금액입니다.
The demographic that changed.,변경된 인구통계입니다.
The owner of the deed on which the land was claimed.,해당 부지의 소유 권한이 있는 증서의 소유자입니다.
Was the property claimed or unclaimed?,해당 부지가 소유됐습니까 소유 해제됐습니까?
The position of the claim.,소유자의 위치.
The bank account the tax came from.,세금이 송금된 은행 계좌입니다.
The bank account the tax went to.,세금이 입금된 은행 계좌입니다.
The currency of the payment.,결제 화폐입니다.
The amount of the transaction which was taxed.,세금이 부과된 거래의 액수입니다.
The tax rate charged.,부과된 세율입니다.
The amount of tax paid.,지불된 세금의 금액입니다.
The bank account the funds came from.,자금이 송금된 은행 계좌입니다.
The bank account the funds went to.,자금이 입금된 은행 계좌입니다.
The amount of funds received.,받은 자금의 액수입니다.
The election voted in.,투표했던 선거입니다.
"If it's an election for a title, this is the title.","해당 선거가 공직자 선거일 경우, 이게 그 직위입니다."
The profession of the gained specialty.,얻은 특기의 직업입니다.
The specialty gained.,얻은 특기입니다.
Level reached.,레벨에 도달했습니다.
The species of plant or animal.,해당 생물의 종입니다.
The position of the new plant.,새로운 식물의 위치입니다.
"Destruction of a plant or animal, possibly yielding resources.","동물이나 식물을 죽이면, 자원을 얻을 수 있습니다."
Was the tree felled?,해당 나무가 베어졌습니까?
The species of the tree.,해당 나무의 종입니다.
Were the branches targeted?,가지를 목표로 뒀습니까?
Was the stump destroyed?,그루터기가 없어졌습니까?
Currency used to pay the crafting fee.,제작 비용을 지불하는 데 쓰인 화폐입니다.
Amount paid in fee to craft.,제작 비용 지불 액수입니다.
Was the item placed?,해당 물품이 배치됐습니까?
Position of the dropped garbage.,버려진 쓰레기의 위치입니다.
The time when the action takes place.,해당 조치가 일어나는 시간입니다.
The position where the interaction took place.,상호작용이 발생했던 위치입니다.
The item used in the interaction.,상호작용에 사용된 물품입니다.
{0} missing from inventory.,{0}이(가) 인벤토리에서 누락됨
Bank Accounts,은행 계좌
NOT,아님
It can be overthrown if another constitution is created in a building exceeding this one by {0}%.,{0}% 초과한 건물에서 다른 헌법을 작성할 경우 무산될 수 있습니다.
Trap is nonfunctional.,함정이 작동하지 않습니다.
Civic Articles,시민 조항
Election Processes,선거 규정
Constitutions,헌법
"To overthrow an existing government, a constitution must be placed in a building that exceeds the previous constitution's value by this percent.  100 = 100%","기존 정부를 전복하고 싶다면, 새 헌법이 있게 될 건물의 등급이 옛 헌법이 있는 건물의 등급보다 몇 %를 초과해야 합니다. 100 = 100%"
Government:,정부:
Add {0},{0} 추가
{0} not added.,{0}이(가) 추가되지 않았습니다.
{0} changed to {1}.,{0}이(가) {1}(으)로 변경됐습니다.
{0} not changed.,{0}은(는) 변경되지 않았습니다.
Remove {0},{0} 제거
{0} removed.,{0}이(가) 제거됐습니다.
{0} not removed.,{0}이(가) 제거되지 않았습니다.
"Add a new civic element like laws, elected titles, civic articles, etc.","법률, 선출직 직책, 시민 조항 등, 새로운 시민 요소를 추가합니다."
Change an existing civic element,기존 시민 요소 변경
Remove an existing civic element,기존 시민 요소 제거
Add Civic Element,시민 요소 추가
Change Civic Element,시민 요소 변경
Remove Civic Element,시민 요소 제거
You are not authorized to do that.,해당 작업을 할 수 있는 권한이 없습니다.
players,플레이어
This {0} is currently active in the world.,{0}은(는) 현재 전 세계에서 활성화된 상태입니다.
"This {0} is currently in draft form, and has not been submitted.","{0}은(는) 현재 초안 양식이며, 제출되지 않았습니다."
This {0} has failed to be accepted.,{0}은(는) 수락되지 않았습니다.
This {0} has been proposed and is under election.,이 {0}은(는) 제안되었으며 현재 선거 진행 상태입니다.
This {0} has been removed and is no longer active.,{0}은(는) 제거되었으며 더 이상 활성화된 상태가 아닙니다.
Draft,초안
Proposed,게시됨
Propose Change,변경 제안
Empty Slot,빈 자리
Error,오류
Treasury disabled.\nOnly players holding the following titles can change treasury settings.\n{0},국고 비활성화됨:\n다음 직위를 가진 시민만이 국고 설정을 바꿀 수 있습니다.\n{0}
"Treasury disabled.\nYou must create an elected title that gives treasury permissions, and then assign a player to it.",국고 비활성화됨:\n반드시 국고 권한을 가진 선출직 직책을 만들어 시민에게 임명해야 합니다.
Advanced Options,고급 옵션
Click to toggle display of advanced options for this object.,해당 구조물에 대한 고급 옵션 표시를 전환하려면 클릭하십시오.
Start Work Party,동업 계약 시작
Invite other players to join together to complete these tasks.,다른 플레이어들을 참여 시켜 해당 작업들을 완료하세요.
Open,열기
Click to display this object in a new window.,해당 구조물을 새 창에 표시하려면 클릭하십시오.
voice,목소리
user,유저
login,로그인
time,시간
destroy,파괴
spawn,생성
fall,떨굼
impact,충격
size,크기
rain,비
count,수치
radius,반경
tutorials,튜토리얼
reset,초기화
task,업무
rooms,방
test,시험
"Check the current surroundings to see if it's a room, and if not explain why not.","현재 있는 곳이 방인지 아닌지 확인할 수 있게 합니다, 방이 아닐 경우 설명은 출력되지 않습니다."
repairall,전부수리
"Repairs all broken rooms. This command may take a long time and create heavy-load on the server, so only use it when many rooms are broken","제 구실을 다하지 못하는 방들을 수리합니다. 해당 명령어를 시행하는 데에는 시간이 많이 걸리고 서버에 부하가 크게 걸리므로, 여러 방에 오류가 났을 때에만 사용하세요."
spawnrubble,돌무더기생성
Rains rubble around the player.,플레이어 주위로 돌무더기가 비처럼 내립니다.
blockTypeName,블록유형
clearrubble,돌무더기제거
Clears rubble around the player.,플레이어 주위의 돌무더기를 치웁니다.
set,설정
objects,물체
clear,정리
Removes objects of a given type.,지정된 유형의 구조물을 제거합니다.
typeName,유형이름
removeActive,제거활성화
removeInactive,제거비활성화
list,목록
add,추가
edit,편집
Edit a specific object of a given type. Can specify by name or ID.,지정된 유형의 구조물을 편집합니다. 이름이나 ID로 지정할 수 있습니다.
partialObjectNameOrId,부분세계구조물이름
remove,제거
objectNameOrId,구조물이름
rate,비율
Displays or sets the current skill rate multiplier.,현재 기술 배수 비율을 표시하거나 설정할 수 있습니다.
skillRate,기술비율
warnuser,경고
warnUser,경고 유저
teleport,좌표이동
move,이동
x,x
y,y
z,z
setspawn,생성위치설정
Changes the spawn location to your current location,현재 위치를 생성 위치로 설정합니다
massinteract,다발상호작용
Uses your currently selected tool on surrounding blocks,현재 들고 있는 도구를 주변 블록에 동시다발적으로 사용합니다
trample,짓밟기
Tramples the surrounding ground,주변 지형을 짓밟습니다
dump,폐기
Dumps all items from your inventory.,소지품에 있는 물품 전부를 버립니다.
dumpcarried,운반물품폐기
Dumps all carried items.,손에 들고 있는 모든 물품을 버립니다.
dumpselected,선택폐기
Dumps all items in your selected toolbar slot.,현재 도구 모음에서 선택한 칸에 있는 물품을 전부 버립니다.
fly,비행
Toggles fly mode,비행 모드로 전환합니다
record,기록
Toggles record mode,기록 모드로 전환합니다
work,칼로리소모
Spends calories,칼로리를 소비합니다
useCalories,칼로리사용
all,전부
Unlocks all skills,모든 기술 해금
oneshot,원샷
Kills nearest animal,가장 가까운 동물을 죽입니다
spawnanimal,동물생성
Spawns a number of animals,동물을 소환합니다
speciesName,개체명
greenthumb,무작위식물
Spawns random plants,무작위 식물을 생성합니다
trees,나무
massplant,대량식물생성
Spawns a bunch of one plant,같은 종류의 무작위 식물을 한 무더기 생성합니다
killplants,식물즉사
Kills all plants in an area,한 지역 내에 있는 모든 식물을 없애버린다
killtrees,나무즉사
Cuts all trees in an area,한 구역의 나무를 모두 자릅니다
spawnplant,식물생장
rows,행
level,레벨
Level the terrain,평평한 지형을 생성합니다
blockType,블럭 종류
eat,섭취
Max your calories,칼로리를 최대로 올려줍니다
digest,소화
number,숫자
useractivity,유저활동표기
Displays a list of users and when they last logged in.,유저 명단과 마지막으로 로그인했던 시간을 보여줍니다.
givepointsto,기술점수부여
Give skillpoints to another player,다른 플레이어에게 기술 점수를 줍니다
otherPlayer,다른플레이어
Teleport to an xyz coordinate,Xyz 좌표로 텔레포트 합니다
toplayer,플레이어좌표이동
todark,어둠속으로
Teleport to the opposite side of the World,세계의 반대면으로 텔레포트 합니다
Set the durability of the item you are holding,들고있는 물품의 내구도를 조절합니다
forcegive,법치무시
"Give yourself an item (Forced, ignores restrictions)","해당 물품을 얻을 수 있음 (강제, 제한 무시)"
itemName,물품명
give,획득
Give yourself an item,해당 물품을 얻습니다
toggle,토글
save,저장
levelup,레벨업
regions,지역
build,건설
tech,작업실
tier,등급
building,건축
Spawns a building by specifying which tier,방의 등급을 지정해서 건물을 하나 생성합니다
type,종류
roofType,지붕종류
createWindows,창문생성
buildingofmaterial,특정재료건설
Spawns a building by specifying the material to use,특정 재료를 지정해서 건설합니다
Spawns item in building,건물을 지정한 구조물과 함께 생성합니다
claim,소유권
village,마을
Spawns a village,마을을 생성합니다
road,도로
Spawns a road,도로를 생성합니다
length,길이
width,폭
buildTypeVal,건축유형값
bottomType,바닥유형
targetUser,목표유저
rep,평판
elevator,승강기
unstuck,끼임해제
Attempts to unstuck your avatar,캐릭터를 낀 상태에서 빼냅니다
Returns a list of online players,온라인 플레이어 명단을 표시합니다.
Reports the current time.,현재 시간을 표시합니다.
playtime,플레이시간
"Lists the playtimes for a given user, or yourself if none passed.",특정 유저나 자신의 플레이 타임을 표시합니다.
other,유저이름
authlevel,권한 수준
Displays your authorization level,가지고 있는 권한의 수준을 보여줍니다
smile,미소
Smile,미소를 짓습니다
grin,씨익
Grin,씨익 웃기
smirk,히죽히죽
