English,Polish
Entered,Wprowadzono
First Time,Pierwszy raz
Claimed,Przejęto
Tax Rate,Wysokość podatku
Election,Wybory
Election Process,Przebieg wyborów
Elected Title,Wybrane stanowisko
Profession,Profesja
Specialty,Specjalność
Felled,Ścięto
Branches Targeted,Zaznaczono gałęzie
Destroyed,Zniszczone
Placed,Położony
Tag,Etykieta
Tons,Mnóstwo
Source Account,Konto źródłowe
Element,
Applies to,Dotyczy
Proposers,Wnioskodawcy
Any Law,Jakiekolwiek prawo
Process,Proces
Voters,Głosujący
If,Jeżeli
Then,Wtedy
Else,Inaczej
Trigger,Wyzwalacz
Conditions,Warunki
Causes,Przyczyny
Effects,Efekty
Left,Lewo
Right,Prawo
Left Number,Lewy numer
Right Number,Prawy numer
Number,Numer
Requirements,Wymagania
Block,Blokada
Position,Pozycja
Speech,Przemowa
Elected,Wybrano
Removed,Usunięto
Active,Aktywny
Storage Handle,Menadżer magazynu
Total CO2 ppm,Całkowite CO2 w ppm
Past 24 Hours CO2 ppm Delta,"Różnica CO2 w ppm, w ciągu ostatnich 24 godzin"
CO2 From Animals ppm,CO2 od zwierząt w ppm
CO2 From Plants ppm,CO2 z roślin w ppm
Initial Sea Level,Początkowy poziom morza
Sea Level Applied,Ustawiono poziom morza
Unique Abbreviation,Unikalny skrót
Controller ID,ID kontrolera
Is Considered Nearby Food During Spawn Check,Uważane za pobliskie jedzenie podczas sprawdzania miejsca odrodzenia
Invertebrates,Bezkręgowce
Ecko accepts your tribute of {0:wanted} and grants you {1:given} for your devotion.,Ecko przyjmuje twoją daninę z {0:wanted} i przyznaje ci {1:given} za twoje poświęcenie.
stomach capacity,pojemność żołądka
Wooden fish traps must be placed underwater in fresh water to function.,"Drewniane pułapki na ryby muszą być umieszczone pod wodą w słodkiej wodzie, aby działały prawidłowo."
Road Items,Przedmioty drogowe
{0} leveled-up to level {1},{0} awansuje na poziom {1}
Use for spawn finder,Używane do wyszukiwarki miejsca odrodzenia
Referenced By,Wspomniane przez
A helpful player-created description explaining the purpose of this object for other players.,"Pomocny, stworzony przez gracza opis wyjaśniający zastosowanie tego obiektu innym grającym."
Created by {0},Stworzone przez {0}
Playtimes for {0},Czas gry dla {0}
Total time: {0},Całkowity czas: {0}
Object types include:,Rodzaje obiektów zawierają:
The following sub-commands are available:,Następujące podkomendy są dostępne:
Actionbar Items,Przedmioty paska akcji
Current population of a given species.,Obecna liczebność podanych gatunków.
The species which should have its population measured.,"Gatunki, których populację należy zmierzyć."
The game action we're counting.,Obliczamy działanie gry.
"If set, only count actions by this user.","Jeśli zostanie ustawione, będzie liczyło tylko działania tego użytkownika."
Statistics,Statystyki
success.,sukces.
failed,niepowodzenie
Must be inside or outside the listed districts?,Musi być wewnątrz lub na zewnątrz wymienionych dzielnic?
Total online hours of {0},Łączna liczba godzin online dla {0}
The range to check. '0' means count all online time.,Zakres do sprawdzenia. '0' oznacza zliczenie całkowitego czasu online.
Player,Gracz
{0} is {1},{0} to {1}
Detect skills players have or lack.,"Wykrywa umiejętności, które gracz posiada lub których mu brakuje."
Which skills to consider.,Które umiejętności do rozważenia.
"Must the user have only one, or all of the listed skills?","Użytkownik musi mieć tylko jedną, czy wszystkie wymienione umiejętności?"
How many level-ups must the skills have?,Jak wiele poziomów muszą posiadać umiejętności?
Which demographics to check.,Które dane demograficzne sprawdzić.
The left number of the operation.,Lewy numer działania.
The right number of the operation.,Prawy numer działania.
The value to take the percent from.,"Wartość, z której ma być pobrany procent."
The percentage to take.  100 = 100%.,Procent do pobrania. 100 = 100%.
The user whose personal bank account will be used.,"Użytkownik, którego osobiste konto bankowe będzie użyte."
And,I
Not,Nie
Logic,Logika
Math,Matematyka
Current Titles:,Obecne stanowiska:
Can holders of this position change treasury taxes?,Czy pełniący tę funkcję mogą zmieniać podatki skarbowe?
Occupants:,Mieszkańcy:
Properties:,Właściwości:
Currently held by: {0}{1}Elected via {2},Obecnie piastowane przez: {0}{1}Wybrano przez {2}
The rules for how this election is run.  Election Processes are defined directly by the constitution.,Zasady przeprowadzania tych wyborów. Procesy wyborcze są określone bezpośrednio przez konstytucję.
Only candidates who are part of this group can run for this position.,"Tylko kandydaci, którzy są częścią tej grupy, mogą ubiegać się o to stanowisko."
"An individual player may hold the position this many times, after which they will not be allowed to run for election.","Pojedynczy gracz może tyle razy zajmować to stanowisko, po czym nie będzie mógł startować w wyborach."
Office Holders History,Historia posiadaczy biura
Election currently running for this position: {0},Obecnie trwające wybory na to stanowisko: {0}
Valid.,Poprawny.
List must not be empty.,Lista nie może być pusta.
Object is not set.,Obiekt nie jest ustawiony.
(draft),(szkic)
(proposed),(proponowane)
(removed),(usunięto)
If {0} then {1},"Jeśli {0}, to {1}"
{0} Else {1},{0} inaczej {1}
"{0}, proceeding.","{0}, postępuje."
Prevent.,Zabroń.
Perform different actions depending on a test.,Wykonuje różne czynności zależne od testu.
Which currency to collect the tax in.,W jakiej walucie zebrać podatek.
The amount that is going to be taxed.,"Kwota, która zostanie opodatkowana."
Conditional,Warunkowe
Ignore Authorization,Ignoruj autoryzację
{0} blocked by,{0} zablokowane przez
"When this action happens in the game, the conditions below will be tested for this law.","Kiedy ta czynność zdarzy się w grze, poniższe warunki zostaną przetestowane dla tego prawa."
The list of triggers that will cause this law to activate.,"Lista wyzwalaczy, które spowodują aktywację tego prawa."
On {0},Na {0}
is {0},jest {0}
is not {0},nie jest {0}
Nothing selected.,Nic nie wybrano.
A set of rules for how an election is run.,Lista zasad przeprowadzania wyborów.
Must specify who can vote in this election or who can veto it (or both).,"Musi określać, kto może głosować w tych wyborach lub kto może je zawetować (lub jedno i drugie)."
nobody,nikt
Elections can be voted on by {0},W wyborach głosować mogą {0}
Elections can be vetoed by {0},Wybory mogą być zawetowane przez: {0}
{0} Election,{0} Wybory
Start election for {0},Rozpocznij wybory na {0}
Vote {0} in {1},Zagłosuj {0} w {1}
{0} entered the election {1}. Speech: {2},{0} dołączył do wyborów {1}. Przemowa: {2}
Enter election {0}. Speech:{1},Dołącz do wyborów {0}. Przemowa:{1}
Withdraw from election {0},Wycofaj się z wyborów {0}
Enter Election,Przystąp do wyborów
Withdraw From Election,Wycofaj się z wyborów
This election cannot be joined as a candidate.,Nie można dołączyć do tych wyborów jako kandydat.
You cannot withdraw from an election in which you are not a candidate.,"Nie możesz wycofać się z wyborów, w których nie jesteś kandydatem."
Election for {0},Wybory na {0}
Election finished after {0} hours.,Wybory zakończone po {0} godzinach.
Election was force-finished.,Wybory zakończone siłą.
Vote contains an incorrect choice ID.,Głos zawiera nieprawidłowe ID wyboru.
"Election complete, no winner.","Wybory zakończone, brak zwycięzcy."
No winner.,Brak zwycięzcy.
Election will end in {0}.,Wybory zakończą się za {0}.
{0} is now a member of {1},{0} jest teraz członkiem {1}
{0} is no longer a member of {1},{0} nie jest już członkiem {1}
are,są
Passed,Uchwalone
are not,nie są
Failed,Niepowodzenie
You {0} currently a member of {1}.,Ty {0} w tej chwili członkiem {1}.
Viva la Revolución!,Niech żyje rewolucja!
election processes,procesy wyborcze
civic articles,ustawy obywatelskie
Constitutional Amendments,Poprawki konstytucyjne
{0} may propose an election of type {1}.,{0} może zaproponować wybór typu {1}.
Collect wild {0}.,Zbierz dziko rosnące: {0}.
Collect some food.,Zbierz trochę jedzenia.
Talents,Talenty
{0}'s SLG id is {1}.,Identyfikator SLG {0} to {1}.
{0}'s ID is {1}.,Identyfikator {0} to {1}.
Delay in minutes for the next searching nearby food location and moving spawn point,Opóźnienie w minutach dla następnego wyszukiwania pobliskiej lokalizacji pożywienia oraz przenoszenia punktu miejsca odrodzenia
"When choosing a spawn point with nearby food, how far away can the food be?","Podczas wyboru punktu miejsca odrodzenia z jedzeniem w pobliżu, jak daleko może znajdować się to pożywienie?"
"When choosing a spawn point, this much food be nearby.","Podczas wyboru punktu miejsca odrodzenia, tyle jedzenia będzie w pobliżu."
"When true, spawn point stays as set below. When false, the spawn point will move periodically to be close to wild food.",Gdy 'prawda' punkt miejsca odrodzenia pozostanie tak jak ustawiony poniżej. Gdy 'fałsz' punkt miejsca odrodzenia cyklicznie będzie się przemieszczał w pobliże dzikiego pożywienia.
Nearby Food spawn location,Pobliskie miejsce odrodzenia żywności
Demographics are updated after this much time has passed.,Dane demograficzne zostaną zaktualizowane po tym czasie.
You were prevented from playing on this server by law:,Uniemożliwiono ci grę na tym serwerze przez ustanowione prawo:
Block Items,Przedmioty bloku
Were the items taken or put?,Przedmioty zostały zabrane czy włożone?
The number of items moved.,Liczba przeniesionych przedmiotów.
Money created at a mint.,Pieniądze wytworzone w mennicy.
The currency in which the money was created.,"Waluta, w której zostały utworzone pieniądze."
A new currency created at a mint.,Nowa waluta utworzona w mennicy.
A trade between two players at a store.,Handel pomiędzy dwójką graczy w sklepie.
Number of items in the transaction,Ilość przedmiotów w transakcji
Was the good bought or sold by the initiating player?,Czy towar został kupiony czy sprzedany przez gracza inicjującego?
The owner of the shop where the trade occurred.,Właściciel sklepu gdzie została przeprowadzona wymiana.
The buying player.,Gracz kupujący.
The selling player.,Gracz sprzedający.
Currency used in the transaction.,Waluta użyta w transakcji.
Amount used in the transaction.,Ilość użyta w transakcji.
The demographic that changed.,"Demografia, która się zmieniła."
The owner of the deed on which the land was claimed.,"Właściciel mienia, który włączył tę ziemię w swoją działkę."
Was the property claimed or unclaimed?,Czy własność została przejęta czy też nie?
The position of the claim.,Pozycja prawa do ziemi.
The bank account the tax came from.,"Konto bankowe, z którego pochodzi podatek."
The bank account the tax went to.,"Konto bankowe, na które trafił podatek."
The currency of the payment.,Waluta płatności.
The amount of the transaction which was taxed.,"Kwota transakcji, która została opodatkowana."
The tax rate charged.,Stawka podatku uległa zmianie.
The amount of tax paid.,Kwota zapłaconego podatku.
The bank account the funds came from.,"Konto bankowe, z którego pochodzą środki."
The bank account the funds went to.,"Konto bankowe, na które trafiły środki."
The amount of funds received.,Kwota otrzymanych środków.
The election voted in.,"Wybory, w których zagłosowano."
"If it's an election for a title, this is the title.","Jeśli są to wybory do pełnienia stanowiska, to będzie jego nazwą."
The profession of the gained specialty.,Profesja zdobytej specjalizacji.
The specialty gained.,Specjalność zdobyta.
Level reached.,Poziom osiągnięty.
The species of plant or animal.,Gatunek roślin lub zwierząt.
The position of the new plant.,Pozycja nowej rośliny.
"Destruction of a plant or animal, possibly yielding resources.","Likwidacja rośliny lub zwierzęcia, prawdopodobnie dająca surowce."
Was the tree felled?,Czy to drzewo zostało ścięte?
The species of the tree.,Gatunki drzewa.
Were the branches targeted?,Czy oznaczono gałęzie?
Was the stump destroyed?,Czy pień został zniszczony?
Currency used to pay the crafting fee.,Waluta używana do opłaty za wytworzenie.
Amount paid in fee to craft.,Kwota opłaty za wytworzenie.
Was the item placed?,Czy przedmiot został umieszczony?
Position of the dropped garbage.,Pozycja upuszczonych śmieci.
The time when the action takes place.,"Czas, w którym ma miejsce akcja."
The position where the interaction took place.,"Pozycja, w której miała miejsce interakcja."
The item used in the interaction.,Przedmiot użyty w interakcji.
{0} missing from inventory.,Brakuje {0} w ekwipunku.
Bank Accounts,Konta bankowe
NOT,NIE
It can be overthrown if another constitution is created in a building exceeding this one by {0}%.,"To może zostać obalone, jeżeli w budynku zostanie stworzona inna konstytucja przekraczająca tą o {0}%."
Trap is nonfunctional.,Pułapka nie działa.
Civic Articles,Ustawy obywatelskie
Election Processes,Procesy wyborcze
Constitutions,Konstytucje
"To overthrow an existing government, a constitution must be placed in a building that exceeds the previous constitution's value by this percent.  100 = 100%","Aby obalić istniejący rząd, konstytucja musi zostać umieszczona w budynku, który przekracza wartość poprzedniej konstytucji o ten procent. 100 = 100%"
Government:,Rząd:
Add {0},Dodaj {0}
{0} not added.,Nie dodano {0}.
{0} changed to {1}.,{0} zmieniono na {1}.
{0} not changed.,{0} nie zmieniono.
Remove {0},Usuń {0}
{0} removed.,Usunięto {0}.
{0} not removed.,Nie usunięto {0}.
"Add a new civic element like laws, elected titles, civic articles, etc.","Dodaj nowe sprawy obywatelskie takie jak: prawa, wybrane stanowiska, artykuły obywatelskie, itd."
Change an existing civic element,Zmień istniejącą sprawę obywatelską
Remove an existing civic element,Usuń istniejącą sprawę obywatelską
Add Civic Element,Dodaj sprawę obywatelską
Change Civic Element,Zmień sprawę obywatelską
Remove Civic Element,Usuń sprawę obywatelską
You are not authorized to do that.,"Nie jesteś upoważniony, aby to zrobić."
players,gracze
This {0} is currently active in the world.,{0} obecnie funkcjonuje w tym świecie.
"This {0} is currently in draft form, and has not been submitted.",{0} jest w formie projektu i nie zostało jeszcze wysłane.
This {0} has failed to be accepted.,Nie udało się zaakceptować {0}.
This {0} has been proposed and is under election.,{0} zostało zaproponowane i jest poddane pod głosowanie.
This {0} has been removed and is no longer active.,{0} zostało usunięte i nie jest już aktywne.
Draft,Szkic
Proposed,Proponowane
Propose Change,Propozycja zmiany
Empty Slot,Puste pole
Error,Błąd
Treasury disabled.\nOnly players holding the following titles can change treasury settings.\n{0},Skarbiec niedostępny.\nJedynie gracze na następujących stanowiskach mogą zmieniać ustawienia skarbca.\n{0}
"Treasury disabled.\nYou must create an elected title that gives treasury permissions, and then assign a player to it.","Skarbiec niedostępny.\nMusisz stworzyć wybrane stanowisko, które posiada uprawnienia do skarbca, a następnie przypisać do niego gracza."
Advanced Options,Opcje zaawansowane
Click to toggle display of advanced options for this object.,"Kliknij, by wyświetlić zaawansowane opcje dla tego przedmiotu."
Start Work Party,Rozpocznij pracę grupową
Invite other players to join together to complete these tasks.,"Zaproś innych graczy, aby przyłączyli się wykonania tych zadań."
Open,Otwórz
Click to display this object in a new window.,"Kliknij, aby otworzyć ten obiekt w nowym oknie."
voice,głos
user,użytkownik
login,zaloguj się
time,czas
destroy,zniszcz
spawn,miejsce odrodzenia
fall,upadek
impact,uderzenie
size,wielkość
rain,deszcz
count,ilość
radius,promień
tutorials,samouczki
reset,zresetuj
task,zadanie
rooms,pokoje
test,
"Check the current surroundings to see if it's a room, and if not explain why not.","Sprawdź obecne otoczenie, aby zobaczy czy jest ono pomieszczeniem. Jeśli nie jest, wskaż dlaczego."
repairall,napraw wszystko
"Repairs all broken rooms. This command may take a long time and create heavy-load on the server, so only use it when many rooms are broken","Naprawia wszystkie uszkodzone pomieszczenia. To polecenie może zająć sporo czasu oraz wygenerować spore obciążenie serwera, więc używaj go tylko gdy jest uszkodzonych wiele pomieszczeń"
spawnrubble,
Rains rubble around the player.,Rozrzuć gruz dookoła gracza.
blockTypeName,
clearrubble,
Clears rubble around the player.,Oczyszcza gruz dookoła gracza.
set,ustaw
objects,obiekty
clear,wyczyść
Removes objects of a given type.,Usuwa obiekty danego rodzaju.
typeName,
removeActive,
removeInactive,
list,lista
add,dodaj
edit,edytuj
Edit a specific object of a given type. Can specify by name or ID.,Edytuj konkretny obiekt danego rodzaju. Może być sprecyzowane za pomocą nazwy lub ID.
partialObjectNameOrId,
remove,usuń
objectNameOrId,nazwaObiektuLubID
rate,szybkość
Displays or sets the current skill rate multiplier.,Wyświetla lub ustawia obecne tempo mnożnika umiejętności.
skillRate,
warnuser,
warnUser,
teleport,
move,przenieś
x,
y,
z,
setspawn,
Changes the spawn location to your current location,Zmienia punkt miejsca odrodzenia na twoją bieżącą lokalizację
massinteract,
Uses your currently selected tool on surrounding blocks,Używa obecnie wybranego narzędzia na otaczające bloki
trample,stratowany
Tramples the surrounding ground,Depcze otaczającą ziemie
dump,wykonaj zrzut
Dumps all items from your inventory.,Upuszcza wszystkie przedmioty z twojego ekwipunku.
dumpcarried,
Dumps all carried items.,Upuszcza wszystkie niesione przedmioty.
dumpselected,
Dumps all items in your selected toolbar slot.,Upuszcza wszystkie przedmioty z wybranego slotu na pasku narzędzi.
fly,latanie
Toggles fly mode,Przełącza w tryb latania
record,nagranie
Toggles record mode,Przełącza w tryb nagrywania
work,praca
Spends calories,Zużywa kalorie
useCalories,zużywaKalorie
all,wszystko
Unlocks all skills,Odblokowuje wszystkie umiejętności
oneshot,jedenstrzał
Kills nearest animal,Zabija najbliższe zwierzę
spawnanimal,przywołujezwierzę
Spawns a number of animals,Przywołuje określoną ilość zwierząt
speciesName,nazwaGatunku
greenthumb,zielonykciuk
Spawns random plants,Generuje losowe rośliny
trees,drzewa
massplant,masowesadzenie
Spawns a bunch of one plant,Generuje gromadę jednej rośliny
killplants,zabijarośliny
Kills all plants in an area,Zabija wszystkie rośliny na danym obszarze
killtrees,zabijadrzewa
Cuts all trees in an area,Wycina wszystkie drzewa na danym obszarze
spawnplant,generujeroślinę
rows,rzędy
level,poziom
Level the terrain,Wyrównaj teren
blockType,
eat,jedzenie
Max your calories,Zwiększ maksymalnie poziom kalorii
digest,trawienie
number,numer
useractivity,
Displays a list of users and when they last logged in.,Wyświetla listę użytkowników i datę ostatniego logowania.
givepointsto,
Give skillpoints to another player,Daje punkty umiejętności innemu graczowi
otherPlayer,otherplayer
Teleport to an xyz coordinate,Teleportuj się do współrzędnych xyz
toplayer,
todark,
Teleport to the opposite side of the World,Przenieś się na przeciwną stronę świata
Set the durability of the item you are holding,Ustawia wytrzymałość trzymanego przedmiotu
forcegive,
"Give yourself an item (Forced, ignores restrictions)","Daj samemu sobie przedmiot (Wymuszone, ignoruje ograniczenia)"
itemName,
give,daj
Give yourself an item,Daj sobie przedmiot
toggle,włącz
save,zapisz
levelup,
regions,regiony
build,buduj
tech,
tier,poziom
building,budynek
Spawns a building by specifying which tier,Generuje budynek na podstawie wybranego poziomu
type,rodzaj
roofType,
createWindows,
buildingofmaterial,
Spawns a building by specifying the material to use,Stawia budowlę z danego materiału
Spawns item in building,Tworzy przedmiot w budynku
claim,przejmij
village,wioska
Spawns a village,Stawia wioskę
road,droga
Spawns a road,Tworzy drogę
length,długość
width,szerokość
buildTypeVal,
bottomType,dolny typ
targetUser,
rep,reputacja
elevator,winda
unstuck,odblokuj
Attempts to unstuck your avatar,Próbuje odblokować Twoją postać
Returns a list of online players,Zwraca listę graczy online
Reports the current time.,Zwraca aktualny czas.
playtime,
"Lists the playtimes for a given user, or yourself if none passed.","Zwraca czas spędzony na serwerze danego gracza lub swój, jeśli nie sprecyzowano."
other,
authlevel,
Displays your authorization level,Wyświetla twój poziom autoryzacji
smile,
Smile,
grin,
Grin,Szeroki uśmiech
smirk,uśmiech
Smirk,Uśmiech
yawn,ziewnięcie
Yawn,Ziewnięcie
frown,
Frown,Krzywić się
angry,złość
Angry,Złość
regenlayer,
"Regenerates a world layer, restoring it to the state it would be in if the world were newly generated.","Regeneruje warstwę świata, przywracając ją do stanu jakby świat został nowo wygenerowany."
layerName,nazwa przedmiotu
help,pomoc
text,tekst
helpful,pomóc
claimrect,
Claims plots in a given rect.,Roszczenia do działek w danym obszarze.
xSide,x strona
ySide,y strona
unclaim,zwolnij
Unclaim the plot you're standing on,"Usuwa działkę, na której stoisz"
unclaimabandoned,
Unclaim plots across the world where the owner hasn't logged in for X days,"Odbierz działki na całym świecie, na których właściciel nie logował się przez X dni"
Adds user to current deed (if username is not provided then adds current user),"Dodaje użytkownika do aktualnej umowy (jeśli nie podano nazwy użytkownika, dodaje aktualnego użytkownika)"
username,Nazwa użytkownika
Removes user from current deed (if username is not provided then removes current user),"Usuwa użytkownika z aktualnej umowy (jeśli nie podano nazwy użytkownika, usuwa bieżącego użytkownika)"
ownnone,
Revoke your property,Usuń swoją usługę
ownall,
Claim all property,Przejmij całą własność
owner,właściciel
Change owner of current deed,Zmienia właściciela obecnej działki
newOwner,
mark,znacznik
Drops a waypoint at the current position.  Accepts an optional text string for the waypoint.,Tworzy znacznik bierzącej pozycji. Akceptuje opcjonalny ciąg znaków do znacznika.
manage,zarządzaj
kick,wyrzuć
reason,powód
ban,
whitelist,
admin,administrator
otherUser,
pipes,rury
sewage,ścieki
account,konto
target,cel
name,nazwij
createdebt,
Create debt between two players in a currency that matches the given name.,Tworzy dług między dwoma graczami w walucie pasującej wybranej nazwie.
paybackAmount,
interest,zainteresowanie
daysTillDue,
currencyName,
cancelalldebtfromplayer,
Cancel debt that a particular player has accumulated.,Umóż dług skumulowany przez gracza.
craft,
stockpile,
Spawns a stockpile containing stacks of the listed items.,Wywołuje skład zawierający stacki wymienionych rzeczy.
item1,
item2,
item3,
item4,
item5,
money,
accounts,
Display all bank accounts in the game.,Wyświetla wszystkie konta bankowe w grze.
steamsale,
Give every player an amount of money,Daj każdemu graczowi określoną kwotę pieniędzy
amount,kwota
currencies,
List all currencies in the game.,Lista wszystkich walut w grze.
tax,podatek
"Tax all accounts in all currencies a specified amount of money, into the treasury by default or a specified account.","Opodatkować wszystkie konta w wszystkich walutach specifikowaną ilość pieniędzy, w skarbiec lub specifikowane konto."
accountID,
carried,trzymane
Level,Poziom
districts,
Commands related to user-defined districts.,Komendy związane z dzielnicami zdefiniowanymi przez użytkowników.
radiusInPlots,
district,dzielnica
civics,
Performs a variety of government operations.,Wykonuje różne operacje rządowe.
debug,
allUsers,
showgovernment,
Lists the active elements of the government.,Wymienia aktywne elementy rządowe.
action,
election,wybory
"Remove record of a specific election, or if none passed, all previous elections.","Usuń rekord specyficznej elekcji, lub jeżeli żadne nie przeszły, usuń rekord wszystkich poprzednich elekcji."
elections,wybory
List running elections.,Lista aktywnych wyborów.
listdems,
List each demographic and who is in it.,"Lista grup ludności i osób, które się w nich znajdują."
mydems,
List each demographic and the status of the specified user (using the called if none specified).,"Wypisz każdą grupę demograficzną i status określonego użytkownika (używając wywoływanego, jeśli nie określono)."
laws,prawa
titles,
Lists all existing titles and info about them.,Wyświetla wszystkie istniejące tytuły i informacje o nich.
assign,
"Assigns a given user to a given title, assigning to yourself if none is specified.","Przypisuje gracza do danego tytułu, przypisywanie siebie, jeśli gracz nie sprecyzowany."
title,tytuł
assignTo,
unassign,
"Removes a given user from a given title, removing from yourself if none is specified.","Usuwa gracza z danego tytułu, usuwanie siebie, jeśli gracz nie sprecyzowany."
unassignUser,
Clears all occupants from a title.,Usuwa wszystkich graczy z tytułu.
delete,
Permanently deletes a title.,Permanentnie usuwa stanowisko.
rename,
Rename a new title.,Zmień nazwę dla nowego stanowiska.
newName,
Set values for a title.,Ustawia wartości dla stanowiska.
maxOccupants,
Test,
Districts,Dzielnice
openserverui,
"Opens the server GUI, if the user is a local user.","Otwiera GUI serwera, jeśli użytkownik jest użytkownikiem lokalnym."
avatar,
metime,mój czas
pollute,
trashcity,
Just in case you like living in TRASH CITY,W razie gdybyś lubił mieszkać w ZAŚMIECONYCH SLUMSACH
co2,
ppm,
Rains tailings from the heavens to ruin the world,"Wywołuje deszcz chemicznych odpadów z nieba, żeby zniszczyć świat"
air,
Creates AIR POLLUTION MACHINES OF DOOM,Wywołuje MASZYNY ZNISZCZENIA ZANIECZYSZCZAJĄCE POWIETRZE
sealevel,poziommorza
Displays the current sea level and how much it has risen.,Wyświetla aktualny poziom morza i o ile się zwiększył.
skills,
num,
bed,
contracts,
Stone Sickle,Kamienny sierp
Stone Road Tool,Kamienne narzędzie do dróg
Stone Machete,Kamienna maczeta
Steel Sickle,Stalowy sierp
Steel Machete,Stalowa maczeta
Modern Machete,Nowoczesna maczeta
Iron Machete,Żelazna maczeta
The time is: {0},Czas: {0}
Somebody else is already saving the world!,Ktoś inny już zapisuje świat!
Cannot fit {0} in your inventory.,Brak miejsca na {0} w twoim ekwipunku.
Unassigned Role,Nieprzypisana rola
Role,Rola
{0} cancelled.,Anulowano {0}.
{0} complete.,Ukończono {0}.
{0} payment,{0} płatność
splitting evenly,rozdzielać równomiernie
splitting based on work performed,podział na podstawie wykonanej pracy
", paid as work is performed.",", zapłacone, jako że praca została wykonana."
Should the amount be paid out as you do work? Or all at once at the end?,Czy kwota powinna zostać wypłacona podczas pracy? A może wszystko naraz na końcu?
"This clause allows you to define a set of sub-clauses. You can define how many of the sub-classes must be satisfied for this clause to succeed: All, Any, or None.\n\nThis clause is useful for making complex requirements with multiple options for success.","Ta klauzula umożliwia zdefiniowanie zestawu klauzul podrzędnych. Możesz zdefiniować, ile podklas musi być spełnionych, aby ta klauzula się powiodła: Wszystkie, Jakaś, albo Żadna.\n\nTa klauzula jest przydatna do tworzenia złożonych wymagań z wieloma opcjami sukcesu."
You cannot hold an election for {0}.{1}It is only a proposed title and must be activated first.,Nie możesz przeprowadzić wyborów dla {0}. {1} Jest to tylko proponowany tytuł i należy go najpierw aktywować.
You cannot hold an election for {0}.{1}The title has been removed.,Nie możesz przeprowadzić wyborów w {0}. {1} Tytuł został usunięty.
Election for {0} is already running.,Wybory dla {0} aktualnie się odbywają.
There is already an election happening for {0}: {1},Odbywają się już wybory do {0}: {1}
You are already in the running election {0}.,Już bierzesz udział w obecnych wyborach {0}.
Cannot start another election of type {0} for another {1}.,Nie można rozpocząć innych wyborów typu {0} dla innego {1}.
Can't start an election to replace this occupied position until {0} hours before the end of term.,"Nie można rozpocząć wyborów w celu zastąpienia aktualnego stanowiska, można to zrobić dopiero kiedy kadencja osoby się zakończy: {0} godzin do zakończenia kadencji osoby."
"Cannot run for office, you have already served the maximum number of terms, {0}.","Nie możesz ubiegać się o urząd, jeżeli już maksymalną liczbę terminów, {0}."
"Cannot run for office, you have already served the maximum number of consecutive terms, {0}.","Nie możesz ubiegać się o urząd, ponieważ przepracowałeś już maksymalną możliwą liczbę kadencji, {0}."
Only {0} may vote in this election.,Tylko {0} może głosować w tych wyborach.
Member Status,Status członka
added {0}. All requested items are present.,dodano {0}. Zebrano wszystkie wymagane przedmioty.
added {0}. {1} remaining.,dodano {0}. Pozostało {1}.
removed {0}. All requested items are present.,usunięto {0}. Zebrano wszystkie wymagane przedmioty.
removed {0}. {1} remaining.,"usunięto {0}, pozostało {1}."
You {0},Ty {0}
Only users with title permissions can set the global markers.,Tylko użytkownicy z uprawnieniami mogą ustawiać znaczniki globalne.
{0} added {1} to {2}.,Dodano {1} do {2} przez {0}.
Civics,Działania Obywatelskie
You are too hungry to do that.,"Jesteś zbyt głodny, by to zrobić."
Work Parties,Grupy Robocze
Can't ratify,Nie można ratyfikować
Missing {0} in {1}.,Brakuje {0} w {1}.
Invalid {0} in {1}: {2},Nieprawidłowe {0} w {1}: {2}
Local Worlds,Lokalne światy
Currently unposted.,Obecnie nieopublikowane.
Amount to craft:,Ilość do wytworzenia:
Target account:,Konto docelowe:
Open or Closed Work Party,Otwarta lub Zamknięta Brygada Pracownicza
Set whether this Work Party is an Open or Closed size.\n\nAn 'Open' Work Party will open a new laborer slot when existing roles fill up. A closed Work Party will not.,"Określ, czy ta brygada pracownicza ma wymiar otwarty czy zamknięty.\n\n'Otwarta' brygada pracownicza otworzy nowe miejsce dla pracowników, gdy zapełnią się istniejące role. Zamknięta grupa robocza tego nie zrobi."
Laborers,Pracownicy
Permissions,Pozwolenia
Bank Accounts You Manage,"Konta bankowe, którymi zarządzasz"
Help Text,Tekst pomocy
Mint item:,Wybij przedmiot:
Description:,Opis:
Enter Description.​,Wprowadź opis
Savegame Description,Opis save'a gry
Treasury Disabled:\nOnly citizens with Elected Titles that provide them treasury privileges can use this.,"Skarbiec niedostępny:\n Jedynie obywatele piastujący wybieralne stanowiska, które pozwalają im na korzystanie ze skarbca, mogą go używać."
% of transfer,% przelewu
Direct Transfer Tax (own):,Podatek od przelewu bezpośredniego (własny):
% of payment,% z płatności
% of fee,% od opłaty
Contract Tax:,Podatek od zlecenia:
Crafting Fee Tax:,Podatek od opłaty za rzemiosło:
Direct Transfer Tax (public):,Podatek od przelewu bezpośredniego (publiczny):
Host a World,Hostuj Świat
Online hours of {0} (in the last {1} days),Czas w grze spędzony przez {0} (w ostatnich {1} dniach)
Online time of a citizen.,Czas spędzony w grze przez obywatela.
The citizen who's online time we're measuring,"Obywatel, którego mierzymy czas online"
The currency owned by the citizen to count.,Waluta należąca do obywatela do przeliczenia.
