English,Russian
"{0} is disabled, can't ratify.","{0} неактивна, нельзя ратифицировать."
Can't ratify. {0}{1},Невозможно ратифицировать. {0}{1}
"There is no active constitution, so this one can be ratified at anytime.","Нет действующих конституций, поэтому она может быть ратифицирована в любое время."
Ratify {0},Ратифицировать {0}
"Are you sure you want to remove this draft, {0}?",Вы действительно хотите удалить этот черновик {0}?
Are you sure you want to remove {0} immediately?,Вы уверены что хотите немедленно удалить {0}?
You can only remove this via an election. Would you like to start that election to remove {0} now?,Вы можете удалить это только через голосование. Вы хотите сейчас начать голосование за удаление {0}?
Legally allowed to pollute.,Загрязнение окружающей среды разрешено законом.
Legally prevented from polluting. Turn on to retry.,"Загрязнение окружающей среды запрещено законом. Включите, чтобы повторить попытку."
The 'Abandoned Players' demographic will check this many past days for hours played by the user,Сколько прошедших дней используется в демографии 'Брошенный' для определения сыгранных игроком часов
Can laws prevent someone from logging in or playing?  Enable with caution: users can create a law that blocks everyone from logging in if this is enabled.,"Могут ли законы запрещать вход или игру? Включайте с осторожностью: игроки могут создать закон запрещающий всем вход, если включено."
Details of {0} '{1}',Детали {0} '{1}'
Add {0} as a new {1},Добавить {0} как новый {1}
Change {0} '{1}' to '{2}',Заменить {0} '{1}' на '{2}'
Changes between old ({0}) and new ({1},Изменения между старым ({0}) и новым ({1})
Current {0} ({1}):,Текущий {0} ({1}):
Proposed {0} ({1}):,Предложенный {0} ({1}):
{0} began: Should {1} be changed to {2}?.,{0} началось: Нужно ли изменить {1} на {2}?.
{0} began: Should {1} be removed?.,{0} началось: Удалить {1}?.
No object provided,Объект не задан
Cliffs,Скалы
Wrong number of arguments for command: {0},Неверное количество аргументов для команды: {0}
Wrong argument type for command: {0},Неверный тип аргумента для команды: {0}
Invalid number of arguments for command: {0},Недопустимое количество аргументов для команды: {0}
Invalid block type for command: {0},Недопустимый тип блока для команды: {0}
Unknown command: {0},Неизвестная команда: {0}
Import string can't be empty.,Строка импорта не может быть пустой.
Command can't be empty.,Команда не может быть пустой.
Import finished successfully.,Импорт завершился успешно.
Initializing registrars for {0},Инициализация регистраторов для {0}
Else If,"Иначе, если"
Owned by {0}.,Владелец {0}.
Select a target to transfer ownership to.,Выберите кому передать права собственности.
Enter a Number,Введите число
Manual Value,Значение загаданное вручную
Impact in:,Столкновение через:
Failed to parse table rich text: {0},Не удалось разобрать форматированный текст таблицы: {0}
Create a copy of this world?,Создать копию этого мира?
Enter a name for this world:,Введите название мира:
Please choose another name for this world.,Пожалуйста выберите другое название для этого мира.
Hollow,Полый
Drilling...,Бурение...
Finished!,Завершено!
{0} plots. {1} sq m.,Участков - {0}. {1} кв. м.
Labor Complete,Работа выполнена
"You don't have {0}, so someone else will need to perform the labor on this work order. Do you still want to start it?","У вас нет навыков в {0}, вам потребуется кто-то ещё что бы произвести работу над этим проектом. Вы действительно хотите запустить его?"
object,объект
In Election{0}{1},На голосовании{0}{1}
Active {0},Активный {0}
Draft {0},Черновик {0}
Revise {0},Пересмотреть {0}
Place block,Установить блок
Place starting block,Разместить начальный блок
Place ending floor block,Разместить конечный блок пола
"Place height, {0} blocks","Разместить вершину, блоков: {0}"
Can't place here,Невозможно разместить здесь
Steam initialization failed with message: {0}\nIt may be related to one of problems described here: https://partner.steamgames.com/doc/sdk/api#initialization_and_shutdown\nYou can also may try to close all other Steam apps and restart client\nor login with SLG account.,Инициализация Steam завершилась с ошибкой: {0}\nЭто может быть связано с одной из описанных здесь проблем: https://partner.steamgames.com/doc/sdk/api#initialization_and_shutdown\nТак же вы можете попробовать закрыть другие приложения Steam и перезапустить клиент\nили попробовать войти с помощью аккаунта SGL.
You are trying to use Family Sharing. This is not supported.,"Вы пытаетесь использовать Family Sharing, который не поддерживается."
Nothing found,Ничего не найдено
Level of Details,Уровень детализации
"Level of Details determines how good environment (like grass, leaves, etc.) look in game and how far it visible. Also affects small animals.\n\nPerformance impact: Average","Уровень детализации определяет как хорошо выглядит окружающий мир (трава, листья и т.д.). Так же влияет на маленьких животных.\n\nВлияние на производительность: среднее"
Window Name,Название окна
Autocraft,Авто-крафт
Transfer Funds,Перевод средств
Add marker,Добавить метку
Adds world marker to this block on your minimap so you will never miss your finds.,"Добавляет метку на этот блок на вашей миникарте, так что вы никогда не пропустите свои находки."
Instead it...,Вместо этого...
"Yes, and yes...","Да, и да..."
It should have...,Это должно быть...
Search text...,Найти текст...
Fine red stone,Красивый красный камень
Show undiscovered,Показать неисследованное
Look at block description,Отображать подсказку с названием при взгляде
Eraser,Ластик
Filter,Фильтр
max\n,максимум\n
Reset ecopedia viewed pages,Сброс просмотренного в экопедии
Audio,Звук
Your Civic Duties,Ваши гражданские обязанности
Contained Districts,Содержит Районы
Current claimed:,Сейчас занято:
Camera Mode,Режим отображения
(Right click to select plots),(ПКМ для выбора участков)
Choose size,Выбрать размер
Available:,Доступно:
Group,Группа
Set notifications that will be displayed,Настройка отображаемых уведомлений
Sale Price,Цена продажи
Buy Price,Цена покупки
Number Wanted,Купит
Number Available,Доступно
Prospecting,Геологоразведка
PEDIA,ПЕДИЯ
Cancel\n,Отмена\n
New District,Новый район
Advanced Crafting,Продвинутое Изготовление
Allows you to manually choose a specific recipe variation.,Позволяет вам вручную выбрать необходимый вариант рецепта.
Form,Форма
Fill Type,Заполнение
Material,Материал
Notifications,Уведомления
District maps,Карты районов
Delete all,Удалить всё
Width,Ширина
None​,Нет
alert,
Sends an alert to everybody,Посылает всем предупреждение
clearobjective,
Clears a user's objective,Очищает цель пользователя
dumpall,
Change In Item Count,Изменить количество предмета
Vote Type,Тип Голоса
Constructed Or Deconstructed,Построен Или Разобран
Dropped Or Picked Up,Брошен Или Поднят
Block Form,Форма Блока
If Then Block,Блок 'Если-То'
Message,Сообщение
Notification Type,Тип уведомления
People To Send To,Адресаты
Value To Display,Значение для отображения
Stat Name,Наименование Характеристики
Person,Человек
Count,Счётчик
Level up a citizen by one.  Default levels you up.,"Повышайте уровень жителя на один. Уровни по умолчанию, которые вы повышаете."
Loose Rubble,Подвижный булыжник
Not Loose Rubble,Не подвижный булыжник
Constructed,Построен
Deconstructed,Разобран
Dropped,Брошен
Picked Up,Поднят
Basic Notification,Основные Уведомления
Side Bar Message,Сообщение Боковой Панели
On Screen Notice,Уведомление На Экране
First Vote In Election,Первый Голос В Голосовании
Changed Previous Vote,Изменён Предыдущий Голос
Full Access,Полный Доступ
Consumer Access,Клиентский Доступ
RPCLogger,
Excavation,Выкапывание
Harvester,Комбайн
Planter,Сеялка
{0} comment from {1}: {2},{0} комментарий от {1}: {2}
{0} ({1:N2} seconds) ({2}),{0} ({1:N2} секунд) ({2})
Message is empty,Сообщение пустое
Objective for {0} cleared,Цели для {0} очищены
Not authorized to add items there.,Не авторизован для добавления элементов.
Not authorized to remove items there.,Не авторизован для удаления элементов.
"This is a government account, and is thus not counted for wealth calculations and taxes are not collected from it.","Это государственный счет, и поэтому он не учитывается при расчете богатства и налоги с него не взимаются."
Your percent ownership of this account for wealth calculation purposes: {0},Ваша доля владения этим счетом для целей расчета богатства: {0}
Government Banking Privileges,Правительственные полномочия банкира
"(Only account managers are counted in percent ownership, unless there are no managers).","(Только управляющие счётом учитываются в доле владения, кроме случаев, когда управляющих нет)."
"Government accounts can receive and pay out tax funds, and are ignored when collecting tax and calculating personal wealth.  To set this, you must have government banking privileges, assigned by an Elected Title.","Правительственные счета могут получать и выплачивать денежные средства, а также не берутся в расчёт при сборе налогов и расчёте личного богатства. Чтобы увидеть их, вам нужны правительственные полномочия банкира, выдаваемые выборной должностью."
Not enough {0} in {1},Не хватает {0} в {1}
in the last {0},за последние {0}
Record custom stat {0},Записать свой показатель {0}
for user {0},для пользователя {0}
Stat name must be set.,Должно быть указано наименование показателя.
"Stat name '{0}' not allowed, may not contain spaces.","Недопустимое название показателя '{0}', нельзя использовать пробелы."
"Stat name '{0}' not allowed, may only contain letters and numbers.","Недопустимое название показателя '{0}', можно использовать только буквы и цифры."
Count how many times a custom stat has occurred.,"Посчитать, сколько раз встречался настраиваемый показатель."
Record a custom stat of your choosing.,Записать настраиваемый показатель по вашему выбору.
Person to associate with this recording of the stat (optional),"Игрок, к которому присоединена запись этого показателя (необязательно)"
"Count associated with this event (optional, defaults to 1).","Количество, привязанное к этому событию (необязательно, по умолчанию 1)."
property plots,участки во владении
property plots (including government-owned),участки во владении (включая государственные)
owned by {0},принадлежит {0}
plot,участок
(ignoring ownership percent),(игнорируя долю владения)
owned by anyone,в собственности у кого угодно
anyone,кто угодно
How many property plots a person owns or is a manager of. Multiple owners yields a pro-rated ownership amount.,"Сколько участков находятся во владении или управлении игрока. Если владельцев несколько, то учитывается площадь пропорционально доле владения."
The person whose property is being checked. Leave blank to count property owned by anyone.,"Игрок, чья собственность проверяется. Оставьте пустым, для подсчёта принадлежащей кому-либо."
Districts to check with property.  Leave empty to ignore districts.,"Районы, в которых проверять собственность. Чтобы игнорировать районы, оставьте пустым."
Ignores property owned by demographics or elected titles.,Игнорирует собственность во владении демографических групп или выборных должностей.
"If multiple people own a property (titles), this will weight ownership evenly among them.","Если несколько игроков владеют собственностью (титулы), то при расчёте собственность будет делиться между ними поровну."
How much currency a citizen has in all the bank accounts they manage (pro-rated when there are multiple managers). Ignores Government Accounts.,"Сколько валюты житель имеет на всех банковских счетах, которыми он управляет (если управляющих несколько, будет учитываться его доля). Игнорируются правительственные счета."
Basic math operations.,Базовые математические операции.
Can holders of this position use the treasury bank account?,Могут ли обладатели этой должности пользоваться казначейским банковским счетом?
{0} {1} block {2} failed: {3},{0} {1} блок {2} неудачные: {3}
Send a {0} '{1}' to {2},Отправить {0} '{1}' в {2}
if,если
else if,иначе если
else,иначе
unowned,ничейный
Message from {0} via executive action:,Сообщение от {0} через исполнительное действие:
Message from {0}:,Сообщение от {0}:
"Take money from a given citizen or group, applies to all accounts they manage (except government account).","Взять деньги от указанного жителя или группы лиц, применяется ко всем счетам, которыми они управляют (кроме государственного)."
Send a custom notice to a set of people.,Отправить произвольное уведомление группе людей.
The text to send.,Текст для отправки.
The people to send to.,"Люди, которым нужно отправить."
An optional custom value to display at the end of the notice.,"Необязательное пользовательское значение, которое будет отображаться в конце уведомления."
The tests made to apply this effect.,Выполненные проверки для применения этого эффекта.
The results if the conditions for this block are met.,"Результаты, если условия для этого блока выполняются."
{0} {1} trigger failed: {2},{0} {1} условие не сработало: {2}
{0} {1} trigger passed: {2},{0} {1} условие сработало: {2}
{0} {1} executed: {2},{0} {1} выполнено: {2}
On event,Событие
{0} timer,{0} таймер
person,человек
people,люди
Requires {0} calories of{1} labor,Требуется {0} калорий {1} работы
Requires{0},Требуется{0}
every {0},каждые {0}
on {0},на {0}
on each person in {0},на каждого в {0}
"Movement of items between inventories by a citizen.  When moving between inventories, two actions are triggered.","Перемещение жителем предметов между инвентарями. При перемещении между инвентарями, срабатывают два действия."
"The number of items moved; positive if they're being put in, negative if taken out.","Количество перемещаемых предметов; положительное, если их кладут, отрицательное, если их вынимают."
An object's interface panel was opened.,Интерфейсная панель объекта была открыта.
"Is this the first time they've voted in the election, or are they changing a previous vote?","Это первый раз, когда они голосовали на выборах, или они меняют предыдущий голос?"
The tool used to plant.,"Инструмент, используемый для посадки растений."
"A block was constructed or deconstructed (built in a form, from a hammer or otherwise).","Блок был построен или разобран (построен в форме, молотком или иным образом)."
Was the block constructed or deconstructed?,Был ли блок построен или разобран?
A block was dug or mined from the ground.,Блок был выкопан или добыт из земли.
A road block was tamped using a road tool.,Дорожный блок был утрамбован с помощью дорожного инструмента.
Ground was plowed.,Земля была вспахана.
Was the block dropped or picked up?,Был ли блок брошен или поднят?
Was the block rubble or not when picked up?,"Был ли этот блок обломками или нет, когда его подняли?"
The citizen who performed the pollution.,"Житель, загрязняющий окружающую среду."
The citizen currently being processed for the timer event.,"Житель, который сейчас обрабатывается событием по таймеру."
The position of the user when the timer triggers.,"Местоположение игрока, когда срабатывает таймер."
Harvesting,Сбор
No law triggered,Закон не срабатывает
The object targeted.,Целевой объект.
Can't place block within another world object,Невозможно разместить блок внутри другого объекта
Can't pick up block contained within another world object,"Невозможно поднять блок, находящийся внутри другого объекта"
The sale listing is invalid: {0}.,Недопустимый список продаж: {0}.
{0} bought {1} from you,{0} купил {1} у вас
Deed no longer exists.,Права больше не существует.
No account selected.,Счёт не выбран.
No currency selected.,Не выбрана валюта.
Deed has no owners.,Право не имеет собственников.
Deed seller no longer owns the deed.,Продавцу больше не принадлежат права.
Deed seller no longer has access to payment receiving account.,Продавец больше не имеет доступа к счету приема платежей.
User Action Debug display turned off.,Отображение Отладки Пользовательских Действий отключено.
Global Action Debug display turned off.,Отображение Отладки Глобальных Действий отключено.
Global Action Debug display turned on.,Отображение Отладки Глобальных Действий включено.
User Action Debug display turned on.,Отображение Отладки Пользовательских Действий включено.
"Failed to load object of type '{0}'. It will be ignored, but may cause inconsistency and errors in other entities:","Не удалось загрузить объект типа '{0}'. Он будет проигнорирован, но это может вызвать несоответствия и ошибки в других объектах:"
{0} validation failed with following message: {1}. Config was removed and default config used instead.,"Проверка {0} не прошла со следующей ошибкой: {1}. Настройка удалена, вместо неё используется значение по умолчанию."
Disabled because of invalid status.,Выключено из-за неверного состояния.
Target Account:,Cчёт получателя:
Report a bug,Сообщить об ошибке
Bank Accounts you manage\n,"Банковские счёта, которыми вы управляете\n"
Create Account,Создать счёт
Components,Компоненты
Value,Значение
announce,
Sends an announce to all players,Отправляет объявление всем игрокам
World Object Item,Мировой предмет
Item Moved,Перемещённый предмет
Current Owner,Текущий владелец
Receiver,Получатель
Reason,Причина
Crafted Item,Создаваемый предмет
Order Count,Число заказов
Labor Added,Добавлена работа
Labor Profession,Рабочая профессия
Labor Skill,Рабочий навык
Skill Level Needed,Необходимый уровень профессии
Requirements To Take Role,"Требования, чтобы взять роль"
Access Type,Тип доступа
Expand Roles,Расширить роли
showtick,
Show time until the next civics tick.,Отображать время до следующего такта гражданского права.
ticknow,
Force a tick on the civics system to happen immediately.,Принудительно вызвать такт обработки системы гражданского права.
Actions To Run Once,"Действия, выполняемые один раз"
Taxation,Налогообложение
Direct Transfer,Прямой перевод
Debt Payment,Выплата долга
Contract Payment,Оплата договора
Contract Refund,Возврат по договору
Work Party Payment,Зарплата рабочей группы
Toll Payment,Пошлина
Crafting Fee,Налог на изготовление
Escrow Storing,Хранение залога
Store Sales,Продажи магазина
Deed Sales,Продажи прав собственности
Funds Allocation,Выделение денег
Wage,Зарплата
Allow Invalid Civic Container Time In Minutes,"Время работы объектов гражданского права с ошибкой, в минутах"
Hewn Softwood,Тёс из хвойных пород
Hewn Hardwood,Тёс из лиственных пород
Snapping Turtle Carcass,Туша каймановой черепахи
A dead Snapping Turtle.,Мёртвая каймановая черепаха.
Pacific Sardine,Перуанская сардина
A Pacific Sardine.,Вид рыб из рода сардинопсов из семейства сельдевых.
Jaguar Carcass,Туша ягуара
A dead Jaguar.,Мёртвый ягуар.
Crab Carcass,Туша краба
Coyote Carcass,Туша койота
A dead Coyote.,Мёртвый койот.
A Cod.,Треска.
Blue Shark,Синяя акула
A Blue Shark,Синяя акула
A dead bison.,Мёртвый бизон.
A Bass.,Окунь.
Alligator Carcass,Туша аллигатора
A dead Alligator.,Мёртвый аллигатор.
Agouti Carcass,Туша агути
Yield Potential,Потенциальный урожай
Next tick in {0} (ticks every {1}),Следующий такт в {0} (такты каждые {1})
{0} previously was recycled by stack trace:\n{1},{0} ранее был переработан трассировкой стека:\n{1}
and {0:count} more,и {0:count} больше
Currently Valid: {0},Сейчас действует: {0}
{0} has made an announcement. {1},{0} сделал объявление. {1}
Inventory does not contain the {0} required for this action,"В инвентаре отсутствует {0}, необходимый для этого действия"
Unable to move any items.,Невозможно переместить предметы.
"Couldn't find any work orders to populate this work party with.  Create unfinished work orders first, then create the work party.","Не удалось найти проекты для создания рабочей группы.  Сначала создайте незавершённый проект, затем создайте рабочую группу."
Couldn't spawn party: {0},Не удалось создать группу: {0}
Craft {0},Изготовить {0}
"You contributed to {0} but are not a member of it!  To get credit for your contributions, join the work party at {1}.","Вы внесли вклад в {0}, но не являетесь участником рабочей группы! Чтобы получить награду за ваш вклад, вступите в рабочую группу на {1}."
Post failed: {0},Не удалось опубликовать: {0}
{0} has been posted and is currently active.,{0} опубликована и сейчас активна.
You do not meet the general requirements to join this work party.{0}{1},"Вы не отвечаете общим требованиям, чтобы вступить в рабочую группу.{0}{1}"
You do not meet the requirements to join that role.{0}{1},"Вы не отвечаете требованиям, чтобы взять эту роль.{0}{1}"
"Could not add work to work party: {0} already is finished with both resources and labor, nothing left to do.","Нельзя добавить работу в рабочую группу: {0} уже завершён по ресурсам и работе, больше ничего не нужно делать."
Could not add work to work party: {0} is already on another work party: {1}.,Нельзя добавить работу в рабочую группу: {0} уже в другой рабочей группе: {1}.
Work party deleted.,Рабочая группа удалена.
Remaining Work:,Осталось работы:
"You may only share skill as payment if you have the skillbook in your inventory, or the workparty is creating the skillbook. {0} skillbook was not found in inventory or work list.","Поделиться знанием в качестве награды можно, если у вас в инвентаре есть книга или рабочая группа создаёт книгу. Книга {0} не найдена в инвентаре или рабочем проекте."
General Requirements,Общие требования
"The list of laborers signed up for the project, and text descriptions of what their role is.  Each role can also have a skill requirement or other restriction.","Список работников, подписавшихся на проект, и текстовые описания их ролей. Каждая роль также может иметь требования к навыкам или другие ограничения."
The list of work that is to be performed for this work party.,"Список работ, которые должны быть выполнены этой рабочей группой."
Details on how payments will be made for this work party.,Подробности о оплаты за эту рабочую группу.
{0} is assigned to a different work party: {1}.,{0} переведён в другую рабочую группу: {1}.
Needs,Нужно
Add {0} for {1} at {2},Добавить {0} для {1} в {2}
{0}'s contribution is now over {1} and can {2},Вклад {0} превысил {1} и может {2}
{0} queued to gain {1} when {2} finishes.,"{0} поставлен в очередь, чтобы получить {1} когда {2} завершится."
"(Skipping payment of {0} reputation, because you cannot give reputation to yourself.)","(Пропуск оплаты {0} репутации, потому что вы не можете дать репутацию самому себе.)"
{0} given {1} reputation from {2}.,{0} получил {1} ед. репутации от {2}.
if work contributed is at least {0},если вклад в работу составит не менее {0}
gain knowledge of {0}.,получить знания о {0}.
receive {0}.,получить {0}.
Added by {0},Добавлено {0}
"Receive {0}, {1}","Получить {0}, {1}"
"Receive {0} reputation from {1}, {2}","Получить {0} репутации от {1}, {2}"
{0} reputation,{0} репутации
Contributed to {0},Внес вклад в {0}
occupant,должность
manager,управляющий
Any laborer who contributes at least this percent of the work will receive the reward.,"Любой работник, который внесёт минимум эту часть работы, получит вознаграждение."
"Which skills to share.  Must have access to the skillbook at posting time, or the work party is creating the skillbooks.","Какими навыками нужно поделиться. Необходимо иметь доступ к книге навыков во время публикации, или рабочая группа создает книги умений."
Grants a title as payment.,Предоставляет титул в качестве оплаты.
Which titles to grant.,Какой титул дать.
Type of access to grant.,Тип доступа к гранту.
Payment made as a currency transfer.,Оплата производится в виде валютного перевода.
Payment made with reputation from the work party creator.,Оплата производится репутацией от организатора рабочей партии.
Amount paid must be greater than zero.,Сумма оплаты должна быть больше нуля.
Cannot have title access set to 'None'.,Не может иметь значение доступа к титулу 'Отсутствует'.
(required: {0},(требуется: {0}
{0} contributed.,{0} внес свой вклад.
Collect resources and perform labor.,Собирайте ресурсы и выполняйте работу.
The laborer applying to be in this work party.,Рабочий обращается для вступления в эту рабочую группу.
No property assigned,Нет назначенной собственности
Gain Permissions,Получение Разрешений
Missing client,Отсутствует клиент
{0}'s {1} Deed,Право {1} игрока {0}
{0} Deed,Право {0}
Population of {0},Популяция {0}
{0} count,{0} штук
from {0} accounts,со счетов {0}
total {0} in circulation,всего {0} в обращении
Citizen age in hours,Возраст жителя в часах
World age in hours,Возраст мира в часах
World age in days,Возраст мира в днях
{0} is an admin,{0} администратор
{0} is not an admin,{0} не администратор
{0} {1} at or above level {2},{0} {1} на уровне или выше {2}
{0} percent of {1},{0} процент от {1}
Personal Account for {0},Личный счёт для {0}
{0} removed from {1}: {2}.,{0} перемещено из {1}: {2}.
{0} removed: {1},{0} перемещено: {1}
The candidate or office holder.,Кандидат или обладатель должности.
"All office holders must be in this demographic. If they cease to be, they will be removed from office.  (Note: for appointed titles, this will only remove directly specified users. Users that are part of a sub-title or demographic will be unaffected).","Все должностные лица должны быть в этой демографической группе. Если они перестанут существовать, то будут отстранены от должности. (Примечание: для назначенных должностей это приведет только к удалению непосредственно указанных пользователей. Пользователи, которые являются частью должности или демографической группы, не будут затронуты)."
You {0} for {1} at any {2},Вы {0} для {1} при любом {2}
You {0} for {1},Вы {0} для {1}
can run,можете баллотироваться
cannot run,не можете баллотироваться
member of {0},участник {0}
A logic block that must be true for a given candidate to run for this office.,"Логический блок, который должен быть верен для данного кандидата, чтобы баллотироваться на этот пост."
{0} is not contained on a placed object.,{0} не содержится в размещённом объекте.
{0} container {1} is disabled.,{0} контейнер {1} выключен.
If not fixed in {0} this {1} will be disabled.,"Если не исправить в течение {0}, {1} будет отключён."
"{0} is valid again, and {1} disable timer has been stopped.","{0} снова действует, таймер отключения {1} остановлен."
Must have non-zero value for amount.,Должно иметь ненулевое значение для величины.
Perform the following actions once:,Выполните следующие действия один раз:
Determines which citizens to perform the actions listed in 'Actions on Each Citizen' upon.,"Определяет, какие жители должны выполнять действия, перечисленные в 'Действия в отношении каждого жителя'."
"Actions to run once total, separate from actions run on citizens specified above.","Действия, выполняемые всего один раз, отделяются от действий, выполняемых на жителях, указанных выше."
"When 'Citizen Conditions' are set, must have 'Actions On Each Citizen' listed to run on each citizen.","Когда заполнен раздел 'Требования к жителям', то необходимо указать 'Действие на каждого жителя', для применения на всех жителях."
Must have at least one action in either 'Actions On Each Citizen' or 'Actions To Run Once',"Должно быть как минимум одно действие либо в 'Действиях на каждого жителя', либо в 'Действиях для запуска один раз'"
{0} was prevented from taking office by law: {1},{0} был лишен возможности вступить в должность по закону: {1}
{0} started.,{0} начато.
You are now a member of {0},Теперь вы участник {0}
You are no longer a member of {0},Вы больше не входите в {0}
{0} requires {1} {2} to craft. You have {3},{0} требует {1} {2} для изготовления. У вас есть {3}
Data Exporter,Экспортер данных
DataExporter,Экспортер данных
{0} was removed from your Ignore List.,{0} удалил вас из чёрного списка.
You have added {0} to your Ignore List.,Вы добавили {0} в чёрный список.
"(Upon completion, knowledge will be shared with {0})",(При завершении {0} получит знание)
{0} Work Order,{0} проект
Tags,Группы
Labor needed,Требуется работа
With {0},{0}
where {0} is {1},где {0} это {1}
WorldObjectInteractAction.WorldObjectItem,
PlaceOrPickUpObject.ItemUsed,
ToolInteractAction.ToolUsed,
CleanupTreeDebris.ToolUsed,
BlockAddRemove.ToolUsed,
The type of item moved.,Тип перемещённого предмета.
A citizen transfers owned property.,Житель передаёт своё имущество.
The citizen who transfered the property.,"Житель, который передал имущество."
Current owner of the property being transfered.,Текущий владелец переданного имущества.
New owner of the property being transfered.,Новый владелец переданного имущества.
The position of the property.,Расположение имущества.
A citizen transfered money.,Житель перевёл деньги.
The citizen who transfered the money.,"Житель, который перевёл деньги."
The citizen who received the money.,"Житель, получивший деньги."
The bank account the money came from.,"Банковский счёт, с которого поступили деньги."
The bank account the money went to.,"Банковский счёт, на который отправлены деньги."
The currency of the transfer.,Валюта перевода.
The amount of money transfered.,Сумма переведённых денег.
The reason of the transfer.,Причина перевода.
The election process of the election in question.,Тип голосования для рассматриваемого голосования.
What was used to chop the stump?,Что использовалось для рубки пня?
A citizen removed debris from felling a tree.,Житель убрал обломки от упавшего дерева.
The crafting table used.,"Верстак, который использовался для изготовления."
A citizen performed labor to a work order.,Житель выполнивший работу в заказе.
The amount of labor performed.,Количество вложенной работы.
The profession needed to perform the labor.,Профессия необходимая для выполнения работы.
The skill needed to perform the labor.,Навык необходимый для выполнения работы.
The level of skill needed to perform the labor.,Уровень профессии необходимый для выполнения работы.
Tax changes,Налоговые изменения
Can't create more than {0} posts on a single board.,Невозможно создать больше {0} объявлений на одной доске.
"Your contract '{0}' is invalid, must fix or delete before posting another one.","Ваш договор '{0}' недействителен, нужно исправить или удалить его перед публикацией нового."
How much time can a civics object have an invalid/missing host object before it goes invalid?,Как долго объекты гражданского права могут быть 'в ошибке' до полного прекращения функционирования?
Civics tick triggered.,Такт гражданства запущен.
Can't configure console for reporting on same line. Multiline output will be used.,Не удается настроить консоль для создания отчетов в одной строке. Будет использоваться многострочный вывод.
{0}{1} removed due to verification error: {2},{0}{1} удалено из-за ошибки проверки: {2}
"Failed to apply fixup for '{0}'. It will be ignored, but may cause inconsistency and errors in other entities:","Не удалось применить исправление для '{0}'. Он будет проигнорирован, но это может вызвать несоответствия и ошибки в других объектах:"
Web Server now listening on: {0},Вебсервер работает с: {0}
Could not find the required files within any of the following directories: {0}.  Is your working path set correctly? The Server should be run with Server as the working directory,Не удалось найти необходимые файлы ни в одной директории: {0}. Правильно ли указан путь? Сервер должен быть запущен с сервером в качестве рабочей директории
Saving,Сохранение
Registered Types:,Зарегистрированные типы:
CDN running,CDN запущен
now.,сейчас.
ago.,тому назад.
Clear ecopedia viewed pages history?,Очистить историю просмотренных в экопедии страниц?
Ecopedia,Экопедия
Opens the Ecopedia to display help on this topic.,Открывает Экопедию чтобы показать соответствующий раздел справки.
Progress:,Прогресс:
Create Contract,Создать договор
You have not any notification,У вас нет уведомлений
Received,Получено
Progress,Прогресс
List the amount finished for the given work.,Показывает величину завершения данной работы.
The person assigned to this role.  Roles can be claimed by anyone who meets the listed requirements.,"Человек назначенный на эту роль. Роль может быть получена любым, кто соответствует требованиям."
Weight,Вес
"Contributions to this part of the work will be multiplied by the given weight.  For example, if the labor is set to '2' weight while ingredients are set to '1', then labor will count for double payment compared to what the ingredients are paid.","Вклад в эту часть работы будет умножен на указанный вес. Например, если у работы будет вес '2', а у ингредиентов - вес '1', то за работу оплата будет в два раза больше, чем за ингредиенты."
