English,BrazilianPortuguese
The description of this server. Max 250 characters.,A descrição deste servidor. Tamanho máximo de 250 caracteres.
Category for public server listing within the server browser.,Categoria para a lista de servidores públicos no navegador de servidor.
Port for game traffic.  UDP only.  Requires a restart to take effect.,Porta para o tráfego do jogo. Apenas UDP. Requer uma reinicialização para ter efeito.
Bind port for web traffic.  TCP only.  Requires a restart to take effect.,Porta de ligação para o tráfego WEB. Apenas TCP. Requer uma reinicialização para ter efeito.
{0} of {1} citizens currently sleeping.\n(All online citizens must sleep for time to accelerate.),{0} de {1} cidadãos dormindo agora.\n(Todos os cidadãos online devem dormir para haver aceleração do tempo.)
Sleep,Dormir
Fast-Forward disabled on this server.,O avanço rápido do tempo está desabilitado neste servidor.
"Can players fast forward time by sleeping in a bed?  If all online players sleep, time will accelerate. (This shouldn't be enabled for public servers!)","Os jogadores podem acelerar o tempo dormindo em uma cama? Se todos os jogadores online dormirem, o tempo irá acelerar. (Isso não deve ser habilitado para servidores públicos!)"
The max time multiplier that time will pass while sleeping.  Lower this to make the simulation fast-forward more reliably.,O multiplicador de tempo máximo que o tempo passará durante o sono. Diminua isso para tornar o avanço rápido da simulação mais confiável.
How long it takes to reach the max sleep time.  Makes for a smooth transition into sleeping.,Quanto tempo leva para atingir o tempo máximo de sono. Faz uma transição suave para o sono.
Give Reputation To {0},Dar reputação para {0}
({0}) Available,({0}) disponível
Your review of {0},Sua opinião sobre {0}.
{0} online,
Target Frame Rate,Taxa de quadros
Selected: {0},Selecionado: {0}
Total Available {0}: {1},Total disponível em {0}: {1}
Amount Per Person: {0},Quantia por pessoa: {0}
Underwater Distortion,Distorção subaquática
Sunshafts,Raios solares
Fog,Névoa
Ambient Occlusion,Oclusão de ambiente
VSync,Sincronização vertical
Show Interact Cursor,Mostrar cursor de interação
Level Up!\n,Subiu de nível!\n
Each level up you gain a star to learn a discovered specialty.,A cada nível conquistado você ganhará uma estrela para aprender uma especialidade descoberta.
Hewn Logs,Madeiras Cortadas
Work orders will use nearby tables and storage to fulfill work orders.,As ordens de trabalho usarão as mesas e os armazenamentos próximos para serem completadas.
Carrying,Carregando
Currencies In Use,Moedas em Uso
Public Crafting Stations,Estações de Fabricação Públicas
Your Debts,Suas dívidas
Distance,Distância
Backed\n,Apoiado\n
Type,Tipo
Accepted Contracts,Contratos aceitos
Fee/Min,Taxa/Mín
Circulation,Circulação
Creator,Criador
Fee/Item,Taxa/Item
Posted Contracts,Contratos postados
Wait,Espera
State\n,Estado\n
Name\n,Nome\n
Atmosphere Scattering,Dispersão atmosférica
Fastest,Mais rápido
Fast,Rápido
Simple,Simples
Good,Bom
Beautiful,Maravilhoso
Fantastic,Fantástico
Points\n,Pontos\n
Trade,Negociação
For sale,À venda
The pie shrinks as your calories go down.,A gráfico diminui quando suas calorias caem.
"The better quality and more balanced your diet, the faster you gain experience.","Quanto melhor a qualidade e mais balanceada for sua dieta, mais rápido você ganhará experiência."
Track your calories and nutrients here.,Acompanhe suas calorias e nutrientes aqui.
"If you run out of calories, you can't work until you eat.","Se você ficar sem calorias, não poderá trabalhar até repo-las."
Each slice represents a different nutrient.,Cada fatia representa um nutriente diferente.
Fat,Gorduras
Carbohydrates,Carboidratos
Protein,Proteínas
Housing and Furniture,Habitação e Mobiliário
You can renovate your house or build new rooms as they become available.,Você pode reformar a sua habitação ou construir novas salas assim que novos blocos estiverem disponíveis.
Higher tier housing materials will increase your experience rate.,Os materiais de habitação de nível mais alto aumentarão sua taxa de experiência.
Advanced crafting stations will require rooms made from advanced materials.,Estações de fabricação avançadas exigirão salas feitas de materiais avançados.
Add furniture to your rooms to gain additional experience from it.,Adicione mobília em suas salas para ganhar experiência adicional com elas.
You'll need to create villages and cities to build all the types of rooms you need.,Você precisará criar vilarejos e cidades para construir todos os tipos de salas necessárias.
View your house and furniture quality here.,Veja aqui sua habitação e a qualidade da sua mobília.
Room Complete!,Sala concluída!
General\n,Geral\n
Bathroom,Banheiro
Bedroom,Quarto
Choose Contract Destination,Escolha o destino do contrato
Delete,Excluir
Title​,Título
Who Can Access,Quem pode acessar
Show All,Mostrar tudo
Title:,Título:
Actual Behavior:,Comportamento atual:
Expected Behavior:,Comportamento esperado:
Steps To Reproduce:,Passos para reproduzir:
Location,Localização
Move,Mover
Reset Defaults,Restaurar padrões
Music,Música
Primary,Primário
Mouse Sensitivity,Sensibilidade do mouse
Confirm,Confirmar
Confirm settings? Resetting in,Confirmar configurações? Redefinindo em
Field of View,Campo de Visão
Press any key to continue . . .,Pressione qualquer tecla para continuar . . .
Fullscreen,Tela Cheia
Tutorials,Tutoriais
Render Scale\n,Escala de renderização\n
Shadow Quality,Qualidade das sombras
Disconnect,Desconectar
View Distance,Dist. de visualização
Select Construct,Menu de construção
Invert Mouse Y,Inverter mouse Y
Interact,Interagir
Restart Tutorial\n,Reiniciar Tutorial\n
Action Bar,Barra de ação
Use Tool,Usar ferramenta
Logout,Encerrar sessão
Sprint,Correr
Set Play Times\n,Definir horas de jogo\n
Interface Scale,Escala da interface
Resolution,Resolução
Secondary,Secundário
Minimap Detail,Detalhes do minimapa
Jump,Pular
Rotate Left,Girar à esquerda
Rotate Right,Girar à direita
Quit,Sair
SFX,Efeitos de Som
Place Block,Colocar bloco
Toolbar,Barra de ferramentas
Brightness,Brilho
Your Objective,Seu objetivo
Set,Definir
Split Stack,Dividir pilha
Deposit\n,Depósito\n
New Game,Novo jogo
Continue,Continuar
password\n,senha\n
Server requires a password to connect,O servidor requer uma senha para se conectar
Load,Carregar
Log in to your Strange Loop account,Inicie sessão em sua conta Strange Loop
Login,Iniciar sessão
On,Ativado
Fuel Supply\n,Combustível fornecido\n
psi,
Repetitions:,Repetições:
Time Left:,Tempo restante:
Hours To Complete:,Horas para concluir:
Accepted By:,Aceito por:
Job Finished,Trabalho Concluído
Auto-Accept:,Aceitar automaticamente:
Drop Marker,Adicionar marcador
Markers,Marcadores
Follow Player,Seguir jogador
Spin Planet,Girar Planeta
Show In World,Mostrar no Mundo
Delete all Markers,Excluir todos os Marcadores
Copy to Clipboard,Copiar para a área de transferência
Display Offscreen,Exibir sempre
Color:,Cor:
Remove,Remover
Display Distance,Exibir distância
Shirt,Camisa
Masculine,Masculino
Clothing,Roupas
Body,Corpo
Belt,Cinto
Shoes,Sapatos
Pants,Calça
Hair,Cabelo
Hat,Chapéu
Skin,Pele
Feminine,Feminino
Okay,Ok
Select All,Selecionar tudo
Trash Pile\n,Pilha de lixo\n
Task Complete,Tarefa realizada
Head,Cabeça
Walking,Caminhando
Edit,Editar
Suit\n,Terno\n
Back,Voltar
Working,Trabalhando
Third Person,Terceira pessoa
Slot 8,Espaço 8
Slot 5,Espaço 5
Slot 4,Espaço 4
Slot 9,Espaço 9
Slot 1,Espaço 1
Slot 7,Espaço 7
Slot 6,Espaço 6
Slot 3,Espaço 3
Slot 2,Espaço 2
Slot 0,Espaço 0
"You gain experience over time, even when logged off.","Você ganha experiência com o tempo, mesmo quando desconectado."
Learning specialties give you bonuses and level up through use.,Aprender especialidades te darão bônus e subirão de nível através do seu uso.
Experience gained is based on your diet and housing.,A experiência ganha baseia-se na sua dieta e na sua habitação.
Specialties grant large benefits to the player when taken.,"As especialidades garantem ao jogador grandes benefícios, quando escolhidas."
Experience gain is multiplied by your experience multiplier.,O ganho de experiência é multiplicado pelo seu multiplicador de experiência.
"You can only pick one talent per option, so choose wisely!","Você só pode escolher um talento por opção, então escolha sabiamente!"
Level up your chosen specialties by performing related actions.,Suba o nível de suas especialidades ao realizar ações relacionadas.
Occasionally specialties allow you to pick between special talents.,"Ocasionalmente, as especialidades permitem que você escolha entre talentos especiais."
Crafting is done through a system called work orders.,A fabricação é feita através de um sistema chamado de ordens de trabalho.
Work orders will pause and resume depending on available resources.,"As ordens de trabalho serão pausadas e retomadas, dependendo dos recursos disponíveis."
Work orders can be queued up and rearranged as they progress.,As ordens de trabalho podem ser enfileiradas e reorganizadas à medida que progridem.
You can order more products than you have ingredients.,Você pode encomendar mais produtos do que você tem ingredientes.
Your XP Multiplier is determined by food + housing.,Seu Multiplicador de Experiência é determinado pela sua nutrição + habitação.
Trunk Resources,Caçando animais agora
Character XP,Experiência do Personagem
Select Targets,Selecionar destinos
Create Title,Criar Título
Direct Transfer Tax (own),Imposto Sobre Transferência Direta (próprio)
Direct Transfer Tax (public),Imposto Sobre Transferência Direta (público)
Mark Failed,Marcar como falhado
Post,Postar
Mark Finished,Marcar como concluído
Off,Desativado
Extreme,Extremo
Antialiasing,Anti-serrilhado
Graphics,Gráficos
experience multiplier,multiplicador de experiência
Amount to Show:,Quantidade para Mostrar:
Your Review of Player,Sua opinião sobre o jogador
Give Reputation,Dar reputação
Delete All,Excluir tudo
Resolution:,Resolução
Profession Title,Título da Profissão
Or,Ou
All\n,Todos\n
Mechanical Water Pump,Bomba de Água Mecânica
Electric Water Pump,Bomba de Água Elétrica
{0} of {1} currently filtered.,{0} de {1} atualmente filtrado.
Failed to notify changed: {0}.{1},Falha ao notificar mudou: {0}.{1}
Assertion failed: {0},Asserção falhou: {0}
Pool size can't be more than {0},O tamanho do pool não pode ser maior que {0}
{0} unlocked,{0} desbloqueadas
specialty,especialidade
Level: {0},Nível: {0}
Experience: {0},Experiência: {0}
"Sales tax: {0} Crafting fee tax: {1} Contract tax: {2} Direct Transfer tax: (public:{3}, own:{4})","Imposto sobre vendas: {0} Imposto sobre a taxa de fabricação: {1} Imposto sobre contratos: {2} Imposto sobre transferência direta: (pública: {3}, própria: {4})"
Balance: {0},Saldo: {0}
{0:n1}ms,
Error during shutdown,Erro ao desligar
Joshua Tree,Árvore de Josué
White Bursage,Ambrosia Dumosa
Barrel Cactus,Cacto-barril
White Bursage Seed,Semente de Ambrosia Dumosa
Plant to grow a white bursage.,Plante para cultivar uma ambrosia dumosa.
WhiteBursage,Ambrosia Dumosa
White Bursage Seed Pack,Pacote de Sementes de Ambrosia Dumosa
Joshua Seed,Semente de Árvore de Josué
Plant to grow a joshua tree.,Plante para cultivar uma árvore de josué.
Joshua,Árvore de Josué
Joshua Seed Pack,Pacote de Sementes de Árvore de Josué
Barrel Cactus Seed,Semente de Cacto-barril
Plant to grow barrel cactus.,Plante para cultivar um cacto-barril.
BarrelCactus,Cacto-barril
Barrel Cactus Seed Pack,Pacote de Sementes de Cacto-barril
Otter Carcass,Carcaça de Lontra
A dead otter.,Uma lontra morta.
Exclusive Fullscreen,Tela cheia exclusiva
Borderless Fullscreen,Tela cheia sem bordas
Windowed,Modo janela
SwitchObject,Interruptor
ButtonObject,Botão
TollObject,Pedágio
LogicGateObject,Porta Lógica
Specialty Leveled-Up\nLevel 5,Subiu Nível de Especialidade\nNível 5
WaterPumpObject,Bomba de Água
Logging\nGold,Exploração\nde\nOuro
Tool\nStrength,Força\nda\nFerramenta
Arrow\nEfficiency,Eficiência\nda\nFlecha
Lucky\nBreak,Quebra\nSortuda
Spruce,Pinheiro
Spruce Seed,Semente de Pinheiro
Spruce Seed Pack,Pacote de Semente de Pinheiro
Wheat Mortar,Argamassa de Trigo
Masonry Mortar,Argamassa de Alvenaria
Charred Mortar,Argamassa Carbonizada
Baked Mortar,Argamassa Assada
"A byproduct of processing lumber, wood pulp can be burned for Mortar or pressed into paper.","Um subproduto do processamento de madeira serrada, a polpa de madeira pode ser queimada para fazer argamassa ou prensada em papel."
Mortar,Argamassa
A log hewn and shaped to be a building material. Hewing logs at a workbench will grant no experience.,Uma madeira cortada e moldada para ser um material de construção. Cortar madeiras em uma bancada de trabalho não concederá nenhuma experiência.
Player Trampled,Pisoteado pelo jogador
Can mine,Pode minerar
Id,
{0}: {1} {2} experience,{0}: {1} de experiência em {2}
Added {0} to {1} managers.,Adicionados {0} a administradores de {1}.
Removed {0} from {1} managers.,Removido {0} de administradores de {1}.
Added {0} to {1},Adicionado {0} a {1}
Removed {0} from {1},Removido {0} de {1}
Can't make {0} the owner of {1} for security.,"Por segurança, não é possível tornar {0} o proprietário de {1}."
{0} is now the owner of {1} account.,{0} agora é o proprietário da conta {1}.
Changed {0} account name to,Nome da conta {0} alterada para
Custom,Personalizado
Generate Random Landscape,Gerar paisagem aleatória
Small,Pequeno
Default,Padrão
Large,Grande
Insane,Insano
Custom World Language,Idioma do mundo Personalizado
Custom Difficulty Settings,Configurações de Dificuldade Personalizadas
Impact Days,Dias para o impacto
Random,Aleatório
Time in days when the meteor will impact. Changing this value will override impact time for current active meteor.,Tempo em dias em que o meteoro irá impactar. Alterar este valor substituirá o tempo de impacto do meteoro ativo atualmente.
{0} at {1},{0} em {1}
{0} Bought {1},{0} Comprou {1}
Changes the distance at which game objects are rendered.\n\nPerformance impact: High,Altera a distância em que os objetos do jogo são renderizados.\n\nImpacto no desempenho: Alto
Determines actual interface size.\n\nPerformance impact: None,Determina o tamanho da interface.\n\nImpacto no desempenho: Nenhum
Determines how bright the final picture is.\n\nPerformance impact: None,Determina o quão brilhante é a imagem final.\n\nImpacto no desempenho: Nenhum
"Antialiasing aims to cut down on the pixellated, jagged edges you see in the game and helps to smooth out objects when you can't increase the resolution any further.\n\nPerformance impact: High",O anti-serrilhado visa reduzir as bordas irregulares e pixeladas que você vê no jogo e ajuda a suavizar a objetos quando sua resolução não pode ser aumentada.\n\nImpacto no desempenho: Alto
Shadow quality determines how good shadows look in game.\n\nPerformance impact: Average,Determina a qualidade das sombras do jogo.\n\nImpacto no desempenho: Médio
Render scale,Escala de renderização
"Render scale lets you use a 'lower resolution' while technically keeping your native resolution going. Playing at a 75% render scale will lower the load on your GPU as if it was a lower resolution while still displaying it in the proper, native resolution to avoid the blurry image.\n\nPerformance impact: High","A escala de renderização permite usar uma 'resolução mais baixa' enquanto tecnicamente mantém a resolução nativa. A reprodução em uma escala de renderização de 75% reduzirá a carga da sua GPU, já que ela tem resolução mais baixa e ainda a exibe na resolução nativa adequada para evitar a imagem desfocada.\n\nImpacto no desempenho: Alto"
Vertical Synchronization,Sincronização Vertical
Enabling VSync tells your graphics card to synchronize its actions with your monitor. That means the graphics card is only allowed to render things to the monitor when the monitor says it is ready to repaint a new screen.\n\nPerformance impact: Average,Ativar a sincronização vertical (VSync) diz à sua placa de vídeo para sincronizar suas ações com o seu monitor. Isso significa que a placa gráfica só pode renderizar coisas para o monitor quando ele dizer que está pronto para redesenhar uma nova tela.\n\nImpacto no desempenho: Médio
Microphone,Volume do microfone
Voice Chat,Bate-papo por voz
World dimensions should divide on {0},As dimensões do mundo deveriam dividir em {0}
Failed to start the server. {0}: {1},Falha ao iniciar o servidor. {0}: {1}
Contract not accepted: cannot accept multiple copies of same contract at once.,Contrato não aceito: não pode aceitar várias cópias do mesmo contrato de uma só vez.
Ideal Water Range,Faixa Ideal de Água
Water Extremes,Extremos de Água
water Range,Faixa de Água
Sunflower,Girassol
Seagrass,Planta Marinha
Jointfir,Efedra
Sunflower Seed,Semente de Girassol
Plant to grow sunflowers.,Plante para cultivar girassóis.
Sunflower Seed Pack,Pacote de Sementes de Girassol
Seagrass Seed,Semente de Planta Marinha
Plant to grow seagrass.,Plante para cultivar uma planta marinha.
Seagrass Seed Pack,Pacote de Sementes de Planta Marinha
Jointfir Seed,Semente de Efedra
Plant to grow a jointfir.,Plante para cultivar uma Efedra.
Jointfir Seed Pack,Pacote de Sementes de Efedra
Common Grass,Grama Comum
Ocean Biome,Bioma Oceano
Deep Ocean Biome,Bioma Oceano Profundo
Target water,Mirar na água
The plant's preferred salt water range.  Water in this range won't inhibit population growth or reduce yield.,A faixa de água salgada preferida da planta. A água nesta faixa não inibirá o crescimento populacional nem reduzirá a produção.
The rainfall range that can support this plant (albeit at reduced efficiency if the rainfall is not also within the ideal range).  Rainfall outside this range prohibits reproduction entirely and prevent any yield at all.,O intervalo de precipitação que esta planta pode suportar (embora com redução na eficiência se a precipitação também não estiver dentro da faixa ideal).  Chuvas fora desse intervalo proíbem reprodução inteiramente e impedem qualquer rendimento.
The salt water range that can support this plant (albeit at reduced efficiency if the salt water is not also within the ideal range).  Salt water outside this range prohibits reproduction entirely and prevent any yield at all.,A faixa de água salgada que esta planta pode suportar (embora com redução na eficiência se a água salgada também não estiver dentro da faixa ideal).  Água salgada fora desse intervalo proíbe  inteiramente a reprodução e impede qualquer rendimento.
"Identifier used to create the server's voice channel, keep secret","Identificador usado para criar o canal de voz do servidor, mantenha em segredo."
"EXPERIMENTAL: Tick World Objects in parallel. May significantly increase performance, but also may cause crashes and inconsistency. Use it on your own risk.","EXPERIMENTAL: Realiza o tick dos objetos do mundo em paralelo. Pode aumentar significativamente o desempenho, mas também podem causar falhas e inconsistência. Use por sua própria conta e risco."
Can't find suitable server executable,Não foi possível encontrar um executável adequado do servidor de jogo
Resource List,Lista de recursos
Sleeping,Dormindo
Logging level for admin commands executed: None - no logging; Log File - logged in a file; Log File And Notify Admins - logged in a file and admins see a message in the chat; Log File And Notify Everyone - logged in a file and everyone see a message in the chat,Nível de registro para comandos de administrador executados: Nenhum - sem registro; Log File - registrado em um arquivo; Log File And Notify Admins - registrado em um arquivo e os administradores veem uma mensagem no bate-papo; Log File And Notify Everyone - registrado em um arquivo e todos veem uma mensagem no bate-papo.
Currently trapping animals.,Atualmente prendendo animais.
Push to talk,Pressione para falar
Open mic,Microfone aberto
Host in Cloud,Hospedar na nuvem
World runs while you run\nEco,O mundo roda enquanto você joga o Eco\n
Host Locally,Hospedar localmente
World runs 24/7,"O mundo roda 24 horas por dia, 7 dias por semana"
Add 'Citizen' accounts to allow friends to play\nwithout owning Eco,Adicionar contas 'Cidadão' para permitir amigos jogarem\nsem ter Eco
Voice chat,Bate-papo por voz
Player voice,Voz do jogador
Click to mute player,Clique para silenciar o áudio do jogador
Click to unmute the player,Clique para reativa o áudio do jogador
Moisture,Umidade
Plant Group,Grupo de plantas
Animal Group,Grupo de Animais
Nutrient,Nutrientes
Consumption,Consumo
Misc,Diversos
Lights,Luzes
Power,Energia
Sign,Sinal
Research,Pesquisa
Experience Multiplier,Multiplicador de Experiência
Posted by {0}. State: {1},Postado por {0}. Estado: {1}
SFX Volume\n,Volume dos efeitos sonoros\n
Music Volume,Volume da música
Show speaking players on screen,Mostrar na tela quais jogadores estão falando
Voice Volume,Volume da voz
Push to Talk,Pressione para falar
No Spread,Sem dispersão
"For plants that shouldn't ever grow more. Old growth, mostly. Normal growth is needed for world gen to work properly.","Para plantas que não deveriam crescer mais. Crescimento antigo, principalmente. O crescimento normal é necessário para que a geração de mundo funcione corretamente."
Global Reputation,Reputação Global
Object Rights,Direitos de Objeto
Permanently,Permanentemente
Contract End,Fim do Contrato
{0} Location: {1},{0} na localização {1}
IP Address or Hostname and Port,Endereço IP ou Hostname e Porta
hours,horas
percent,porcentagem
angle,
rubble,
warning,
yield,
hour,hora
days,dias
durability,
material,
lender,
borrower,
copies,
cost,
val,
Entries,Entradas
XP,Pontos de experiência
Item Type,Tipo de Item
Items Moved,Itens Movidos
Amount,Quantia
Number Of Items,Número de itens
Bought,Comprado
Seller,Vendedor
Cost,Custo
Demographic,Grupo Demográfico
Entered,Entrou
First Time,Primeira Vez
Claimed,Reivindicado
Tax Rate,Taxa de Impostos
Election,Eleição
Election Process,Processo eleitoral
Elected Title,Título Eleitoral
Profession,Profissão
Specialty,Especialidade
Felled,Derrubado
Branches Targeted,Direcionado aos Galhos
Destroyed,Destruído
Placed,Colocado
Tag,
Tons,Toneladas
Source Account,Conta de origem
Element,Elemento
Applies to,Aplica-se a
Proposers,Proponentes
Any Law,Qualquer Lei
Process,Processo
Voters,Eleitores
If,Se
Then,Então
Else,Senão
Trigger,Acionador
Conditions,Condições
Causes,Causas
Effects,Efeitos
Left,Esquerda
Right,Direita
Left Number,Número Esquerdo
Right Number,Número Direito
Number,Número
Requirements,Requisitos
Block,Bloco
Position,Cargo
Speech,Discurso
Elected,Eleito
Removed,Removido
Active,Ativo
Storage Handle,Alça de Armazenamento
Total CO2 ppm,PPM de CO2 Total
Past 24 Hours CO2 ppm Delta,Últimas 24 horas CO2 ppm Delta
CO2 From Animals ppm,PPM de CO2 de Animais
CO2 From Plants ppm,PPM de CO2 de Plantas
Initial Sea Level,Nível Inicial do Mar
Sea Level Applied,Nível do Mar Aplicado
Unique Abbreviation,Abreviação Única
Controller ID,ID do controlador
Is Considered Nearby Food During Spawn Check,É Considerado Alimento Próximo Durante a Verificação de Geração
Invertebrates,Invertebrados
Ecko accepts your tribute of {0:wanted} and grants you {1:given} for your devotion.,Ecko aceita o seu tributo de {0:wanted} e concede-lhe {1:given} pela sua devoção.
stomach capacity,capacidade do estômago
Wooden fish traps must be placed underwater in fresh water to function.,As armadilhas de madeira para peixes devem ser colocadas debaixo d'água doce para funcionar.
Road Items,Itens de Estrada
{0} leveled-up to level {1},{0} subiu para o nível {1}
Use for spawn finder,Utilizar para encontrar o local de início
Referenced By,Referenciado Por
A helpful player-created description explaining the purpose of this object for other players.,Uma descrição útil criada por jogadores explicando o propósito deste objeto para outros jogadores.
Created by {0},Criado por {0}.
Playtimes for {0},Tempos de jogo de {0}
Total time: {0},Tempo total: {0}
Object types include:,Os tipos de objeto incluem:
The following sub-commands are available:,Os seguintes subcomandos estão disponíveis:
Actionbar Items,Itens da Barra de Ação
Current population of a given species.,População atual de uma determinada espécie.
The species which should have its population measured.,As espécies que devem ter sua população medida.
The game action we're counting.,A ação do jogo que estamos contando.
"If set, only count actions by this user.","Se definido, apenas conte as ações desse usuário."
Statistics,Estatísticas
success.,sucesso.
failed,falhou
Must be inside or outside the listed districts?,Deve estar dentro ou fora dos distritos listados?
Total online hours of {0},Total de horas online de {0}
The range to check. '0' means count all online time.,O intervalo para verificar. '0' significa contar todo o tempo online.
Player,Jogador
{0} is {1},{0} é {1}
Detect skills players have or lack.,Detecta as habilidades que os jogadores têm ou não têm.
Which skills to consider.,Quais habilidades considerar.
"Must the user have only one, or all of the listed skills?",O usuário deve ter apenas uma ou todas as habilidades listadas?
How many level-ups must the skills have?,Quantas subidas de nível as habilidades devem ter?
Which demographics to check.,Quais dados demográficos a serem verificados.
The left number of the operation.,O número da esquerda da operação.
The right number of the operation.,O número da direita da operação.
The value to take the percent from.,O valor do qual obter a porcentagem.
The percentage to take.  100 = 100%.,A porcentagem a ser usada. 100 = 100%.
The user whose personal bank account will be used.,O usuário cuja conta bancária pessoal será usada.
And,E
Not,Não
Logic,Lógica
Math,Matemática
Current Titles:,Títulos Atuais:
Can holders of this position change treasury taxes?,Os detentores deste cargo podem alterar impostos da tesouraria?
Occupants:,Ocupantes:
Properties:,Propriedades:
Currently held by: {0}{1}Elected via {2},Atualmente em posse de: {0}{1}Eleito por {2}
The rules for how this election is run.  Election Processes are defined directly by the constitution.,As regras de como esta eleição é realizada. Os processos eleitorais são definidos diretamente pela constituição.
Only candidates who are part of this group can run for this position.,Somente os candidatos que fazem parte deste grupo podem concorrer a este cargo.
"An individual player may hold the position this many times, after which they will not be allowed to run for election.",Quantas vezes um jogador poderá concorrer a uma eleição para este título (após isso ele não poderá concorrer novamente).
Office Holders History,Histórico de detentores do cargo
Election currently running for this position: {0},Eleição atualmente em execução para este cargo: {0}
Valid.,Valido.
List must not be empty.,A lista não deve estar vazia.
Object is not set.,O objeto não está definido.
(draft),(rascunho)
(proposed),(proposto)
(removed),(removido)
If {0} then {1},Se {0} então {1}
{0} Else {1},{0} senão {1}
"{0}, proceeding.","{0}, procedendo."
Prevent.,Impeça.
Perform different actions depending on a test.,Realiza diferentes ações dependendo de um teste.
Which currency to collect the tax in.,Em qual moeda coletar o imposto.
The amount that is going to be taxed.,A quantidade que será tributada.
Conditional,Condicional
Ignore Authorization,Ignorar Autorização
{0} blocked by,{0} bloqueado por
"When this action happens in the game, the conditions below will be tested for this law.","Quando esta ação ocorrer no jogo, as condições abaixo serão testadas para esta lei."
The list of triggers that will cause this law to activate.,A lista de acionadores que farão com que esta lei seja ativada.
On {0},Em {0}
is {0},é {0}
is not {0},não é {0}
Nothing selected.,Nada selecionado.
A set of rules for how an election is run.,Um conjunto de regras sobre como uma eleição é realizada.
Must specify who can vote in this election or who can veto it (or both).,Deve especificar quem pode votar nesta eleição ou quem pode vetá-la (ou ambos).
nobody,ninguém
Elections can be voted on by {0},As eleições podem ser votadas por {0}
Elections can be vetoed by {0},As eleições podem ser vetadas por {0}
{0} Election,Eleição de {0}
Start election for {0},Começar a eleição para {0}
Vote {0} in {1},Vote {0} em {1}
{0} entered the election {1}. Speech: {2},{0} entrou na eleição {1}. Discurso: {2}
Enter election {0}. Speech:{1},Entre na eleição {0}. Discurso: {1}
Withdraw from election {0},Retirar-se da eleição {0}
Enter Election,Entrar na eleição
Withdraw From Election,Retirar-se da eleição
This election cannot be joined as a candidate.,Não é possível participar dessa eleição como um candidato.
You cannot withdraw from an election in which you are not a candidate.,Você não pode se retirar de uma eleição na qual você não é um candidato.
Election for {0},Eleição para {0}
Election finished after {0} hours.,Eleição encerrada após {0} horas.
Election was force-finished.,A eleição foi encerrada à força.
Vote contains an incorrect choice ID.,O voto contém um ID de escolha incorreto.
"Election complete, no winner.","Eleição concluída, sem vencedor."
No winner.,Sem vencedor.
Election will end in {0}.,A eleição terminará em {0}.
{0} is now a member of {1},{0} agora é membro de {1}
{0} is no longer a member of {1},{0} não é mais membro de {1}
are,é
Passed,Aprovado
are not,não é
Failed,Falhou
You {0} currently a member of {1}.,Você atualmente {0} um membro de {1}.
Viva la Revolución!,
election processes,processos eleitorais
civic articles,artigos cívicos
Constitutional Amendments,Emendas Constitucionais
{0} may propose an election of type {1}.,{0} pode propor uma eleição do tipo {1}.
Collect wild {0}.,Colete {0} silvestre.
Collect some food.,Colete alguns alimentos.
Talents,Talentos
{0}'s SLG id is {1}.,O SLG id de {0} é {1}.
{0}'s ID is {1}.,O ID de {0} é {1}.
Delay in minutes for the next searching nearby food location and moving spawn point,Atraso em minutos para o próximo local de busca de alimentos nas proximidades e mover o local de início.
"When choosing a spawn point with nearby food, how far away can the food be?","Ao escolher um local de início com alimentos próximos, quão longe os alimentos podem estar?"
"When choosing a spawn point, this much food be nearby.","Ao escolher um local de inicio, essa quantidade de alimento estará nas proximidades."
"When true, spawn point stays as set below. When false, the spawn point will move periodically to be close to wild food.","Quando habilitado, o local de nascimento permanecerá conforme definido abaixo. Quando desabilitado, o local de nascimento se moverá periodicamente para ficar perto de alimentos selvagens."
Nearby Food spawn location,Local de geração de alimentos próximos
Demographics are updated after this much time has passed.,Os grupos demográficos são atualizados após esse período de tempo.
You were prevented from playing on this server by law:,Você foi impedido de jogar neste servidor por lei:
Block Items,Itens de Bloco
Were the items taken or put?,Os itens foram retirados ou colocados?
The number of items moved.,O número de itens movidos.
Money created at a mint.,Dinheiro criado em uma prensa de cunhagem.
The currency in which the money was created.,A moeda na qual o dinheiro foi criado.
A new currency created at a mint.,Uma nova moeda criada em uma prensa de cunhagem.
A trade between two players at a store.,Uma negociação entre dois jogadores em uma loja.
Number of items in the transaction,Número de itens na transação
Was the good bought or sold by the initiating player?,O bem foi comprado ou vendido pelo jogador iniciante?
The owner of the shop where the trade occurred.,O dono da loja onde ocorreu a negociação.
The buying player.,O jogador que está comprando.
The selling player.,O jogador que está vendendo.
Currency used in the transaction.,Moeda usada na transação.
Amount used in the transaction.,Quantidade usada na transação.
The demographic that changed.,O grupo demográfico que foi alterado.
The owner of the deed on which the land was claimed.,O proprietário da escritura sobre a qual o terreno foi reivindicado.
Was the property claimed or unclaimed?,A propriedade foi reivindicada ou não?
The position of the claim.,A posição da reivindicação.
The bank account the tax came from.,A conta bancária de onde veio o imposto.
The bank account the tax went to.,A conta bancária para a qual o imposto foi.
The currency of the payment.,A moeda do pagamento.
The amount of the transaction which was taxed.,O valor da transação que foi tributado.
The tax rate charged.,A taxa de imposto cobrada.
The amount of tax paid.,O valor do imposto pago.
