English,Arabic
Mortared Granite Bench,مقعد من الجرانيت المعمر
Lumber Table,جدول خشبي
Lumber Chair,كرسي خشبي
Lumber Bench,مقعد خشبي
Large Standing Wood Sign,لوحة خشبية مستقلة كبيرة
A large sign for all of your larger text needs!,لوحة كبيرة لجميع احتياجاتك من النصوص الكبيرة!
Large Standing Spruce Sign,لوحة خشبية مستقلة كبيرة من الصنوبر
Large Standing Softwood Sign,لوحة خشبية مستقلة كبيرة من الأخشاب الناعمة
Large Standing Saguaro Sign,لوحة خشبية مستقلة كبيرة من صبار ساجوارو
Large Standing Redwood Sign,لوحة خشبية مستقلة كبيرة من الأخشاب الحمراء
Large Standing Palm Sign,لوحة خشبية مستقلة كبيرة من الأشجار النخيل
Large Standing Oak Sign,لوحة خشبية مستقلة كبيرة من الأشجار البلوط
Large Standing Joshua Sign,لوحة خشبية مستقلة كبيرة من الأشجار اليوشوا
Large Standing Hardwood Sign,لوحة خشبية مستقلة كبيرة من الأخشاب الصلبة
Large Standing Fir Sign,لوحة خشبية مستقلة كبيرة من الصنوبر الحقيقي
Large Standing Ceiba Sign,لوحة خشبية مستقلة كبيرة من شجرة السيبا
Large Standing Cedar Sign,لوحة خشبية مستقلة كبيرة من شجرة الأرز
Large Standing Birch Sign,لوحة خشبية مستقلة كبيرة من شجرة البتولا
Large Hanging Wood Sign,لوحة خشبية معلقة كبيرة
Large Hanging Spruce Sign,لوحة خشبية معلقة كبيرة من الصنوبر
Large Hanging Softwood Sign,لوحة خشبية معلقة كبيرة من الأخشاب الناعمة
Large Hanging Saguaro Sign,لوحة خشبية معلقة كبيرة من صبار ساجوارو
Large Hanging Redwood Sign,لوحة خشبية معلقة كبيرة من الأخشاب الحمراء
Large Hanging Palm Sign,لوحة خشبية معلقة كبيرة من الأشجار النخيل
Large Hanging Oak Sign,لوحة خشبية معلقة كبيرة من الأشجار البلوط
Large Hanging Joshua Sign,لوحة خشبية معلقة كبيرة من الأشجار اليوشوا
Large Hanging Hardwood Sign,لوحة خشبية معلقة كبيرة
Large Hanging Fir Sign,لوحة شجرية معلقة كبيرة
Large Hanging Ceiba Sign,لوحة سيبا معلقة كبيرة
Large Hanging Cedar Sign,لوحة أرز معلقة كبيرة
Large Hanging Birch Sign,لوحة بتول معلقة كبيرة
Jaw Crusher,كسارة الفك
Hewn Table,طاولة منحوتة
Hewn Softwood Table,كرسي نحاسي منحوت من الأخشاب الناعمة
Hewn Softwood Chair,مقعد نحاسي منحوت من الأخشاب الناعمة
Hewn Softwood Bench,مقعد نحاسي منحوت من الأخشاب الناعمة
Hewn Hardwood Table,طاولة نحاسية منحوتة من الأخشاب الصلبة
Hewn Hardwood Chair,كرسي نحاسي منحوت من الأخشاب الصلبة
Hewn Hardwood Bench,مقعد نحاسي منحوت من الأخشاب الصلبة
Hewn Chair,كرسي نحاسي منحوت
Hewn Bench,مقعد نحاسي منحوت
Hardwood Lumber Table,طاولة خشبية من الأخشاب الصلبة
Hardwood Lumber Door,باب خشبي من الأخشاب الصلبة
Hardwood Lumber Chair,كرسي خشبي من الأخشاب الصلبة
Hardwood Lumber Bench,مقعد خشبي من الأخشاب الصلبة
Government Office,مكتب حكومي
Froth Floatation Cell,خلية التعويم الرغوي
Executive Office,مكتب تنفيذي
Court,المحكمة
Composite Spruce Table,طاولة رقائق بلاستيكية
Composite Spruce Door,باب رقائق بلاستيكية
Composite Spruce Chair,كرسي رقائق بلاستيكية
Composite Spruce Bench,مقعد رقائق بلاستيكية
Composite Softwood Table,طاولة صنوبرية رقائق بلاستيكية
Composite Softwood Door,باب صنوبري رقائق بلاستيكية
Composite Softwood Chair,كرسي صنوبري رقائق بلاستيكية
Composite Softwood Bench,مقعد صنوبري رقائق بلاستيكية
Composite Saguaro Table,طاولة صنوبرية مركبة
Composite Saguaro Door,باب صنوبري مركب
Composite Saguaro Chair,كرسي صنوبري مركب
Composite Saguaro Bench,مقعد صناعي من الصنوبر المركب
Composite Redwood Table,طاولة صناعية من الأحمر المركب
Composite Redwood Door,باب صناعي من الأحمر المركب
Composite Redwood Chair,كرسي صناعي من الأحمر المركب
Composite Redwood Bench,مقعد صناعي من الأحمر المركب
Composite Palm Table,طاولة صناعية من نخلة مركبة
Composite Palm Door,باب صناعي من نخلة مركبة
Composite Palm Chair,كرسي صناعي من نخلة مركبة
Composite Palm Bench,مقعد صناعي من نخلة مركبة
Composite Oak Table,طاولة صناعية من البلوط المركب
Composite Oak Door,باب صناعي من البلوط المركب
Composite Oak Chair,كرسي صناعي من البلوط المركب
Composite Oak Bench,مقعد صناعي من البلوط المركب
Composite Lumber Table,جدول الخشب المركب
Composite Lumber Door,باب الخشب المركب
Composite Lumber Chair,كرسي الخشب المركب
Composite Lumber Bench,دكة الخشب المركب
Composite Joshua Table,جدول جوشوا المركب
Composite Joshua Door,باب جوشوا المركب
Composite Joshua Chair,كرسي جوشوا المركب
Composite Joshua Bench,دكة جوشوا المركب
Composite Hardwood Table,جدول الخشب المركب الصلب
Composite Hardwood Door,باب الخشب المركب الصلب
Composite Hardwood Chair,كرسي الخشب المركب الصلب
Composite Hardwood Bench,دكة الخشب المركب الصلب
Composite Fir Table,طاولة مركبة من الأرز
Composite Fir Door,باب مركب من الأرز
Composite Fir Chair,كرسي مركب من الأرز
Composite Fir Bench,مقعد مركب من الأرز
Composite Ceiba Table,طاولة مركبة من السيبا
Composite Ceiba Door,باب مركب من السيبا
Composite Ceiba Chair,كرسي مركب من السيبا
Composite Ceiba Bench,مقعد مركب من السيبا
Composite Cedar Table,طاولة مركبة من الأرز الأحمر
Composite Cedar Door,باب مركب من الأرز الأحمر
Composite Cedar Chair,كرسي مركب من الأرز الأحمر
Composite Cedar Bench,مقعد مركب من الأرز الأحمر
Composite Birch Table,طاولة مركبة من البتولا
Composite Birch Door,باب مركب من البتولا
Composite Birch Chair,كرسي مركب من البتولا
Composite Birch Bench,مقعد مركب من البتولا
Census Bureau,مكتب التعداد السكاني
Capitol,الكابيتول
Brick Fireplace,موقد الطوب
Board Of Elections,مجلس الانتخابات
Ballot Box,صندوق الاقتراع
Ashlar Stone Table,طاولة حجرية رصعة
Ashlar Stone Fireplace,موقد حجري رصعة
Ashlar Stone Chair,كرسي حجري رصعة
Ashlar Stone Bench,مقعد حجري رصعة
Ashlar Small Stone Fountain,نافورة صغيرة من الحجر الرصعة
Ashlar Small Shale Fountain,نافورة صغيرة من الصخرة الرصاصة
Ashlar Small Sandstone Fountain,نافورة صغيرة من الحجر الرملي
Ashlar Small Limestone Fountain,نافورة صغيرة من الحجر الجيري
Ashlar Small Granite Fountain,نافورة صغيرة من الحجر الجرانيت
Ashlar Small Gneiss Fountain,نافورة صغيرة من الحجر الجنيس
Ashlar Small Basalt Fountain,نافورة صغيرة من الحجر البازلت
Ashlar Shale Table,طاولة من الصخرة الرصاصة
Ashlar Shale Fireplace,موقد من الصخرة الرصاصة
Ashlar Shale Chair,كرسي من الصخرة الرصاصة
Ashlar Shale Bench,مقعد من الصخرة الرصاصة
Ashlar Sandstone Table,طاولة من الحجر الرملي الرصاصة
Ashlar Sandstone Fireplace,موقد من الحجر الرملي الرصاصة
Ashlar Sandstone Chair,كرسي من الحجر الرملي الرصاصة
Ashlar Sandstone Bench,مقعد حجري من رمل الحجر المنشور
Ashlar Limestone Table,طاولة حجرية من رمل الحجر المنشور
Ashlar Limestone Fireplace,موقد حجري من رمل الحجر المنشور
Ashlar Limestone Chair,كرسي حجري من رمل الحجر المنشور
Ashlar Limestone Bench,مقعد حجري من الحجر الجيري المنشور
Ashlar Large Stone Fountain,نافورة حجرية كبيرة من الحجر المنشور
Ashlar Large Shale Fountain,نافورة شلالية كبيرة من شيال المنشور
Ashlar Large Sandstone Fountain,نافورة شلالية كبيرة من رمل الحجر المنشور
Ashlar Large Limestone Fountain,نافورة شلالية كبيرة من الحجر الجيري المنشور
Ashlar Large Granite Fountain,نافورة شلالية كبيرة من الغرانيت المنشور
Ashlar Large Gneiss Fountain,نافورة شلالية كبيرة من الغنيس المنشور
Ashlar Large Basalt Fountain,نافورة شلالية كبيرة من البازلت المنشور
Ashlar Granite Table,طاولة من الغرانيت المنشور
Ashlar Granite Fireplace,مدفأة من الغرانيت المنشور
Ashlar Granite Chair,كرسي من الغرانيت المنشور
Ashlar Granite Bench,مقعد من الغرانيت المنشور
Ashlar Gneiss Table,طاولة من الغْنَيْس المنشور
Ashlar Gneiss Fireplace,مدفأة من الغْنَيْس المنشور
Ashlar Gneiss Chair,كرسي من الغْنَيْس المنشور
Ashlar Gneiss Bench,مقعد من الغْنَيْس المنشور
Ashlar Basalt Table,طاولة من البازلت المنشور
Ashlar Basalt Fireplace,مدفأة من البازلت المنشور
Ashlar Basalt Chair,كرسي من البازلت المنشور
Ashlar Basalt Bench,مقعد من البازلت المنشور
Arrastra,نافورة ذات محراث
A primitive rock mill of dragged boulders.,مطحنة صخرية بدائية من الصخور المسحوبة
Amendments,التعديلات
Advanced Masonry Table,جدول البناء المتقدم
A workbench for the advanced shaping of rocks into beautiful stone.,محشي حجري متقدم
Advanced Carpentry Table,جدول نجارة متقدم
Adorned Ashlar Stone Table,طاولة حجرية مزينة
Adorned Ashlar Stone Chair,كرسي حجري مزين
Adorned Ashlar Stone Bench,مقعد حجري مزين
Adorned Ashlar Shale Table,طاولة شيالية مزينة
Adorned Ashlar Shale Chair,كرسي الشلال المزخرف من الحجر الرملي المزخرف
Adorned Ashlar Shale Bench,مقعد الشلال المزخرف من الحجر الرملي المزخرف
Adorned Ashlar Sandstone Table,طاولة الشلال المزخرفة من الحجر الرملي المزخرف
Adorned Ashlar Sandstone Chair,كرسي الشلال المزخرف من الحجر الرملي المزخرف
Adorned Ashlar Sandstone Bench,مقعد الشلال المزخرف من الحجر الرملي المزخرف
Adorned Ashlar Limestone Table,طاولة الشلال المزخرفة من الحجر الحجر الجيري المزخرف
Adorned Ashlar Limestone Chair,كرسي الشلال المزخرف من الحجر الحجر الجيري المزخرف
Adorned Ashlar Limestone Bench,مقعد الشلال المزخرف من الحجر الحجر الجيري المزخرف
Adorned Ashlar Granite Table,طاولة الشلال المزخرفة من الحجر الجرانيت المزخرف
Adorned Ashlar Granite Chair,كرسي الشلال المزخرف من الحجر الجرانيت المزخرف
Adorned Ashlar Granite Bench,مقعد الشلال المزخرف من الحجر الجرانيت المزخرف
Adorned Ashlar Gneiss Table,طاولة الشلال المزخرفة من الحجر الجنيس المزخرف
Adorned Ashlar Gneiss Chair,كرسي الشلال المزخرف من الحجر الجنيس المزخرف
Adorned Ashlar Gneiss Bench,مقعد الشلال المزخرف من الحجر الجنيس المزخرف
Adorned Ashlar Basalt Table,طاولة الشلال المزخرفة من الحجر البازلت المزخرف
Adorned Ashlar Basalt Chair,كرسي الشلال المزخرف من الحجر البازلت المزخرف
Adorned Ashlar Basalt Bench,مقعد الشلال المزخرف من الحجر البازلت المزخرف
Modern Rock Drill,مثقاب صخور حديث
Iron Rock Drill,مثقاب صخور من الحديد
Composites,المركبات
Composites Skill Book,كتاب مهارات المركبات
Composites Skill Scroll,ورقة مهارات المركبات
Advanced Masonry,البناء المتقدم
Advanced Masonry Skill Book,كتاب مهارات البناء المتقدم
Advanced Masonry Skill Scroll,ورقة مهارات البناء المتقدم
Raw Food,الطعام الخام
Grain,حبوب
Plant to grow a ceiba sapling.,زرع لزرع شتلة السيبا.
Vegetable,خضروات
Root,جذر
Bullrush Seed,بذرة قصب الثور
Plant to grow bullrush.,زرع لزرع قصب الثور.
Bullrush,قصب الثور
Bullrush Seed Pack,حزمة بذور قصب الثور
Amanita Mushroom Spores,بذور فطر الأمانيتا
"Plant to grow amanita mushrooms. Not sure why you'd want these poisonous mushrooms, though.",زرع لزرع فطر الأمانيتا. ولكن غير متأكد لماذا ترغب في هذه الفطر السامة.
AmanitaMushroom,
Amanita Mushroom Spores Pack,حزمة بذور فطر الأمانيتا
Pitcher Plant,نبات الجرة
Buttonbush,شجيرة الأزرقة
Pitch,القطر
Burnable Fuel,وقود قابل للاحتراق
Carcass,جثة
Marine Life,حياة بحرية
Fish,سمك
Steel Saw Blade,شفرة من الفولاذ للمنشار
SawBlade,
Steel Gearbox,صندوق التروس من الفولاذ
Softwood Board,لوح خشب ناعم
A higher quality softwood board used for long lasting furniture.,لوح خشب ناعم عالي الجودة يستخدم لصنع أثاث يدوم طويلاً.
Recurve Bow,قوس منحنٍ
Ribbed steel bars for reinforcing stuctures.,قضبان فولاذية مضلعة لتعزيز الهياكل.
Tool,أداة
Fiber,ألياف
A binding pitch useful as a mortar.,مواد لاصقة مفيدة كالملاط.
A document containing important research information. Used to discover new skills at the research table.,وثيقة تحتوي على معلومات بحثية مهمة. يستخدم لاكتشاف المهارات الجديدة في جدول البحث.
Animal Skin,جلد حيوان
Iron Saw Blade,شفرة من الحديد للمنشار
Hardwood Board,لوح خشب صلب
A higher quality hardwood board used for long lasting furniture.,لوح خشب أصلع ذو جودة عالية يستخدم لصنع أثاث دائم.
Gold Wiring,سلك ذهبي
A length of gold conductive wire useful for a variety of purposes.,طول من الأسلاك الذهبية الموصلة مفيد لأغراض متعددة.
Wiring,أسلاك الموصلات
A length of copper conductive wire useful for a variety of purposes.,طول من الأسلاك النحاسية الموصلة مفيد لأغراض متعددة.
A higher quality board used for long lasting furniture.,لوح خشب صلب ذو جودة عالية يستخدم لصنع أثاث دائم.
Advanced Circuit,دائرة متقدمة
Salad,سلطة
Porridge,شوربة بالشوفان
Topped Porridge,شوربة بالشوفان مع إضافات
Fruit,فاكهة
A simple water and suger combination heated until the sugar dissolves.,تركيبة ماء وسكر بسيطة يتم تسخينها حتى يذوب السكر.
Root Campfire Stew,شوربة معسكر الجذر
Root Campfire Salad,سلطة معسكر الجذر
Meat,لحم
Pirozhki,بيروزكي
Pastry Dough,عجينة البسكويت
Pastry,فطيرة
Meaty Stew,شوربة مليئة باللحم والكاماس والذرة. تركيبة طعم جيدة بشكل مفاجئ.
Leavened Dough,شوربة معسكر الأدغال
Jungle Campfire Stew,سلطة معسكر الأدغال
Jungle Campfire Salad,يستخدم لصنع كوليدات لنكهات متنوعة.
Used to make collids for bursts of flavor.,مستخدم لصنع تحطيمات من النكهة.
A handfull of small wild berries. I'm your huckleberry.,حفنة صغيرة من التوت البري البري الصغير. أنا الشخص الذي تبحث عنه.
Fruit Tart,فطيرة فاكهة
Fruit Muffin,كعكة فاكهة
Fried Vegetables,خضروات مقلية
Fried Vegetable,خضار مقلية
Fried Taro,تارو مقلي
Fried Hearts Of Palm,قلوب نخيل مقلية
Fried Fiddleheads,براعم فيدلهيد مقلية
Fried Camas,كاماس مقلي
Field Campfire Stew,حساء ميداني على نار مفتوحة
Greens,الخضروات الورقية
Fern Campfire Salad,سلطة الفرن الثعلبية
Fungus,فطر
The blackened char on this tomato would contrast well with the red skin if there was any unburt surface left.,سيظهر الفحم المحروق على هذا الطماطم تباينًا جيدًا مع الجلد الأحمر إذا كانت هناك أي سطح غير محروق.
Charred Mushrooms,الفطر المحروق
Charred Heart Of Palm,قلوب نخيل محروقة
Charred Fireweed Shoots,أعقاب نبات القراص المحروقة
Charred Cactus Fruit,ثمار الصبار المحروقة
Charred Beans,فاصوليا محروقة
Campfire Salad,سلطة الحريق
Boiled Grains,الحبوب المسلوقة
Beet Greens,أوراق البنجر
The leafy greens from a beet with a distinctive red stem.,الأوراق الخضراء من البنجر مع ساق حمراء مميزة.
Beet Campfire Salad,سلطة البنجر على نار مفتوحة
A sweet pastry with seperated sections that look a bit like a claw.,حلوى حلوة مع أقسام منفصلة تشبه قليلاً مخلب.
Baked Vegetable,خضار مخبوزة
Baked Tomato,طماطم مخبوزة
Baked Taro,تارو مخبوز
Baked Heart Of Palm,قلوب نخيل مخبوزة
Baked Corn,ذرة مخبوزة
Baked Beet,بنجر مخبوزة
"Charred agave leaves are too fiberous to eat entirely, but you can certainly chew them.",أوراق أجاف محروقة صعبة التناول بالكامل ، ولكن بالتأكيد يمكنك مضغها.
Window Wall,جدار نافذة
Fence,سياج
Window,نافذة
Wall Trim,زخرفة الجدار
Wall,جدار
Under Stairs,تحت السلالم
Under Brace,تحت الدعامة
Thin Column,عمود رفيع
Stairs Turn,تحويل السلالم
Stairs Corner,زاوية السلالم
Stairs,سلالم
Slope Turn,تحويل المنحدر
Slope Side,جانب المنحدر
Slope Point,نقطة المنحدر
Slope Flat,منحدر مستو
Slope Corner,زاوية المنحدر
Side Fence,سياج جانبي
Side Brace,دعامة جانب
Roof,سقف
RampD,
RampC,
RampB,
RampA,
Ladder,السلم
Floor,الأرضية
Float Stairs Turn,سلم عائم مدبب
Float Stairs Corner,سلم عائم زاوية
Float Stairs,سلم عائم
Flat Roof,السطح المسطح
Double Window,نافذة مزدوجة
Cube,المكعب
Column,العمود
Clad Wall,الجدار الخارجي
Chimney,المدخنة
Brace,التقوية
Basic Slope Turn,زاوية ميل أساسية
Basic Slope Side,جانب ميل أساسي
Basic Slope Point,نقطة ميل أساسية
Basic Slope Corner,زاوية ميل أساسية
Aqueduct,الأكوادكت
Thin,رفيع
Supports,يدعم
Slopes,المنحدرات
Ramps,المنحدرات
Climbing,التسلق
Basic,الأساسية
A pile of stones.,كومة من الحجارة.
Rock,صخرة
Pipe,الأنبوب
Steel Bar,شريط فولاذي
Refined bar of steel.,شريط فولاذي مكره.
Spruce Log,جذوع الأرز الأحمر
Softwood,الأخشاب اللينة
Softwood Lumber,خشب ناعم
Softwood Hewn Log,جذوع الأرز اللين
HewnLog,
Slag,السخام
"A rock of varying hardness, useful for construction and as a host for iron ore. Sandstone is a sedimentary rock that forms when sand is buried deeply enough to lithify. Sometimes the shapes of dunes and ripples from an ancient desert or beach are preserved!",صخرة ذات صلابة متفاوتة، مفيدة للبناء وكمضيف لخام الحديد. الصخر الرملي هو صخر رسوبي يتشكل عندما يتم دفن الرمل بما فيه الكفاية لتحوله إلى صخرة. في بعض الأحيان يتم الاحتفاظ بأشكال الكثبان الرملية والتموجات من صحراء أو شاطئ قديم!
Saguaro Rib,قضيب ساغوارو
Redwood Log,جذع أحمر
Liquid Fuel,وقود سائل
Palm Log,جذع نخلة
Concentrated Ore,خام مركز
Oak Log,جذع بلوط
Hardwood,خشب صلب
Mortared Shale,صخرة ملاطية
Mortared Gneiss,صخرة ملاطية ذوبانية
Mortared Basalt,صخرة بازلت ملاطية
Joshua Log,جذع جوشوا
Ore,خام
Iron Concentrate,تركيز الحديد
Refined bar of iron.,قضيب حديد مكرر.
Hardwood Lumber,لوح خشب صلب
Hardwood Hewn Log,جذع مسوّر من الخشب الصلب
Gold Concentrate,تركيز الذهب
Refined bar of gold.,قضيب ذهب مكرر.
Fir Log,جذع تنوب
Crushed Stone,حجر مسحوق
Crushed Rock,صخرة مسحوقة
Crushed Slag,سلين مسحوق
Crushed Shale,صخرة شيل
Crushed Sandstone,صخرة رملية مسحوقة
Crushed Oil Shale,شيل نفط مسحوق
Crushed Limestone,حجر جيري مسحوق
Crushed Iron Ore,خام حديدي مسحوق
Crushed Granite,جرانيت مسحوق
Crushed Gold Ore,خام ذهب مسحوق
Crushed Gneiss,جنيس مسحوق
Crushed Copper Ore,خام نحاس مسحوق
Crushed Coal,فحم مسحوق
Crushed Basalt,بازلت مسحوق
Copper Concentrate,تركيز النحاس
Refined bar of copper.,قضيب نحاس مكرر.
Composite Spruce Lumber,لوح خشب تنوب مركب
A composite lumber made from a combination of wood and plastic.,لوح مركب مصنوع من مزيج من الخشب والبلاستيك.
Composite Saguaro Lumber,لوح خشب ساغوارو مركب
Composite Redwood Lumber,لوح خشب أحمر مركب
Composite Palm Lumber,لوح خشب نخلة مركب
Composite Oak Lumber,لوح خشب بلوط مركب
Composite Lumber,لوح خشب مركب
Composite Joshua Lumber,لوح خشب جوشوا مركب
Composite Fir Lumber,لوح خشب تنوب مركب
Composite Ceiba Lumber,لوح خشب سيبا مركب
Composite Cedar Lumber,لوح خشب أرز مركب
Composite Birch Lumber,لوح خشب بتول مركب
Ceiba Log,جذع سيبا
Cedar Log,جذع أرز
Birch Log,سجل بيرش
Ashlar Stone,حجر أشلار
Ashlar Shale,الشيل الأشلار
Ashlar Sandstone,صخر رملي أشلار
Ashlar Limestone,حجر جيري أشلار
Ashlar Granite,حجر غرانيت أشلار
Ashlar Gneiss,حجر جنيس أشلار
Ashlar Basalt,حجر البازلت أشلار
Parallel Processing: Composites,معالجة متوازية: مركبات
Parallel Processing: AdvancedMasonry,معالجة متوازية: AdvancedMasonry
Lavish Workspace: Composites,مساحة عمل فاخرة: مركبات
Lavish Workspace: AdvancedMasonry,مساحة عمل فاخرة: AdvancedMasonry
Frugal Workspace: Composites,مساحة عمل مقتصدة: مركبات
Frugal Workspace: AdvancedMasonry,مساحة عمل مقتصدة: AdvancedMasonry
Focused Workflow: Composites,تدفق عمل مركز: مركبات
Focused Workflow: AdvancedMasonry,تدفق عمل مركز: AdvancedMasonry
Oilfield,حقل نفطي
Tarantula Capacity,سعة ترانتولا
SnappingTurtle Capacity,سعة SnappingTurtle
PacificSardine Capacity,سعة PacificSardine
MoonJellyfish Capacity,سعة MoonJellyfish
Jaguar Capacity,سعة النمر
Crab Capacity,سعة العنكبوت
Coyote Capacity,سعة الكويت
Cod Capacity,سعة الحد الأدنى للأخذ بالكود
BlueShark Capacity,سعة BlueShark
Bass Capacity,سعة الباس
Alligator Capacity,سعة التمساح
Agouti Capacity,سعة أجوطي
Build road,بناء طريق
Claim land,المطالبة بالأرض
Prospect,استكشاف
Blasts appart rock.,تفجير الصخور.
Blasting Charge,شحنة تفجير
"Allows the creation of Demographics, which specify groups of citizens automatically based on criteria you define.",يسمح بإنشاء الديموغرافيا، التي تحدد مجموعات المواطنين تلقائيًا بناءً على المعايير التي تحددها.
"Allows the creation of Election Processes, which are different kinds of elections with different settings (who can vote, who can veto, etc).",يسمح بإنشاء عمليات الانتخابات، وهي أنواع مختلفة من الانتخابات بإعدادات مختلفة (من يستطيع التصويت، ومن يمكنه الاعتراض، وما إلى ذلك).
"Allows the creation of District Maps, which define a set of districts.  Districts can then be specified in laws and other civic actions.",يسمح بإنشاء خرائط المناطق، التي تحدد مجموعة من الأحياء. يمكن بعد ذلك تحديد الأحياء في القوانين والإجراءات المدنية الأخرى.
"Allows the creation of the government, allowing all other civic objects to be created.",يسمح بإنشاء الحكومة، مما يتيح إمكانية إنشاء جميع الكائنات المدنية الأخرى.
Wall3Point,نقطة جدار 3
A wall of blocks.,جدار مكون من كتل.
Wall2Point,نقطة جدار 2
Rectangle,مستطيل
A flat rectangle of blocks.,مستطيل مسطح مكون من كتل.
Point,نقطة
A single block.,كتلة واحدة.
Line,خط
A line of blocks.,خط مكون من كتل.
Box 3 Point,صندوق 3 نقاط
A full box.,صندوق كامل.
Box 2 Point,صندوق 2 نقاط
Leaf,ورقة شجر
Error inserting stat of type {0} into database,حدث خطأ أثناء إدراج إحصائية من نوع {0} في قاعدة البيانات
Stats Display Text,نص عرض الإحصائيات
Stats Status,حالة الإحصائيات
On what height the animal could climb?,على أي ارتفاع يمكن للحيوان أن يتسلق؟
This server will be used as fallback to proxy traffic between server and client if no direct connection possible. Should be in following format: host_or_ip:port,سيتم استخدام هذا الخادم كبديل لتوجيه حركة المرور بين الخادم والعميل إذا لم يكن هناك اتصال مباشر ممكن. يجب أن يكون بالتنسيق التالي: host_or_ip:port
Currency associated with this mint: {0},العملة المرتبطة بهذا المصنع: {0}
Inventory only accepts carried items,المخزن يقبل فقط العناصر التي يحملها الشخص
Can only add items that need repairing.,يمكن إضافة العناصر التي تحتاج إلى إصلاح فقط.
Inventory only accepts non-carried items,المخزن يقبل فقط العناصر التي لا تحملها الشخص
Inventory is too heavy,المخزن ثقيل جدًا
Inventory only accepts fuel,المخزن يقبل فقط الوقود
Inventory only accepts seeds,المخزن يقبل فقط البذور
Inventory only accepts clothing items fitting that slot,المخزن يقبل فقط العناصر الملابس التي تناسب ذلك الفتحة
Displays the citizen-run economy across the world.,يعرض اقتصاد مواطن بين الدول في جميع أنحاء العالم.
Work list cannot be empty!,يجب عدم ترك قائمة العمل فارغة!
Declined by the player.,رفض من اللاعب.
Work Party,حزب العمل
Contracts related to {0} recalculated,تم إعادة حساب العقود المتعلقة ب{0}
Nested clause failed because all sub-clauses failed:\n\n{0},فشلت العبارة المضمنة لأن جميع العبارات الفرعية فشلت: \n\n{0}
Nested clause failed because at least one sub-clauses failed:\n\n{0},فشلت العبارة المضمنة لأن على الأقل واحدة من العبارات الفرعية فشلت: \n\n{0}
Nested clause failed because at least one sub-clause succeeded:\n\n{0},فشلت العبارة المضمنة لأن على الأقل واحدة من العبارات الفرعية نجحت: \n\n{0}
"This clause allows players to define in words what they would like done.  When using this clause, the contract can no longer be auto-approved, and the client will have to approve it before accepting it. When accepting a contract with a custom clause, it is wise to first review the reputation of the citizen offering it, because it is fully at their discretion to approve or deny its completion.\n\nYou must uncheck {0} at the bottom of the contract to use this clause.",تتيح هذه البند للاعبين تحديد بالكلمات ما يودون القيام به. عند استخدام هذا البند، لن يتم الموافقة التلقائية على العقد بعد الآن، وسيتعين على العميل الموافقة عليه قبل قبوله. عند قبول عقد يحتوي على بند مخصص، فمن الحكمة مراجعة سمعة المواطن الذي يقدمه، لأنه من اختصاصهم تمامًا الموافقة أو رفض إتمامه.\n\n يجب إلغاء تحديد {0} في أسفل العقد لاستخدام هذا البند.
Requested tier can't be reached. Max tier is {0},الترتيب المطلوب لا يمكن تحقيقه. أقصى ترتيب هو {0}
Cannot finish contract,غير قادر على إنهاء العقد
Can't mark finished job as failed,"لا يمكن وضع علامة ""فشل"" على العمل المنتهي"
inside,داخل
outside,خارج
Number of hours since the citizen's first login.,عدد الساعات منذ تسجيل دخول المواطن لأول مرة.
The citizen whose age we're testing.,المواطن الذي نختبر عمره.
Number of hours the world has been active.,عدد ساعات تشغيل العالم.
Number of days the world has been active.,عدد أيام تشغيل العالم.
Is this citizen currently not an admin?,هل هذا المواطن غير مسؤول حاليًا؟
on owned land,على الأراضي المملوكة
on unowned land,على الأراضي غير المملوكة
Property owned by,الممتلكات المملوكة بواسطة
Property not owned by,الممتلكات غير المملوكة بواسطة
Property authorized for,الممتلكات المصرح بها لـ
"Must the user have only one, or all of the listed memberships?",هل يجب أن يكون لدى المستخدم انتماء واحد فقط أو جميع الانتماءات المذكورة؟
Detect if a citizen is a member in a set of demographics.,الكشف عما إذا كان المواطن عضوًا في مجموعة من البيانات الديموغرافية.
Detect if a citizen is a member in a set of titles.,اكتشاف ما إذا كان مواطن معين عضوًا في مجموعة من الألقاب.
The titles that will be checked on the specified citizen.,الألقاب التي سيتم التحقق منها على المواطن المحدد.
Trigger happened on owned land.,حدث المؤشر على الأرض المملوكة.
Trigger happened on unowned land.,حدث المؤشر على الأرض غير المملوكة.
Requirements regarding property rights.,المتطلبات المتعلقة بحقوق الملكية.
The citizen or group to test.,المواطن أو المجموعة المراد اختبارها.
Should they be authorized or unauthorized?,هل يجب أن يكونوا مصرح لهم أو غير مصرح لهم؟
not {0},
Compare two values.,مقارنة قيمتين.
Test a subset of conditions.,اختبار مجموعة فرعية من الشروط.
Returns opposite of specified value.,يعيد القيمة المعكوسة للقيمة المحددة.
The opposite of this value will be used.,سيتم استخدام عكس هذه القيمة.
The operation to perform.,العملية المراد تنفيذها.
Take a percentage of a given number.,أخذ نسبة مئوية من رقم معين.
All property owned {0}by {1},جميع الممتلكات {0} التي يمتلكها {1}.
only,فقط
Property owned by this citizen.,الممتلكات التي يملكها هذا المواطن.
"Should only property that is solely owned by the specified citizen be considered? If not set, joint owned property will be chosen as well.",هل يجب أن تُعَدّ الممتلكات التي يملكها المواطن المحدد فقط؟ إذا لم يتم تعيينه، سيتم اختيار الممتلكات المملوكة مشتركة أيضًا.
