English,SimplifedChinese
Put {0},放置{0}
Take,领取
Use,使用
Previous,前一项
OK,好
Time Zone: {0},时区：{0}
{0} selected.,已选定 {0} 项。
Forgive,免除
How much of this debt do you want to forgive? Up to {0}.,这笔债务中，你要免除多少？最高可为 {0}。
Submit,提交
Pay,支付
PAST DUE,过期未付
NO MORE WANTED,不再需要
SOLD OUT,售罄
{0}w ({1}w when operating),{0} 瓦（操作时为 {1} 瓦）
~ {0} remaining,剩余 ~ {0}
No Fuel,无燃料
{0}w ({1} when operating),{0} 瓦（操作时为 {1}）
Invalid ip address,无效 互联网协议 地址
Please enter a name for the service.,请输入服务名称。
Please enter a URI for the service.,请输入服务 统一资源标识符。
The URI you entered is not a valid URI.,输入的 统一资源标识符 无效。
New Beginnings,新的开始
Learn to play in a new world with other beginners.,加入其它新手之列，一同学习在新世界中畅玩之法。
Cities Upon a Hill,山丘之城
Worlds with established cities welcoming new citizens.,此世界已建有城市，欢迎新公民踊跃加入。
Brave Frontiers,勇士疆域
Experienced citizens in highly-collaborative worlds.,在高度协作的世界里，有着经验丰富的公民。
Strange Worlds,陌生世界
Modded worlds exploring unique experiences.,改造世界，探索独特体验。
Active Hours in {0}: {1} match,{0}的可用活动小时数：匹配度为 {1}
Yes,是
day,天
Join,加入
Offline,离线
"This is a test server containing the next release of the game, which will be kept stable (so you can play normally here long-term).\n\nTo play here, you will need to switch to the staging build.",此测试服务器包含游戏的下一版本，将保持稳定（就此而言，你可在此长期如常畅玩游戏）。\n\n要在此服务器畅玩，你需切换至 模拟环境 测试版。
"In Steam, right click Eco and select 'Properties'.  On the Beta tab, opt-in and select the build called 'Staging'.",在 蒸汽平台 中，右键点击 《生态物语》 并选择‘属性’。在 测试 标签上，选择进入菜单并选中名为‘模拟环境’的测试版。
This server is running a different version.  You are running {0} but the server is running {1}.,此服务器正在运行不同版本。你正运行 {0}，但服务器正运行 {1}。
"This is a test server containing the next release of the game, which will be kept stable (so you can play normally here long-term).",此测试服务器包含游戏的下一版本，且其将保持稳定（就此而言，你可在此长期如常畅玩游戏）。
"To switch to the staging build, in Steam, right click Eco and select 'Properties'.  On the Beta tab, opt-in and select the build called 'Staging'.",要切换至 模拟环境 测试版，在 蒸汽平台 中，可右键单击 《生态物语》 并选择‘属性’。在 测试 标签上，则应选择进入菜单并选中名为‘模拟环境’的测试版。
Unlimited,无限
Open in your browser?,在浏览器中打开？
Whether or not to keep backups.,是否要保留备份。
How many backups to store for the last hour.,针对上一小时，要储存的备份数量。
Name of the save to load at startup.,启动时加载的存档名称。
\r\n\r\nForce Save All Stats:\r\n{0},\r\n\r\n强制保存所有统计数据：\r\n{0}
Other,其他
Everyone,玩家
Admins,管理员
No user provided,尚未提供用户
Lasers have been activated! Meteor targeted. {0} seconds to destruction.,已激活激光！瞄准流星。摧毁倒计时：{0} 秒。
{0} halted. {1},{0}已停止。 {1}
None,从不
Can only place blocks.,仅可放置地块。
Can't place more blocks than carrying.,放置的地块数不得超过所携带的数量。
Out of fuel.,燃料已用尽。
No inventory on that object.,该物品没有库存。
Cannot pick up the crane while its claw is carrying something.,起重机抓爪上携有东西时，无法将其拾取。
Cannot trade: No currency is set.,无法交易：尚未设置货币。
Exchange invalid: Both currencies are the same.,兑换无效：两种货币完全相同。
Can't make a currency with coins per item less or equal to zero.,每一项的货币及其硬币数量不得小于或等于零。
Cannot trade: Store is not in a valid state. Check the status tab for more details.,无法交易：交易柜台状态无效。请查看状况标签，获取更多详情。
The meteor has been destroyed!  You are victorious!,已摧毁流星！你大获全胜！
(Max level),（最高技能）
This currency uses {0} to produce {1} {2} per {3},此货币借助{0}，利用每个{3}生产 {1} 元{2}
{0} Report,{0}报告
Total in circulation: {0},流通总数：{0}
Total debt in currency: {0},该货币的债务总额：{0}
Balances:,余额：
Debts:,债务：
{0} owes you {1},{0}欠你 {1}
You owe {0} to {1}.,你欠{1} {0}。
{0} owes {1} to {2},{0}欠{2} {1}
Due in {0},{0}内到期
Overdue.,过期。
Debt created.,已创建债务。
{0}'s debt was cancelled.,已取消{0}的债务。
Can't find a currency containing {0}.,无法找到包含{0}的货币。
User {0} can't be found.,无法找到用户{0}。
Debt must be greater than zero.,债务必须大于零。
Build a road between {0} and {1} from {2} of width {3}.,在{2}上修建一条宽为 {3}的道路，且该道路的所在坐标应介于 {0} 和 {1} 之间。
"Upon completion, receive {0}{1}",完成后，收取 {0} {1}
"Payments collected into escrow: {0} from {1}, {2} deposit from {3}.",支付款项已汇入为托管：支付者：{1}，付款金额：{0}；押金提供者：{3}，金额：{2}。
{0} payment refund to {1}.,向{1}退款 {0}的支付金额。
{0} payment refund and {1} given to {2}.,退款的支付金额为 {0}，且{1}将交至{2}手中。
Couldn't find deed for object {0}.,无法找到物品{0}的契据。
Name,名称
<undefined material>,<未定义材料>
Add,添加
<undefined>,<未定义>
Can't have a negative deposit.,押金不得为负数。
Can't have a negative payment.,付款金额不得为负数。
Couldn't find {0} to harvest on that property.,无法在该土地上找到可收割的{0}。
{0} borrowed {1} from {2}.,{0}向{2}借了 {1}。
"{0} has only {1}, needs {2} to satisfy contract.",{0}仅有 {1}，需要 {2}方可满足合同条件。
Amount must be from {0}.,金额必须介于 {0} 之间。
{0} holds no {1}.,{0}并未持有{1}。
Can't loan 0 currency.,无法借贷 0 元货币。
Currency not set.,尚未设置货币。
Plow,犁
Must move {0} from {1} to {2}.  Access rights temporarily granted to containers.,必须将{0}从{1}移至{2}。暂时授予容器访问权限。
{0} vs {1} ({2}) for {3},对于{3}，{0}:{1}（{2}）
Exchange Rates:,汇率：
trades,交易
(Calculated by comparing {0}),（通过比较{0}进行计算）
trading,交易
Average,平均
...or better (see {0}),...或更佳（请参见{0}）
Repair cost: {0}\n,维修费用：{0}\n
Tool is Broken!\n,工具坏了！\n
Carrying {0}kg (max {1}kg).\n,携带 {0} 公斤（最多可带 {1} 公斤）。\n
Fuel: {0}J,燃料：{0}J
skill,技能
and {0} more.,以及另外 {0} 项。
Votes:,投票：
Unlocks {0},解锁{0}
{0}: {1} minutes,{0}: {1} 分钟
Creates {0} that teach {1},创建{0}以教授{1}
Teaches {0},教授{0}
Made with a {0},利用{0}制造而成
{0} finished crafting a {1}.,{0}已完成{1}的制作。
"Missing currency, failed.",缺失货币，操作失败。
;,
{0}'s {1},{0}的{1}
Stomach is {0},肚子{0}
{0} has contracted DYSENTERY.,{0}得了痢疾。
Logged in. Located at {0},已登录。位置：{0}
Max reputation that can be given to another player by one person.,用户可给予另一玩家的最高声望值。
Minimum reputation that can be taken from another player by one person.,用户可从另一玩家处领取的最低声望值。
Delay to prevent /unstuck abuse.,延迟以防止滥用 /unstuck。
Population: {0} ({1} online).,人口： {0} （{1} 人在线）。
Unnamed World Marker,未命名的世界标记
Unowned,无主
Click to open settings window,点击以打开设置窗口
This plot is already public.,此为公用地块。
This plot is owned by {0}.,此地块由{0}所拥有。
Can't claim plot: You don't have any {0}.,无法认领地块：你尚无任何{0}。
Can't unclaim plot: You don't have room in your inventory for {0}.,无法放弃认领地块：库存中尚无空间可容纳{0}。
This deed no longer exists.,该契据已不存在。
{0}: Level {1},{0}：等级 {1}
{0} has trained {1} to level {2}.,{0}已培训{1}，可达到等级 {2}。
All,全部
{0} is not a world object.,{0}并非世界物品。
Tier must be between 1 and 4.,等级必须介于 1 和 4 之间。
Belongs to {0}.,属于{0}。
Unowned.,无主。
Graphs,图表
Uninitialized,未初始化
Waiting for World...,正在等待世界……
Makeup of the atmosphere in percentages.,大气构成（以百分比表示）。
Initial air pressure.,初始气压。
Atmosphere volume in cubic meters.,大气体积（以立方米为单位）。
Show atmosphere data in status panel.,在状态面板中显示大气数据。
Air pollution output is divided by this to determine PPM.,空气污染产出除以此数，即可确定 百万分率。
Multiplier for pollution.,污染的系数。
"The starting level of CO2 in the atmosphere, and the min value we clamp to.",大气中 二氧化碳 的初始水平，以及我们限制的最小值。
Whether sea level changes should be simulated.,是否模拟海平面变化。
Whether temperature changes should be simulated.,是否模拟温度变化。
Sea levels start rising when CO2 is above this value,若二氧化碳高于此值将造成海平面上升
"For every X ppm over the base 'SeaLevelsRiseAtCO2ppm' value, the sea level will rise 1 meter.",对于在 'SeaLevelsRiseAtCO2ppm' 数值基础上的每 X 个百万分率，海平面将上升 1 米。
"No matter how bad it gets, it will never get worse than this.",无论事情变得多糟糕，都会比此情况要好。
Sea levels can not rise more than this many units per day.,海平面的每日上升幅度不可超过这么多单位。
Temperature can not rise more than this many units per day.,温度的每日上升幅度不可超过这么多单位。
"At this level of CO2, global temperatures start to rise.",二氧化碳 达到此水平时，全球气温开始上升。
"For every X ppm over the base 'SeaLevelsRiseAtCO2ppm' value, the global temperature level will rise 1 degree.",对于在 'SeaLevelsRiseAtCO2ppm' 数值基础上的每 X 个百万分率，全球气温将上升 1 度。
The amount of ground pollution emitted by each incorrectly stored tailing block each tick.,针对任意 刷新，每个未正确存放的残渣地块所排放的地面污染量。
Debris max value is attained when this many blocks are placed.,放置如此多地块时，将达到碎屑最大值。
Does the animal fly?,此动物会飞吗？
Does the animal swim?,此动物会游泳吗？
Wandering speed in m/s,移动速度 (米/秒)
Speed in m/s,速度 (米/秒)
How quickly an animal will flee from a predator/player once noticed.,遭发现后，动物从狩猎者/玩家手中逃离的速度有多快。
The number of calories in a single voxel column of this plant at population density 1.,在人口密度为 1 的情况下，此类植物单体素柱中的卡路里数。
The world layer describing the concentration of the nutrient.,描述营养浓度的世界图层。
The concentration of the nutrient at which the plant grows at half its max rate. 0 = plant is not constrained.,植物以其最大速度的一半增长时，对应的营养浓度。0 = 植物不受限制。
The concentration of the nutrient (amount / voxel column) in an adult plant.,成株的营养浓度（量 / 体素柱）。
The world layer describing the local capacity.,描述当地能力的世界图层。
"The density of capacity consumed by this organism, in voxel columns occupied per organism.",此有机体消耗的容量密度，按照每个有机体占据的体素柱计算。
The input layers. Cycles are allowed.,输入图层。允许循环。
The input layers during init. NO CYCLES ALLOWED.,初始化过程中的输入图层。不允许循环。
The layer to modify with this interaction.,借此互动修改的图层。
World Layers,世界图层
The top block of the biome.,生物群落的顶层地块。
A list of food sources which this animal relies on.,此动物依赖的食物来源列表。
Available calories of food sources in the area to support one animal fully.,源自该地区食源的有效卡路里，可提供足以支持一只动物生存所需的热量。
Target moisture.,目标湿度。
Target temperature.,目标温度。
The name of the layer that contains the concentration of the first input.,包含第一次输入浓度的图层名称。
The name of the layer that contains the concentration of the second input.,包含第二次输入浓度的图层名称。
The name of the layer that contains the concentration of the product.,包含产品浓度的图层名称。
"The amount of product to create (or, if negative, to remove) when the product of the input concentrations is 1.",当输入浓度的产品为 1 时，要制造的产品数量（若为负数，则移除）。
Whether the interaction should operate on the special first initialization tick after worldgen (when dependency cycles are not allowed).,世界生成后，是否在第一次特殊初始化 刷新 上执行互动（不允许依赖循环时）。
The layer to spread.,图层扩散。
The proportion of the layer that spreads to the adjacent locations each tick (on a flat plain).,每个 刷新 内，图层扩散至周围区域的比例（在平坦平原上）。
"The degree to which the spread prefers going downhill. 0 = ignores height, 1 = never spreads uphill, -1 = never spreads downhill.",更容易向下扩散的坡度。0 = 忽略高度，1 = 从不向上扩散，-1 = 从不向下扩散。
The number of times this interaction should be ticked after its modified layer has otherwise been initialized (but before it is used by any other interactions).,以其他方式对经修改图层初始化后（但遭任何其他互动使用前），此互动应标记的次数。
The name of the layer that defines habitability for this species.,为此物种适居性提供定义的图层名称。
Percent per-tick that the population of neighbors flows into a location.,每个 刷新 内相邻人口流入一个位置的百分比。
Throttle that weights the percent-change per turn.,每一轮百分比变化的加权调节。
How the two layers are combined.,如何组合两个图层。
The layers involved in the combination.,组合中涉及的图层。
The weights of the layers in the final product/sum.,最终产品/总和中的图层权重。
New values are throttled to change by this percentage per tick at max.,新值受限于，在每个刷新 内最高按照该百分比进行更改。
The rate of decay by flat value per tick. Applied before percent decay.,每个 刷新 内按照固定值计算的衰减率。在百分比衰减前应用。
The rate of decay by percent per tick. Applied after flat decay.,每个 刷新 内按照百分比计算的衰减率。在固定值衰减后应用。
A tile will approach this percentage value of its highest-value neighbor.,图块将接近其相邻最高值的此百分比值。
Spread-rate drops to zero as height difference approaches this value.,随着高度差接近该值，扩散速度下降为零。
The value approaches the desire value at this rate.,此值以该速度接近所需数值。
Base layer which determines the min-value of a location.,决定某个位置最小值的基础图层。
The layers in the sum.,总和中的图层。
Idle,闲置
Frequency of craters (should be very low),流星坑的频率（应非常低）
Radius range,半径范围
Depth range (percent of radius),深度范围（半径百分比）
Produces: {0}w,生产：{0} 瓦
Consumes: {0}w,消耗： {0} 瓦
A combination of a small tent and a tiny stockpile.,小帐篷和小型料堆组合。
Starting Camp,初始营地
Toll is disabled. Check status.,已禁用通行费。请检查状态。
"Object does not have an owner, cannot be used.",物品尚无主人，不可使用。
"Toll is already activated, wait for it to expire (owner can turn off manually).",已激活通行费，等待其到期（所有者可手动关闭）。
{0} [{1:n0}]:\r\n - Next save in: {2:n1}s; {3},{0} [{1:n0}]:\r\n - 距离下一存档生效还剩： {2:n1}秒; {3}
(Proposed by {0}),（由{0}提议）
{0} Yes : {1} No,{0} 赞成： {1} 反对
Voting ends in {0},距离投票结束还剩 {0}
(In Effect),（有效）
View,视图
and,和
Demographics,群体
Citizen,公民
Admin,管理员
Change,更换
Voted Yes,投赞成票
Voted No,投反对票
Vote,投票
Filter by name...,按名称筛选……
Title,头衔
Create Listing,创建列表
Stationary,固定
Environment Data,环境数据
Missing:,缺失：
Add User....,添加用户……
Show / Hide,显示 / 隐藏
Camera,相机
Load More,加载更多
List,列表
Collect,收集
Project:,项目：
Recipe Name,配方名称
Online,在线
Age,年龄
Ping,延迟
Property,土地
Price,价格
Color,颜色
Buy,购买
Fee,费用
Tax,税
Projects\n,项目\n
Tax:,税：
Fee:,费用：
Order,下单
ItemTemplate,
Template\n,模板\n
Meteor Spotted.,发现流星。
Time to get started.,开始时间到。
All players have access,所有玩家均可访问
Search...,搜索……
The following players will have access,以下玩家将可访问
Action:,操作：
Count:,计数：
Target:,目标：
Accept,接受
Updated,已更新
No Fuel\n,无燃料\n
Locked,已锁定
Show Objects,显示物品
Input\n,输入\n
(Full),（完整）
Contents (L)\n,内容 (L)\n
Fee Per Item:,每一项的费用：
<Unnamed>​,<未命名>
New World,新建世界
Rarely,极少
AM,早上
Monday,星期一
Settings,设置
Max active community size,最大活跃社区大小
Community collaboration:,社区合作：
Sometimes,有时
World Name:,世界名称：
Usually,时常
Generate random world,生成随机世界
Mark the times you would like citizens to login to play at the same time.,标记公民同时登录畅玩的期望时间。
Private server,私人服务器
Cancel,取消
New players are welcome to join,欢迎新玩家加入畅玩
Friday,星期五
Saturday,星期六
Host a New World,成为新世界的主人
Start,开始
Sunday,星期天
Play Times,游戏时间
Thursday,星期四
Clear,清除
PM,下午
"To get the best server matches, select the times you're most likely to play.",要获得最佳服务器匹配结果，请选择你可畅玩的最佳时间。
Server Description,服务器说明
Rows,行
Player Name,玩家名称
Info,信息
Select,选择
Color Picker,颜色挑选器
Please enter a service name and URI,请输入服务名称和 统一资源标识符
Eco Public Servers,《生态物语》 公共服务器
Details,详情
Objective,目标
Announcement,公告
Server Name,服务器名称
Your Worlds.,你的世界。
My Servers,我的服务器
Search,搜索
Custom Listing Services,自定义列表服务
Join Server Directly,直接加入服务器
Apply,应用
Filters,筛选器
Specialization,专门化
Version Match,版本匹配
Meteor Enabled,已启用流星
World Age,世界年龄
No Password,无密码
Total Players,玩家总数
Language Match,语言匹配
Has Friends,有好友
Online Players,在线玩家
No,不
"Impact in:\n3 days 10 hrs 13 min, 12 sec.",撞击倒计时：\n3 天 10 小时 13 分 12 秒。
Bloom,光晕
This law only applies while in its zone (view in browser),仅当此法案处于其所属区域时方可适用（在浏览器中查看）
Camas Act,克美莲法案
(Active),（有效）
Output\n,输出\n
(Skip All),（跳过所有）
Item Name,物品名称
Quantity,数量
Crafting,制作
All operations normal.,所有操作均正常。
Editable Title​,可编辑的头衔
Linked Inventories,链接的库存
Selection:\n,选择：\n
Repair Cost:,维修费用：
Nitrogen Percent\n,氮气百分比\n
Pressure (atm),压力（大气）
Temperature (C)\n,温度 (C)\n
Oxygen Percent,氧气百分比
Trigger when atmosphere is,当大气为以下气压时即触发：
CO2 Percent\n,二氧化碳 百分比\n
Conditions met,已满足条件
Items to Distribute Per Citizen:,对每位公民分配的物品：
Max days played for citizens to be eligible:,旨在获取具资质公民资格，应参与的最多天数：
Save,保存
Sales Tax:,销售税：
You have,你有
Fees and Taxes,费用与税金
Fee Per Minute:,每分钟费用：
Currency to Use,要使用的货币
Crafting Fee Tax:,制作费用税金：
Currency Name,货币名称
Mechanical,机械
Repair,维修
Vehicle Attachments\n,车辆附件\n
Vehicle Segments,车辆部门
Consuming Fuel,消耗燃料
Currency Report,货币报表
Property Tax,物业税
Allocate,分配
Direct Transfer Tax,直接转让税
Crafting Fee Tax,制作费用税金
% of sale,销售 %
Contract Tax,契税
"per plot, per day.",每块地（每天）。
Taxes,税
Sales Tax,销售税
Power Grid,电网
Supply:,供应：
Demand:,需求：
Type:,类型：
Current Output:,当前输出：
Max Output:,最大输出：
Producing Power,发电
Claim,认领
Authorized Consumers,经授权消费者
Powered Network Status,供电网络状态
Activate!,激活！
No exchanges offered,未提供兑换
Fuel Supply,燃料供应
Craft,制作
Craft Coins,铸造硬币
Coins per Item:,每项硬币数：
Currency Settings,货币设置
Currency Name:,货币名称：
Total in Circulation:,流通总数：
Add Exchange,添加兑换
In Exchange For,交换
Offering,提供
Owner Balance Restrictions,所有者余额限制
Add Restriction,添加限制
Consuming Power,消耗电力
Client,客户
Payment:,付款：
Client:,客户：
Max\nPressure,最大\n压力
Authorization Settings:,授权设置：
Currency,货币
Max,最大
Min,最小
Clause:,条款：
to,至
Work:,工作：
Width:,宽度：
Wednesday,星期三
Wake Up,唤醒
Volume:,体积：
Very Low-Very High,极低 - 极高
Tuesday,星期二
To:,至：
To Remove:,要移除：
To Move:,要移动：
Time Zone: Pacific GMT+8,时区：太平洋时区 标准时间+8
than:,于：
Surface:,表面：
Still to Add:,仍要添加：
Source:,来源：
Run For Office,参加推选
Resource Types:,资源类型：
Relative Reputation,相对声望
Property:\n,土地：\n
Property:,土地：
Property\n,土地\n
Plants On Property:,土地上的植物：
Pick,挑选
Payment Tax:,报酬税：
Owned By PersonNameHere,由此处人名所有
Output,输出
on,用于
of the following:,以下项中的：
Note: It's recommended that you begin your first game with other citizens in a shared world for the best experience.,注意：建议你在共享世界中与其他公民开始首次游戏，以获取最佳体验。
None.,无。
No holes in the roof at all,屋顶上根本没有洞
No holdings,无持有物
Must have,必须持有
Materials:,材料：
Many crafting station in Eco require enclosed rooms to work.,《生态物语》 中的许多工作站均需密闭房间方可工作。
Laws,章程
Items:,物品：
Input,输入
Host a Private World,成为私人世界的主人
Harvested:,已收割数量：
Gain:,获得：
From:,来自：
For Contract Duration,对于合同期限
Field Size:,田地大小：
Explorations,探索
Elections,推选
Desired Room \nPercent,想要的房间 \n百分比
Deposit:,押金：
Deposit In:,存入帐户：
DefaultObject,默认物品
Currency:,货币：
Create Deed,创建契据
Contract Beginning,合同开始
Contents:,内容：
Contents (L),内容 (L)
Container:,容器：
Building requires both a hammer and a material to place blocks.,建筑需要设置锤子和放置地块用的材料。
Browse All\n,浏览全部\n
Blocks:,地块：
at or above,等于或高于
Any,任意
Add Clause,添加条款
Accepts {0},接受{0}
1-3 days,1-3 天
1-10 players,1-10 名玩家
<Enter work description>​,<输入工作说明>​
Browse Recommended\n,浏览器推荐\n
Copy text and log\nto clipboard,复制文本和日志\n至剪贴板
Join the Eco community on,通过以下方式加入 《生态物语》 社区：
Loading....,正在加载 ……
Match,匹配
Matches,匹配
Report a Bug,否
Tim's Wood Cart,Tim 的木质拖车
Users gain skillpoints on crafting,用户获得制作技能点数
Your Worlds\n,你的世界\n
Are you sure you want to quit?,是否确定要退出？
Allow Friends to Join,允许好友加入
Generate random landscape,生成随机景观
Retrieve the {0} from your tent and select it.,从帐篷中找出{0}并将其选中。
Mouse over this text link to view how to build or find a research table: {0},将鼠标移动至文本链接上，查看如何建造或找到研究工作台：{0}
Discord,
You can join the conversation with your fellow citizens through this link:,你可通过此链接加入与其他公民们的对话：
The Meteor,流星
Work Orders,工作订单
Claiming Land,认领土地
Construction,建设
Build A House,建造房屋
"Carrying capacity is limited and you can only carry one load of dirt at a time. Later, you can use vehicles to carry more.",携带容量有限，每次只能携带一堆泥土。此后，你可使用车辆携带更多泥土。
Place the dirt by right-clicking a location.,右键单击某个位置即可放下泥土。
Food,食物
"To obtain an undiscovered skill, you'll need to craft skillbooks at a Research Table.",要获得未经发现的技能，你需在研究工作台上制作技能书。
You may need to wait until it orbits to this side of the world.,你可能需要耐心等待，直至其运行至世界这一侧的轨道上。
"Since all your resources to do this come from the environment, you could very well destroy the planet before the meteor even impacts.",鉴于进行此操作的所有资源均来自环境，你很可能在流星撞击前已摧毁地球。
these values:,这些值：
"To navigate these twin dangers, you'll need to collaborate with your fellow citizens to build a thriving economy tempered by a well-run government.",为了应对此双重危险，你将需要与其他公民们合作，在运行良好的公会带领下，建设出繁荣经济。
"Together with your fellow citizens, you'll need to advance civilization to a level of technology capable of stopping the meteor.",你需要与其他公民们一起推动文明发展，以达到能够阻止流星的技术水平。
You'll advance technology and acquire massive power over the environment.,你将发展技术，并获得对环境的巨大力量。
"You'll create cities, markets, and a thriving industry.",你将创建城市、市场和繁荣兴盛的产业。
You'll elect leaders and pass laws to grow your economy and protect the ecosystem.,你将推选领导者，并通过法案以发展经济和保护生态系统。
Selection,选择
Contract Title,合同标题
Looking for wood,寻找木材
Reputation:,声望：
Skip this task?,是否要跳过此任务？
Favorites,收藏
Browse All,浏览全部
You are not the owner of this deed.,你并非该契据的所有者。
This sale listing no longer exists.,已不存在此销售列表。
Cannot trade: Desk is not in a valid state. Check the Status tab for more details.,无法交易：柜台无效。请查看状态标签，了解更多信息。
Need to give your currency a backing item before you can craft it.,在铸造货币前，需要提供支持货币的资源。
Has an owner.,具有一位所有者。
No meteor detected.,未发现流星。
No objects to activate,尚无要激活的物品
All networked objects must be enabled and powered before they can be activated,必须先启用所有联网物品并加以通电方可激活
Not enough power to activate all the networked objects.,尚无足够电力以激活所有联网物品。
Ready to activate! Waiting for meteor to enter targeting window.,准备激活！等待流星进入瞄准窗。
All networked objects ready to activate!,准备激活所有联网物品！
Placed on solid ground.,放置在坚实地面上。
This is already owned by {0},此项已由{0}拥有。
You claimed {0},你认领了{0}
"Can't pay {0} in debt, you only owe {1}.",无法偿还 {0}债务，你只欠 {1}。
You forgave {0} debt to {1}.  Debt is now cancelled.,你免除了{1}的 {0}债务。债务现已取消。
You forgave {0} debt to {1}.  {2} debt remains.,你免除了{1}的 {0}债务。仍有 {2}债务。
Paid off {0} debt to {1}.  Your debt is now paid off.,向{1}还清 {0}债务。你的债务现已还清。
Paid off {0} debt to {1}.  You now owe {2}.,向{1}还清 {0}债务。你现在欠 {2}。
<unassigned>,<未分配>
selling,出售
buying,购买
Craft time,制作时间
Only {0} is allowed to do that.,仅允许{0}进行此操作。
This deed is unowned. Its settings can't be changed.,此契据无主。无法更改其设置。
{0} and {1} have different owners.,{0}和{1}具有不同的所有者。
'{0}' is not a valid material name,'{0}'不是有效的材料名称
No plant species named '{0}'.  Valid species are: {1},未发现名为'{0}'的植物品种。有效品种为：{1}
'{0}' is not a valid block type name.,'{0}'并非有效的地块类型名称。
Saving the world....,正在保存世界……
User,用户
int,
float,
string,
bool,
Regenerated {0}. It may take up to ten minutes to see the immediate consequences in the world.,已再生{0}。可能需要长达十分钟，才能看到世界上的直接结果。
Regenerating {0} has no effect - its initialization is managed by the legacy world layers system.,再生{0}并不起效 —— 其初始化由老式世界图层系统进行管理。
Day,天
leader,
player,
pay,支付
This world has an attached Discord server!,此世界设有 Discord 接入服务器！
Sends a signal to surrounding objects.,向周围物品发送信号。
Logic Gate,逻辑门
Toggle on any touching wires and electronic objects.,切换激活任何接触线和电子物品。
Connects electronic components.,连接电子元件。
Face,面具
This piece of corn needs a good slathering of butter to curb that burnt taste.,这根玉米需要好好抹上黄油才能掩盖焦味。
The blackened surface of this unrecognizable meat is 'golden brown'.,这块无法辨别的肉，其烧焦表面为‘金黄色’。
A collection of the furled fronds of young ferns; a unique addition to a meal.,一小把卷起的鲜嫩蕨类叶子；一顿正餐的独特补充品。
A metal barrel for carrying liquids.,用于装载液体的金属桶。
Boiler,锅炉
Copper Bar,铜条
Iron Gear,铁质齿轮
Provides speed and torque conversions from a rotating power source to another device,将旋转动力源的速度和扭矩转换至另一台装置
Gold Bar,金条
Heat Sink,散热片
A copper plate to draw and disperse heat.,吸收和疏散热量的铜板。
Iron Axle,铁质车轴
Iron Bar,铁锭
Iron Plate,铁板
Iron Wheel,铁轮
Light Bulb,灯泡
An electric light with a wire filament.,带灯丝的电灯。
Portable Steam Engine,便携式蒸汽机
An engine that generates mechanical power through steam.,通过蒸汽产生机械动力的发动机。
Property Tool,土地工具
Land Claim Stake,领地界桩
Land Claim Stakes,领地界桩
Radiator,散热器
A heat sink that uses liquid running through copper fins to disperse heat build-up.,利用液体流过铜翅片来分散热量的散热片。
Rubber Wheel,橡胶轮
Screws,螺钉
Steam Tractor Harvester,蒸汽拖拉机式收割机
An attachment for the steam tractor that allows for quick harvesting of plants.,安装在蒸汽拖拉机上的附属装置，用于快速收割植物。
Steam Tractor Sower,蒸汽拖拉机用播种机
An attachment for the steam tractor that allows for quick planting of seeds.,安装在蒸汽拖拉机上的附属装置，用于快速播种。
Steel Axle,钢质车轴
Steel Gear,钢质齿轮
Steel Plate,钢板
Synthetic Rubber,合成橡胶
Rubber,橡胶
Wooden Wheel,木轮
Beet Sugar,甜菜糖
Butcher Bison,肉加工野牛
Butcher Hare,肉加工野兔
Campfire Bison,篝火慢烤野牛肉
Clean Urchins,清洗海胆
Exotic Fruit Salad,异国风味的水果沙拉
Exotic Salad,异国风味沙拉
Exotic Vegetable Medley,异国风味蔬菜拼盘
Forest Salad,森林沙拉
Grassland Salad,草原沙拉
Mixed Fruit Salad,什果沙拉
Mixed Salad,什锦沙拉
Mixed Vegetable Medley,什锦蔬菜拼盘
Refine Fish,精制鱼肉
Refine Kelp,精制海带
Refine Meat,精制肉食
Refine Tallow,精制牛油
Render Fat,提炼脂肪
Saw Boards,粗凿原木板
Shuck Clams,带壳蛤蜊
Smelt Copper,冶铜
Smelt Gold,炼金
Smelt Iron,炼铁
Grants,授予
Chainsaw,链锯
Crane,起重机
Allows the placement and transport of materials in an area.,允许在一个区域内放置和运输材料。
A tool that tills the field for farming.,用来犁地耕田的工具。
Skid Steer,滑移装载机
Small wood cart for hauling minimal loads.,拖运极少货物的小型木质拖车。
Truck,卡车
Modern truck for hauling sizable loads.,拖运大量货物的现代卡车。
Wheelbarrow,独轮手推车
Small cart for hauling small loads.,拖运少量货物的小拖车。
Wooden Elevator,木制升降机
An elevator for transporting loads vertically.,用于垂直运输货物的升降机。
Assembly Line,装配线
Bison Mount,野牛头壁挂
"A fluffy, but very dead, bison head on a mount.",挂在墙上的毛茸茸野牛头标本。
Campsite,营地
A campsite,营地
Distribution Station,分发站
Electric Lathe,电动车床
Electric Machinist Table,电动机械师工作台
Electric Planer,电动刨床
Electric Stamping Press,电动冲床
Elk Mount,驼鹿壁挂
A hunting trophy for your house.,用来装饰房屋的狩猎战利品。
You can hear the faint cries of Ecko when this mythical elk antler is held aloft.,当高高举起这个传说中的鹿角时，即可听到 埃克 轻声哭泣。
Framed Glass Door,带框架的玻璃门
A beautiful glass door made of steel and glass.,用钢和玻璃制作的迷人玻璃门。
Hewn Log Door,粗凿原木门
A door made from roughly hewn logs.,使用粗凿原木制作的门。
Kitchen,厨房
