English,Dutch
Boiled Grains,Boiled Grains
Beet Greens,Beet Greens
The leafy greens from a beet with a distinctive red stem.,The leafy greens from a beet with a distinctive red stem.
Beet Campfire Salad,Beet Campfire Salad
A sweet pastry with seperated sections that look a bit like a claw.,Een zoet gebakje met afzonderlijke secties die een beetje op een klauw lijken.
Baked Vegetable,Baked Vegetable
Baked Tomato,Baked Tomato
Baked Taro,Baked Taro
Baked Heart Of Palm,Baked Heart Of Palm
Baked Corn,Baked Corn
Baked Beet,Baked Beet
"Charred agave leaves are too fiberous to eat entirely, but you can certainly chew them.","Charred agave leaves are too fiberous to eat entirely, but you can certainly chew them."
Window Wall,Window Wall
Fence,Hek
Window,Raam
Wall Trim,Wall Trim
Wall,Muur
Under Stairs,Under Stairs
Under Brace,Under Brace
Thin Column,Thin Column
Stairs Turn,Stairs Turn
Stairs Corner,Stairs Corner
Stairs,Trappen
Slope Turn,Slope Turn
Slope Side,Slope Side
Slope Point,Slope Point
Slope Flat,Slope Flat
Slope Corner,Slope Corner
Side Fence,Side Fence
Side Brace,Side Brace
Roof,Dak
RampD,RampD
RampC,RampC
RampB,RampB
RampA,RampA
Ladder,Ladder
Floor,Vloer
Float Stairs Turn,Float Stairs Turn
Float Stairs Corner,Float Stairs Corner
Float Stairs,Float Stairs
Flat Roof,Flat Roof
Double Window,Double Window
Cube,Cube
Column,Kolom
Clad Wall,Clad Wall
Chimney,Schoorsteen
Brace,Accolade
Basic Slope Turn,Basic Slope Turn
Basic Slope Side,Basic Slope Side
Basic Slope Point,Basic Slope Point
Basic Slope Corner,Basic Slope Corner
Aqueduct,Aqueduct
Thin,Dun
Supports,Ondersteunt
Slopes,Slopes
Ramps,Ramps
Climbing,Klimmen
Basic,Basis
A pile of stones.,A pile of stones.
Rock,Steen
Pipe,Pijp
Steel Bar,Steel Bar
Refined bar of steel.,Refined bar of steel.
Spruce Log,Spruce Log
Softwood,Zachthout
Softwood Lumber,Softwood Lumber
Softwood Hewn Log,Softwood Hewn Log
HewnLog,HewnLog
Slag,Slag
"A rock of varying hardness, useful for construction and as a host for iron ore. Sandstone is a sedimentary rock that forms when sand is buried deeply enough to lithify. Sometimes the shapes of dunes and ripples from an ancient desert or beach are preserved!","A rock of varying hardness, useful for construction and as a host for iron ore. Sandstone is a sedimentary rock that forms when sand is buried deeply enough to lithify. Sometimes the shapes of dunes and ripples from an ancient desert or beach are preserved!"
Saguaro Rib,Saguaro Rib
Redwood Log,Redwood Log
Liquid Fuel,Liquid Fuel
Palm Log,Palm Log
Concentrated Ore,Concentrated Ore
Oak Log,Oak Log
Hardwood,Hardwood
Mortared Shale,Mortared Shale
Mortared Gneiss,Mortared Gneiss
Mortared Basalt,Mortared Basalt
Joshua Log,Joshua Log
Ore,Ore
Iron Concentrate,Iron Concentrate
Refined bar of iron.,Refined bar of iron.
Hardwood Lumber,Hardwood Lumber
Hardwood Hewn Log,Hardwood Hewn Log
Gold Concentrate,Gold Concentrate
Refined bar of gold.,Refined bar of gold.
Fir Log,Fir Log
Crushed Stone,Crushed Stone
Crushed Rock,Crushed Rock
Crushed Slag,Crushed Slag
Crushed Shale,Crushed Shale
Crushed Sandstone,Crushed Sandstone
Crushed Oil Shale,Crushed Oil Shale
Crushed Limestone,Crushed Limestone
Crushed Iron Ore,Crushed Iron Ore
Crushed Granite,Crushed Granite
Crushed Gold Ore,Crushed Gold Ore
Crushed Gneiss,Crushed Gneiss
Crushed Copper Ore,Crushed Copper Ore
Crushed Coal,Crushed Coal
Crushed Basalt,Crushed Basalt
Copper Concentrate,Copper Concentrate
Refined bar of copper.,Refined bar of copper.
Composite Spruce Lumber,Composite Spruce Lumber
A composite lumber made from a combination of wood and plastic.,A composite lumber made from a combination of wood and plastic.
Composite Saguaro Lumber,Composite Saguaro Lumber
Composite Redwood Lumber,Composite Redwood Lumber
Composite Palm Lumber,Composite Palm Lumber
Composite Oak Lumber,Composite Oak Lumber
Composite Lumber,Composite Lumber
Composite Joshua Lumber,Composite Joshua Lumber
Composite Fir Lumber,Composite Fir Lumber
Composite Ceiba Lumber,Composite Ceiba Lumber
Composite Cedar Lumber,Composite Cedar Lumber
Composite Birch Lumber,Composite Birch Lumber
Ceiba Log,Ceiba Log
Cedar Log,Cedar Log
Birch Log,Birch Log
Ashlar Stone,Ashlar Stone
Ashlar Shale,Ashlar Shale
Ashlar Sandstone,Ashlar Sandstone
Ashlar Limestone,Ashlar Limestone
Ashlar Granite,Ashlar Granite
Ashlar Gneiss,Ashlar Gneiss
Ashlar Basalt,Ashlar Basalt
Parallel Processing: Composites,Parallel Processing: Composites
Parallel Processing: AdvancedMasonry,Parallel Processing: AdvancedMasonry
Lavish Workspace: Composites,Lavish Workspace: Composites
Lavish Workspace: AdvancedMasonry,Lavish Workspace: AdvancedMasonry
Frugal Workspace: Composites,Frugal Workspace: Composites
Frugal Workspace: AdvancedMasonry,Frugal Workspace: AdvancedMasonry
Focused Workflow: Composites,Focused Workflow: Composites
Focused Workflow: AdvancedMasonry,Focused Workflow: AdvancedMasonry
Oilfield,Oilfield
Tarantula Capacity,Tarantula Capacity
SnappingTurtle Capacity,SnappingTurtle Capacity
PacificSardine Capacity,PacificSardine Capacity
MoonJellyfish Capacity,MoonJellyfish Capacity
Jaguar Capacity,Jaguar Capacity
Crab Capacity,Crab Capacity
Coyote Capacity,Coyote Capacity
Cod Capacity,Cod Capacity
BlueShark Capacity,BlueShark Capacity
Bass Capacity,Bass Capacity
Alligator Capacity,Alligator Capacity
Agouti Capacity,Agouti Capacity
Build road,Bouw weg
Claim land,Claim land
Prospect,Prospect
Blasts appart rock.,Blasts appart rock.
Blasting Charge,Blasting Charge
"Allows the creation of Demographics, which specify groups of citizens automatically based on criteria you define.","Allows the creation of Demographics, which specify groups of citizens automatically based on criteria you define."
"Allows the creation of Election Processes, which are different kinds of elections with different settings (who can vote, who can veto, etc).","Allows the creation of Election Processes, which are different kinds of elections with different settings (who can vote, who can veto, etc)."
"Allows the creation of District Maps, which define a set of districts.  Districts can then be specified in laws and other civic actions.","Allows the creation of District Maps, which define a set of districts.  Districts can then be specified in laws and other civic actions."
"Allows the creation of the government, allowing all other civic objects to be created.","Allows the creation of the government, allowing all other civic objects to be created."
Wall3Point,Wall3Point
A wall of blocks.,A wall of blocks.
Wall2Point,Wall2Point
Rectangle,Rechthoek
A flat rectangle of blocks.,A flat rectangle of blocks.
Point,Punt
A single block.,A single block.
Line,Lijn
A line of blocks.,A line of blocks.
Box 3 Point,Box 3 Point
A full box.,A full box.
Box 2 Point,Box 2 Point
Leaf,Blad
Error inserting stat of type {0} into database,Error inserting stat of type {0} into database
Stats Display Text,Stats Display Text
Stats Status,Stats Status
On what height the animal could climb?,On what height the animal could climb?
This server will be used as fallback to proxy traffic between server and client if no direct connection possible. Should be in following format: host_or_ip:port,This server will be used as fallback to proxy traffic between server and client if no direct connection possible. Should be in following format: host_or_ip:port
Currency associated with this mint: {0},Currency associated with this mint: {0}
Inventory only accepts carried items,Inventory only accepts carried items
Can only add items that need repairing.,Can only add items that need repairing.
Inventory only accepts non-carried items,Inventory only accepts non-carried items
Inventory is too heavy,Inventory is too heavy
Inventory only accepts fuel,Inventory only accepts fuel
Inventory only accepts seeds,Inventory only accepts seeds
Inventory only accepts clothing items fitting that slot,Inventory only accepts clothing items fitting that slot
Displays the citizen-run economy across the world.,Displays the citizen-run economy across the world.
Work list cannot be empty!,Work list cannot be empty!
Declined by the player.,Declined by the player.
Work Party,Work Party
Contracts related to {0} recalculated,Contracts related to {0} recalculated
Nested clause failed because all sub-clauses failed:\n\n{0},Nested clause failed because all sub-clauses failed:\n\n{0}
Nested clause failed because at least one sub-clauses failed:\n\n{0},Nested clause failed because at least one sub-clauses failed:\n\n{0}
Nested clause failed because at least one sub-clause succeeded:\n\n{0},Nested clause failed because at least one sub-clause succeeded:\n\n{0}
"This clause allows players to define in words what they would like done.  When using this clause, the contract can no longer be auto-approved, and the client will have to approve it before accepting it. When accepting a contract with a custom clause, it is wise to first review the reputation of the citizen offering it, because it is fully at their discretion to approve or deny its completion.\n\nYou must uncheck {0} at the bottom of the contract to use this clause.","This clause allows players to define in words what they would like done.  When using this clause, the contract can no longer be auto-approved, and the client will have to approve it before accepting it. When accepting a contract with a custom clause, it is wise to first review the reputation of the citizen offering it, because it is fully at their discretion to approve or deny its completion.\n\nYou must uncheck {0} at the bottom of the contract to use this clause."
Requested tier can't be reached. Max tier is {0},Requested tier can't be reached. Max tier is {0}
Cannot finish contract,Cannot finish contract
Can't mark finished job as failed,Can't mark finished job as failed
inside,in
outside,buiten
Number of hours since the citizen's first login.,Number of hours since the citizen's first login.
The citizen whose age we're testing.,The citizen whose age we're testing.
Number of hours the world has been active.,Number of hours the world has been active.
Number of days the world has been active.,Number of days the world has been active.
Is this citizen currently not an admin?,Is this citizen currently not an admin?
on owned land,on owned land
on unowned land,on unowned land
Property owned by,Property owned by
Property not owned by,Property not owned by
Property authorized for,Property authorized for
"Must the user have only one, or all of the listed memberships?","Must the user have only one, or all of the listed memberships?"
Detect if a citizen is a member in a set of demographics.,Detect if a citizen is a member in a set of demographics.
Detect if a citizen is a member in a set of titles.,Detect if a citizen is a member in a set of titles.
The titles that will be checked on the specified citizen.,The titles that will be checked on the specified citizen.
Trigger happened on owned land.,Trigger happened on owned land.
Trigger happened on unowned land.,Trigger happened on unowned land.
Requirements regarding property rights.,Requirements regarding property rights.
The citizen or group to test.,The citizen or group to test.
Should they be authorized or unauthorized?,Should they be authorized or unauthorized?
not {0},niet {0}
Compare two values.,Compare two values.
Test a subset of conditions.,Test a subset of conditions.
Returns opposite of specified value.,Returns opposite of specified value.
The opposite of this value will be used.,The opposite of this value will be used.
The operation to perform.,The operation to perform.
Take a percentage of a given number.,Take a percentage of a given number.
All property owned {0}by {1},All property owned {0}by {1}
only,enkel
Property owned by this citizen.,Property owned by this citizen.
"Should only property that is solely owned by the specified citizen be considered? If not set, joint owned property will be chosen as well.","Should only property that is solely owned by the specified citizen be considered? If not set, joint owned property will be chosen as well."
All property owned by a citizen.,All property owned by a citizen.
"Separate from how many total terms a citizen can serve, this value defines how many terms a citizen can have consecutively.","Separate from how many total terms a citizen can serve, this value defines how many terms a citizen can have consecutively."
Plot,Perceel
if {0} then {1},if {0} then {1}
Executive Action by {0},Executive Action by {0}
Change owner of {0} to {1},Change owner of {0} to {1}
Executive action by {0},Executive action by {0}
the Executive Office,the Executive Office
Paying,Betalen
Collecting,Verzamelen
Ignore Auth,Ignore Auth
An action to take when a law is triggered.,An action to take when a law is triggered.
Prevents the triggering action from happening.,Prevents the triggering action from happening.
The player or group to tax.,The player or group to tax.
Give money to a given citizen or group.,Give money to a given citizen or group.
Ignore all authorization restrictions for the triggering action.,Ignore all authorization restrictions for the triggering action.
Change the owners of a set of property.,Change the owners of a set of property.
The owner to assign the property.  Leave blank to remove the owner and unclaim the property.,The owner to assign the property.  Leave blank to remove the owner and unclaim the property.
Change Property Owner,Change Property Owner
then,dan
or event,or event
Section {0},Section {0}
Values From {0},Values From {0}
Not {0},Niet {0}
Missing context {0},Missing context {0}
Citizens applied to: {0},Citizens applied to: {0}
Citizens not applied to: {0},Citizens not applied to: {0}
Executive Action,Executive Action
Results:,Resultaten:
met conditions,met conditions
did not meet conditions,did not meet conditions
No results,Geen resultaten
For each citizen matching conditions:,For each citizen matching conditions:
Perform the following:,Perform the following:
Applied Executive Action,Applied Executive Action
Not Applied Executive Action,Not Applied Executive Action
Perform an executive action on each citizen.,Perform an executive action on each citizen.
Should the way a citizen votes be hidden?,Should the way a citizen votes be hidden?
Starting replacement election for current office.,Starting replacement election for current office.
There's already an active election regarding {0}: {1},There's already an active election regarding {0}: {1}
{0} started for {1}!,{0} started for {1}!
{0} vetoed.,{0} vetoed.
Remove constitutional articles,Remove constitutional articles
Add new constitutional articles:,Add new constitutional articles:
"Specifies a change to the constituion. Allows adding, removing, and changing of civic articles.","Specifies a change to the constituion. Allows adding, removing, and changing of civic articles."
An optional existing article that is removed with this amendment.,An optional existing article that is removed with this amendment.
A new article that will be added to the constitution.,A new article that will be added to the constitution.
"Must set either a new constitutional article, or specify an article to be removed (or both).","Must set either a new constitutional article, or specify an article to be removed (or both)."
caused by {0},veroorzaakt door {0}
change {0},{0} veranderen
perform {0},{0} uitvoeren
Elected Titles,Elected Titles
Executive Actions,Executive Actions
Removed by {0}.,Removed by {0}.
To {0}:,Naar {0}:
{0} may do so immediately.,{0} may do so immediately.
Nobody,Niemand
failing,mislukt
This is a special {0} that cannot be changed.,This is a special {0} that cannot be changed.
{0} already owns {1}.,{0} already owns {1}.
{0} now owns {1}.,{0} now owns {1}.
"There is no existing citizen with username, steamid, or slgid '{0}'.","There is no existing citizen with username, steamid, or slgid '{0}'."
Ignored users list:,Ignored users list:
You are not a citizen on this server,You are not a citizen on this server
Disconnected from server,Disconnected from server
User was logged in from another client.,User was logged in from another client.
{0} in the World,{0} in the World
{0} required,{0} required
Labor,Werk
Tagged Items,Tagged Items
({0:username} {1:verb} by {2:bonus amount}),({0:username} {1:verb} door {2:bonus amount})
"[When carried, use right-click to place.]","[When carried, use right-click to place.]"
"[When carried, use hammer to construct, or right-click to stack.]","[When carried, use hammer to construct, or right-click to stack.]"
on table,op tafel
"Number of hours between executions of this action.  It's run immediately when installed, then at this interval.","Number of hours between executions of this action.  It's run immediately when installed, then at this interval."
Movement of items between inventories by a citizen.,Movement of items between inventories by a citizen.
Currency used.,Currency used.
Amount for payment.,Amount for payment.
The citizen who posted the work.,The citizen who posted the work.
Current percent completion of total work.,Current percent completion of total work.
A citizen offered a contract.,A citizen offered a contract.
A citizen accepted a contract.,A citizen accepted a contract.
A citizen failed a contract.,A citizen failed a contract.
A citizen completed a contract successfully.,A citizen completed a contract successfully.
A citizen started a work party.,A citizen started a work party.
A citizen joined a work party.,A citizen joined a work party.
A citizen left a work party.,A citizen left a work party.
A work party was completed.,A work party was completed.
A citizen performed work for a work party.,A citizen performed work for a work party.
Percent of work contributed.,Percent of work contributed.
Was it a loan or bond?,Was it a loan or bond?
A citizen offered a loan or bond.,A citizen offered a loan or bond.
A citizen accepted a loan or bond.,A citizen accepted a loan or bond.
A citizen repaid a loan or bond successfully.,A citizen repaid a loan or bond successfully.
A citizen failed to pay back a loan or bond by the due date.,A citizen failed to pay back a loan or bond by the due date.
A citizen either fit or ceased to fit the criteria for a demographic.,A citizen either fit or ceased to fit the criteria for a demographic.
The citizen who changed demographics.,The citizen who changed demographics.
"Did The citizen become part of the demographic, or stop being part?","Did The citizen become part of the demographic, or stop being part?"
A citizen claimed or unclaimed property.,A citizen claimed or unclaimed property.
The citizen who claimed or unclaimed the land.,The citizen who claimed or unclaimed the land.
A citizen paid tax.,Een burger betaalde belasting.
The citizen who paid.,The citizen who paid.
A citizen received allocated government money.,A citizen received allocated government money.
The citizen who was paid.,The citizen who was paid.
The citizen who performed the action.,The citizen who performed the action.
A citizen voted in an election.,A citizen voted in an election.
"If they voted for a citizen, this is that player.","If they voted for a citizen, this is that player."
A citizen started an election.,A citizen started an election.
A citizen entered or left an election as a candidate.,A citizen entered or left an election as a candidate.
Did the citizen enter or leave the election?,Did the citizen enter or leave the election?
A citizen won an election.,A citizen won an election.
A citizen lost an election.,A citizen lost an election.
A citizen took a new specialty.,A citizen took a new specialty.
A citizen took a specialty in a profession they don't have yet.,A citizen took a specialty in a profession they don't have yet.
A citizen leveled-up a specialty.,A citizen leveled-up a specialty.
"A citizen leveled-up their character, gaining a new specialty to choose.","A citizen leveled-up their character, gaining a new specialty to choose."
The citizen leveling up.,The citizen leveling up.
The citizen's new level.,The citizen's new level.
A citizen planted a plant.,Een burger plantte een plant.
The citizen planting the plant.,De burger die een plant plantte.
Was the plant or animal destroyed or damaged?,Was the plant or animal destroyed or damaged?
A citizen chopped a tree.,Een burger hakte een boom om.
A citizen chopped a stump.,A citizen chopped a stump.
The total number of items to be created.,The total number of items to be created.
The citizen who performed the interaction.,The citizen who performed the interaction.
The work order.,The work order.
A citizen added to a work order.,A citizen added to a work order.
The ingredient being added.,The ingredient being added.
The number of that item added.,The number of that item added.
A work order was created.,A work order was created.
The item being crafted.,The item being crafted.
The type of the block.,The type of the block.
A citizen posted a chat message.,A citizen posted a chat message.
A citizen remained logged in for a moment.,A citizen remained logged in for a moment.
A citizen logged in for the first time.,A citizen logged in for the first time.
The object doing the polluting.,The object doing the polluting.
A citizen dropped garbage.,A citizen dropped garbage.
The citizen who dropped the garbage.,The citizen who dropped the garbage.
"Time until the next trigger, represented in hours.","Time until the next trigger, represented in hours."
Contract,Contract
Finance,Financiën
System,Systeem
An action that can happen in Eco.,An action that can happen in Eco.
The tool used in the interaction.,The tool used in the interaction.
Click to view Ecopedia page.,Click to view Ecopedia page.
Sales tax,Sales tax
Crafting fee tax,Crafting fee tax
Contract tax,Contract tax
Public direct Transfer tax,Public direct Transfer tax
Own direct Transfer tax,Own direct Transfer tax
Tax rates changed\n {0},Tax rates changed\n {0}
{0} does not have access to {1}.,{0} does not have access to {1}.
Storage Container,Storage Container
Perform Action,Perform Action
You can't afford to buy this deed for {0}.  {1} only has {2},You can't afford to buy this deed for {0}.  {1} only has {2}
Could not cancel this project: {0}. Remaining project cancelled.,Could not cancel this project: {0}. Remaining project cancelled.
Completed projects cannot be cancelled.,Completed projects cannot be cancelled.
Crafting Table,Crafting Table
{0} is active.,{0} is active.
It can be overthrown if another constitution is created in a building exceeding this one by {0}%. Current building value: {1},It can be overthrown if another constitution is created in a building exceeding this one by {0}%. Current building value: {1}
{0} is {1} currently active.,{0} is {1} currently active.
"There is currently another active constitution election {0}, and no others may be started until it's complete.","There is currently another active constitution election {0}, and no others may be started until it's complete."
"The value of this constitution's room ({0}) does not exceed the active constitution's room ({1} for {2}) by more than {3}% ({4} total), so it can not be ratified.","The value of this constitution's room ({0}) does not exceed the active constitution's room ({1} for {2}) by more than {3}% ({4} total), so it can not be ratified."
"The value of this constitution's room ({0}) exceeds the active constitution's room ({1} for {2}) by more than {3}%, so it can be ratified at anytime, overthrowing the previous government.","The value of this constitution's room ({0}) exceeds the active constitution's room ({1} for {2}) by more than {3}%, so it can be ratified at anytime, overthrowing the previous government."
"{0} is disabled, can't ratify.","{0} is disabled, can't ratify."
Can't ratify. {0}{1},Can't ratify. {0}{1}
"There is no active constitution, so this one can be ratified at anytime.","There is no active constitution, so this one can be ratified at anytime."
Ratify {0},{0} ratificeren
"Are you sure you want to remove this draft, {0}?","Are you sure you want to remove this draft, {0}?"
Are you sure you want to remove {0} immediately?,Are you sure you want to remove {0} immediately?
You can only remove this via an election. Would you like to start that election to remove {0} now?,You can only remove this via an election. Would you like to start that election to remove {0} now?
Legally allowed to pollute.,Legally allowed to pollute.
Legally prevented from polluting. Turn on to retry.,Legally prevented from polluting. Turn on to retry.
The 'Abandoned Players' demographic will check this many past days for hours played by the user,The 'Abandoned Players' demographic will check this many past days for hours played by the user
Can laws prevent someone from logging in or playing?  Enable with caution: users can create a law that blocks everyone from logging in if this is enabled.,Can laws prevent someone from logging in or playing?  Enable with caution: users can create a law that blocks everyone from logging in if this is enabled.
Details of {0} '{1}',Details of {0} '{1}'
Add {0} as a new {1},Add {0} as a new {1}
Change {0} '{1}' to '{2}',Change {0} '{1}' to '{2}'
Changes between old ({0}) and new ({1},Changes between old ({0}) and new ({1}
Current {0} ({1}):,Current {0} ({1}):
Proposed {0} ({1}):,Proposed {0} ({1}):
{0} began: Should {1} be changed to {2}?.,{0} began: Should {1} be changed to {2}?.
{0} began: Should {1} be removed?.,{0} began: Should {1} be removed?.
No object provided,No object provided
Cliffs,Kliffen
Wrong number of arguments for command: {0},Wrong number of arguments for command: {0}
Wrong argument type for command: {0},Wrong argument type for command: {0}
Invalid number of arguments for command: {0},Invalid number of arguments for command: {0}
Invalid block type for command: {0},Invalid block type for command: {0}
Unknown command: {0},Unknown command: {0}
Import string can't be empty.,Import string can't be empty.
Command can't be empty.,Command can't be empty.
Import finished successfully.,Import finished successfully.
Initializing registrars for {0},Initializing registrars for {0}
Else If,Else If
Owned by {0}.,Owned by {0}.
Select a target to transfer ownership to.,Select a target to transfer ownership to.
Enter a Number,Enter a Number
Manual Value,Manual Value
Impact in: ,Impact in: 
Failed to parse table rich text: {0},Failed to parse table rich text: {0}
Create a copy of this world?,Create a copy of this world?
Enter a name for this world:,Enter a name for this world:
Please choose another name for this world.,Please choose another name for this world.
Hollow,Hol
Drilling...,Drilling...
Finished!,Klaar!
{0} plots. {1} sq m.,{0} plots. {1} sq m.
Labor Complete,Labor Complete
"You don't have {0}, so someone else will need to perform the labor on this work order. Do you still want to start it?","You don't have {0}, so someone else will need to perform the labor on this work order. Do you still want to start it?"
object,object
In Election{0}{1},In Election{0}{1}
Active {0},Actief {0}
Draft {0},Draft {0}
Revise {0},Revise {0}
Place block,Plaats Blok
Place starting block,Place starting block
Place ending floor block,Place ending floor block
"Place height, {0} blocks","Place height, {0} blocks"
Can't place here,Can't place here
Steam initialization failed with message: {0}\nIt may be related to one of problems described here: https://partner.steamgames.com/doc/sdk/api#initialization_and_shutdown\nYou can also may try to close all other Steam apps and restart client\nor login with SLG account.,Steam initialization failed with message: {0}\nIt may be related to one of problems described here: https://partner.steamgames.com/doc/sdk/api#initialization_and_shutdown\nYou can also may try to close all other Steam apps and restart client\nor login with SLG account.
You are trying to use Family Sharing. This is not supported.,You are trying to use Family Sharing. This is not supported.
Nothing found,Niets gevonden
Level of Details,Level of Details
"Level of Details determines how good environment (like grass, leaves, etc.) look in game and how far it visible. Also affects small animals.\n\nPerformance impact: Average","Level of Details determines how good environment (like grass, leaves, etc.) look in game and how far it visible. Also affects small animals.\n\nPerformance impact: Average"
Window Name,Window Name
Autocraft,Autocraft
Transfer Funds,Transfer Funds
Add marker,Add marker
Adds world marker to this block on your minimap so you will never miss your finds.,Adds world marker to this block on your minimap so you will never miss your finds.
Instead it...,Instead it...
"Yes, and yes...","Ja, en ja..."
It should have...,It should have...
Search text...,Search text...
Fine red stone,Fijne rode steen
Show undiscovered,Show undiscovered
Look at block description,Look at block description
Eraser,Gum
Filter,Filter
max\n,max\n
Reset ecopedia viewed pages,Reset ecopedia viewed pages
Audio,Audio
Your Civic Duties,Your Civic Duties
Contained Districts,Contained Districts
Current claimed: ,Current claimed: 
Camera Mode,Camera Mode
(Right click to select plots),(Right click to select plots)
Choose size,Kies grootte
Available:,Beschikbaar:
Group,Groep
Set notifications that will be displayed,Set notifications that will be displayed
Sale Price,Sale Price
Buy Price,Buy Price
Number Wanted,Number Wanted
Number Available,Number Available
Prospecting,Prospecting
PEDIA,PEDIA
Cancel\n,Cancel\n
New District,Nieuw District
Advanced Crafting,Advanced Crafting
Allows you to manually choose a specific recipe variation.,Allows you to manually choose a specific recipe variation.
Form,Vorm
Fill Type,Fill Type
Material,Materiaal
Notifications,Notificaties
District maps,District maps
Delete all,Verwijder Alles
Width,Breedte
None​,Geen​
alert,alert
Sends an alert to everybody,Sends an alert to everybody
clearobjective,clearobjective
Clears a user's objective,Clears a user's objective
dumpall,dumpall
Change In Item Count,Change In Item Count
Vote Type,Vote Type
Constructed Or Deconstructed,Constructed Or Deconstructed
Dropped Or Picked Up,Dropped Or Picked Up
Block Form,Block Form
If Then Block,If Then Block
Message,Bericht
Notification Type,Notification Type
People To Send To,People To Send To
Value To Display,Value To Display
Stat Name,Stat Name
Person,Persoon
Count,Aantal
Level up a citizen by one.  Default levels you up.,Level up a citizen by one.  Default levels you up.
Loose Rubble,Los puin
Not Loose Rubble,Not Loose Rubble
Constructed,Gebouwd
Deconstructed,Deconstructed
Dropped,Dropped
Picked Up,Opgeraapt
Basic Notification,Basic Notification
Side Bar Message,Side Bar Message
On Screen Notice,On Screen Notice
First Vote In Election,First Vote In Election
Changed Previous Vote,Changed Previous Vote
Full Access,Volledige toegang
Consumer Access,Consumer Access
RPCLogger,RPCLogger
Excavation,Opgraving
Harvester,Oogster
Planter,Planter
{0} comment from {1}: {2},{0} comment from {1}: {2}
{0} ({1:N2} seconds) ({2}),{0} ({1:N2} seconds) ({2})
Message is empty,Bericht is leeg
Objective for {0} cleared,Objective for {0} cleared
Not authorized to add items there.,Not authorized to add items there.
Not authorized to remove items there.,Not authorized to remove items there.
"This is a government account, and is thus not counted for wealth calculations and taxes are not collected from it.","This is a government account, and is thus not counted for wealth calculations and taxes are not collected from it."
Your percent ownership of this account for wealth calculation purposes: {0},Your percent ownership of this account for wealth calculation purposes: {0}
Government Banking Privileges,Government Banking Privileges
"(Only account managers are counted in percent ownership, unless there are no managers).","(Only account managers are counted in percent ownership, unless there are no managers)."
"Government accounts can receive and pay out tax funds, and are ignored when collecting tax and calculating personal wealth.  To set this, you must have government banking privileges, assigned by an Elected Title.","Government accounts can receive and pay out tax funds, and are ignored when collecting tax and calculating personal wealth.  To set this, you must have government banking privileges, assigned by an Elected Title."
Not enough {0} in {1},Not enough {0} in {1}
in the last {0},in de laatste {0}
Record custom stat {0},Record custom stat {0}
for user {0},voor gebruiker {0}
Stat name must be set.,Stat name must be set.
"Stat name '{0}' not allowed, may not contain spaces.","Stat name '{0}' not allowed, may not contain spaces."
"Stat name '{0}' not allowed, may only contain letters and numbers.","Stat name '{0}' not allowed, may only contain letters and numbers."
Count how many times a custom stat has occurred.,Count how many times a custom stat has occurred.
Record a custom stat of your choosing.,Record a custom stat of your choosing.
Person to associate with this recording of the stat (optional),Person to associate with this recording of the stat (optional)
"Count associated with this event (optional, defaults to 1).","Count associated with this event (optional, defaults to 1)."
property plots,property plots
property plots (including government-owned),property plots (including government-owned)
owned by {0},owned by {0}
plot,perceel
(ignoring ownership percent),(ignoring ownership percent)
owned by anyone,owned by anyone
anyone,iedereen
How many property plots a person owns or is a manager of. Multiple owners yields a pro-rated ownership amount.,How many property plots a person owns or is a manager of. Multiple owners yields a pro-rated ownership amount.
The person whose property is being checked. Leave blank to count property owned by anyone.,The person whose property is being checked. Leave blank to count property owned by anyone.
Districts to check with property.  Leave empty to ignore districts.,Districts to check with property.  Leave empty to ignore districts.
Ignores property owned by demographics or elected titles.,Ignores property owned by demographics or elected titles.
"If multiple people own a property (titles), this will weight ownership evenly among them.","If multiple people own a property (titles), this will weight ownership evenly among them."
How much currency a citizen has in all the bank accounts they manage (pro-rated when there are multiple managers). Ignores Government Accounts.,How much currency a citizen has in all the bank accounts they manage (pro-rated when there are multiple managers). Ignores Government Accounts.
Basic math operations.,Basic math operations.
Can holders of this position use the treasury bank account?,Can holders of this position use the treasury bank account?
{0} {1} block {2} failed: {3},{0} {1} block {2} failed: {3}
Send a {0} '{1}' to {2},Send a {0} '{1}' to {2}
if,als
else if,else if
else,anders
unowned,niet in bezit
Message from {0} via executive action:,Message from {0} via executive action:
Message from {0}:,Bericht van {0}:
"Take money from a given citizen or group, applies to all accounts they manage (except government account).","Take money from a given citizen or group, applies to all accounts they manage (except government account)."
Send a custom notice to a set of people.,Send a custom notice to a set of people.
The text to send.,De tekst om te verzenden.
The people to send to.,The people to send to.
An optional custom value to display at the end of the notice.,An optional custom value to display at the end of the notice.
The tests made to apply this effect.,The tests made to apply this effect.
The results if the conditions for this block are met.,The results if the conditions for this block are met.
{0} {1} trigger failed: {2},{0} {1} trigger failed: {2}
{0} {1} trigger passed: {2},{0} {1} trigger passed: {2}
{0} {1} executed: {2},{0} {1} executed: {2}
On event,On event
{0} timer,{0} timer
person,persoon
people,mensen
Requires {0} calories of{1} labor,Requires {0} calories of{1} labor
Requires{0},Vereist{0}
every {0},elke {0}
on {0},op {0}
on each person in {0},on each person in {0}
"Movement of items between inventories by a citizen.  When moving between inventories, two actions are triggered.","Movement of items between inventories by a citizen.  When moving between inventories, two actions are triggered."
