"STRINGID","Context","English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"DEFAULT","","No election is running.","","Il n'y a pas d'élection en cours.","No se está llevando a cabo ninguna elección.","Es läuft aktuell keine Wahl.","선거 중이 아닙니다.","Nenhuma eleição está em andamento.","没有推选在进行。","В данный момент выборы не проводятся.","Nessun'elezione in corso.","No election is running.","Éppen nincsen szavazás.","投票は現在行われていません","Ingen valg pågår.","Brak aktualnych wyborów.","Er is geen verkiezing gaande.","Nu există alegeri.","Ingen valgafstemning er i gang.","Neprobíhají žádné volby.","Inget val pågår.","Вибори не проводяться.","Δεν υπάρχουν ενεργές εκλογές.","No election is running.","No election is running.","Devam eden seçim bulunmuyor."
"DEFAULT","","Vote contains an incorrect candidate name.","","Le vote contient un nom incorrect de candidat.","Voto contiene un nombre incorrecto de candidato.","Abstimmung enthält einen falschen Kandidatennamen.","해당 투표는 정확하지 않은 후보자의 이름을 포함하고 있습니다.","O voto contém um nome de candidato incorreto.","投票含有一个不正确的候选人名字。","Голосование содержит неверное имя кандидата.","Il voto contiene un nome del candidato errato.","Vote contains an incorrect candidate name.","Szavazás egy helytelen jelölt nevét tartalmazza.","投票に間違った候補者名が含まれています。","Stemmen inneholder et kandidatnavn som er feil.","Głos zawiera nieprawidłową nazwę kandydata.","Je stem bevat een onjuiste kandidaat.","Votul conține un nume de candidat incorect.","Stemmen indeholder et ukorrekt kandidatnavn.","Hlas obsahuje nesprávné jméno kandidáta.","Rösten innehåller ett felaktigt kandidatnamn.","Відданий голос містить неправильне ім’я кандидата.","Ψηφοφορία περιέχει έναν εσφαλμένο υποψήφιο.","Vote contains an incorrect candidate name.","Vote contains an incorrect candidate name.","Oy geçersiz bir isim barındırıyor."
"DEFAULT","","{0:player} voted for {1:candidate}.","","{0:player} a voté pour {1:candidate}.","{0:player} votó por {1:candidate}.","{0:player} hat für {1:candidate} abgestimmt.","{0:player}이(가) {1:candidate} 후보자에게 투표하였습니다.","{0:player} votou para {1:candidate}.","{0:player} 投票给 {1:candidate}。","{0:player} голосует за {1:candidate}.","{0:player} ha votato per {1:candidate}.","{0:player} voted for {1:candidate}.","{0:player} {1:candidate} szavazott.","{0:player} が {1:candidate}に投票しました。","{0:player} stemte på {1:candidate}.","{0:player} głosował na {1:candidate}.","{0:player} heeft gestemd voor {1:candidate}.","{0:player} a votat pentru {1:candidate}.","{0:player} stemte på {1:candidate}.","{0:player} hlasoval pro {1:candidate}.","{0:player} röstade på {1:candidate}.","{0:player} голосує за {1:candidate}.","ψήφισαν {0:player} για {1:candidate}.","{0:player} voted for {1:candidate}.","{0:player} voted for {1:candidate}.","{0:player} kişisi, oyunu {1:candidate} kişisine verdi."
"DEFAULT","","{0:player} changed their vote from {1:candidate} to {2:candidate}.","","{0:player} a changé son vote pour {1:candidate} au lieu de {2:candidate}.","{0:player} cambió su voto de {1:candidate} por {2:candidate}.","{0:player} wechselte seine Stimme von {1:candidate} zu {2:candidate}.","{0:player}이(가) {1:candidate} 후보자에게 투표 한 것을 {2:candidate} 후보자로 바꿨습니다.","{0:player} mudou seu voto de {1:candidate} para {2:candidate}.","{0:player} 将他们的投票从 {1:candidate} 转移给 {2:candidate}。","{0:player} меняет свой выбор в голосовании с {1:candidate} на {2:candidate}.","{0:player} ha cambiato il proprio voto da {1:candidate} a {2:candidate}.","{0:player} changed their vote from {1:candidate} to {2:candidate}.","{0:player} changed their vote from {1:candidate} to {2:candidate}.","{0:player} は投票先を {1:candidate} から{2:candidate} に変更しました。","{0:player} endret sin stemme fra {1:candidate} til {2:candidate}.","{0:player} zmienił swój głos z {1:candidate} na {2:candidate}.","{0:player} heeft zijn stem veranderd van {1:candidate} naar {2:candidate}.","{0:player} și-a schimbat votul din {1:candidate} la {2:candidate}.","{0:player} ændrede deres stemme fra {1:candidate} til {2:candidate}.","{0:player} změnil svůj hlas z {1:candidate} na {2:candidate}.","{0:player} ändrade sin röst från {1:candidate} till {2:candidate}.","{0:player} змінює відданий голос із {1:candidate} на {2:candidate}.","{0:player} άλλαξαν την ψήφο τους από {1:candidate} σε {2:candidate}.","{0:player} changed their vote from {1:candidate} to {2:candidate}.","{0:player} changed their vote from {1:candidate} to {2:candidate}.","{0:player} kişisi oyunu {1:candidate} kişisinden {2:candidate} kişisine değiştirdi."
"DEFAULT","","{0} set the world objective: {1}","","{0} à défini l’objectif mondial : {1}","{0} estableció el objetivo del mundo: {1}","{0} hat dieses Weltziel gesetzt: {1}","{0}이(가) 세계 목표를 설정하였습니다: {1}","{0} definiu o objetivo do mundo como: {1}","{0} 设定世界目标：{1}","{0} объявляет о глобальной цели: {1}","{0} ha stabilito l'obiettivo mondiale: {1}","{0} set the world objective: {1}","{0} kitűzte a világ célját: {1}","{0} は、ワールドの目標を設定: {1}","{0} sett verdensmålet: {1}","{0} ustanowił Światowy Cel: {1}","{0} heeft de doelstelling van de wereld veranderd naar: {1}","{0} stabilirea obiectivului mondial: {1}","{0} satte verdensmålet: {1}","{0} nastavil cíl světa: {1}","{0} satte världsmålet: {1}","{0} встановлює глобальну ціль: {1}","Ο παίκτης {0}, έθεσε ως στόχο του κόσμου: {1}","{0} set the world objective: {1}","{0} set the world objective: {1}","{0} dünya amacını belirledi: {1}"
"DEFAULT","","You have received {0:property claims} to use/give as you see fit.","","Vous avez reçu {0:property claims} à utiliser/donner comme bon vous semble.","Has recibido {0:property claims} para utilizar/dar como te parezca.","Du hast {0:property claims} erhalten. Nutze sie, wie du willst.","당신은 {0:property claims}을(를) 받았으며 상황에 맞게 쓰거나 줄 수 있습니다.","Você recebeu {0:property claims} para usar/dar como achar melhor.","你已经收到 {0:property claims} 供你在适当时使用/转让。","Вы получили {0:property claims}. Используйте, как посчитаете нужным. Можно отдавать другим.","Hai ricevuto {0:property claims} da usare/dare come preferisci.","You have received {0:property claims} to use/give as you see fit.","You have received {0:property claims} to use/give as you see fit.","あなたは {0:property claims}を受け取りました。","Du har mottatt {0:property claims} til å bruke/gi bort som du selv vil.","Otrzymujesz {0:property claims}. Możesz ich użyć lub komuś oddać.","Je hebt {0:property claims} ontvangen! Gebruik ze hoe je wilt.","Le-ai primit {0:property claims} a folosi/a da după cum considerați de cuviință.","Du har modtaget {0:property claims} til at bruge/uddele som du ønsker.","Obdrželi jste {0:property claims} k použítí/darování jak budete chtít.","Du har mottagit {0:property claims} att använda eller ge bort som du själv vill.","Ви отримали {0:property claims}. Розпоряджайтеся на власний розсуд.","Έχεις ανταμειφθεί με {0:property claims} για να χρησιμοποιήσεις/δώσεις όπως κρίνεις καλύτερα.","You have received {0:property claims} to use/give as you see fit.","You have received {0:property claims} to use/give as you see fit.","{0:property claims} elde ettin, ister kullan ister birine ver."
"DEFAULT","","You can now set the tax rates at a {0:treasury}.","","Vous pouvez maintenant définir les taux d’imposition à un {0:treasury}.","Ahora puede fijar las tasas de impuesto en {0:treasury}.","Du kannst die Steuersätze bei einer {0:treasury} festlegen.","이제 {0:treasury}에서 세율을 정하실 수 있습니다.","Agora você pode definir as taxas de imposto em uma {0:treasury}.","你现在能够在 {0:treasury} 设置税率。","Теперь используя {0:treasury} вы можете установить налоги.","Puoi ora impostare le aliquote fiscali a una {0:treasury}.","You can now set the tax rates at a {0:treasury}.","You can now set the tax rates at a {0:treasury}.","税率を {0:treasury} で設定できるようになりました。","Du kan nå sette skattesatsene ved en {0:treasury}.","Możesz teraz ustawić wysokość podatku w {0:treasury}.","Je kunt nu de belasting aanpassen in: {0:treasury}.","Cum puteți seta cote de impozitare la o {0:treasury}.","Du kan nu angive skattesatserne igennem et {0:treasury}.","Nyní můžeš nastavit daňové sazby v {0:treasury}.","Du kan nu ange skattesats vid {0:treasury}.","{0:treasury} дозволяє встановлювати розмір податків.","Μπορείς τώρα να ορίσεις το ύψος των φόρων στο {0:treasury}.","You can now set the tax rates at a {0:treasury}.","You can now set the tax rates at a {0:treasury}.","Artık vergi oranlarını {0:treasury} olacak şekilde ayarlayabilirsin."
"DEFAULT","","Attempted to elect '{0}' as the world leader, but this user could not be found. There is now no world leader","","Tentative d'élection de ""{0}"" en tant que dirigeant mondial, mais cet utilisateur est introuvable. Il n'y a maintenant aucun maire","Intentó elegir a '{0}' como líder mundial, pero este usuario no pudo ser encontrado. Ahora no hay ningún líder mundial","Es wurde versucht ""{0}"", zum Anführer zu ernennen, aber der Spieler konnte nicht gefunden werden. Deswegen gibt es nun keinen Anführer","'{0}'을(를) 세계 지도자로 선출하려 했으나, 이 유저를 찾을 수가 없습니다. 세게 지도자는 공석입니다.","Tentou eleger '{0}' como o Líder do Mundo, mas este usuário não foi encontrado. Agora não há nenhum líder do mundo","尝试推选 '{0}' 为世界领导者，但无法找到该用户，现在没有世界领导者","Попытка избрать «{0}» мировым лидером не удалась, пользователь не найден. Сейчас нет мирового лидера","Si è tentato di eleggere '{0}' come leader mondiale, ma non è stato possibile trovare quest'utente. Ora non esiste alcun leader mondiale","Attempted to elect '{0}' as the world leader, but this user could not be found. There is now no world leader","Attempted to elect '{0}' as the world leader, but this user could not be found. There is now no world leader","'{0}' をワールドリーダーとして選出しようとしましたが、このユーザーは見つかりませんでした。 現在ワールドリーダーはいません","Forsøkte å velge '{0}' som verdensleder, men fant ikke denne brukeren. Det er nå ingen verdensleder","Próbowano wybrać {0} na Światowego Lidera ale taki gracz nie istnieje. Nadal brak Lidera","Poging om '{0}' te nomineren als wereld leider, speler niet gevonden. Er is op dit moment geen wereld leider","Încercat să aleagă '{0}' ca lider mondial, dar acest utilizator nu a putut fi găsit. Nu există acum un lider mondial","Forsøgte at vælge '{0}' som verdensleder, men denne bruger kunne ikke findes. Der er nu ingen verdensleder","Pokus o zvolení '{0}' za světového vůdce selhal, hráč nebyl nalezen. Nyní není žádný světový vůdce","Försökte välja '{0}' som världsledare, men denna användare kunde inte hittas. Det finns nu ingen världsledare","Спроба обрати «{0}» світовим лідером не вдалася, оскільки цього користувача не знайдено. Наразі немає світового лідера","Έγινε προσπάθεια να εκλεχθεί ο '{0}' σαν ηγέτης του κόσμου, αλλά ο χρήστης δεν μπόρεσε να βρεθεί. Τώρα δεν υπάρχει κάποιος ηγέτης κόσμου","Attempted to elect '{0}' as the world leader, but this user could not be found. There is now no world leader","Attempted to elect '{0}' as the world leader, but this user could not be found. There is now no world leader","Dünya lideri olarak '{0}' kişisinin seçilmesi denendi ancak kullanıcı bulunamadı. Şu an için bir dünya lideri bulunmamakta"
"DEFAULT","","Not enough money in the treasury to distribute {0:amount}.","","Pas assez d'argent dans le Trésor public pour distribuer {0:amount}.","No hay suficiente dinero en la tesorería para distribuir {0:amount}.","Nicht genug Geld in der Staatskasse, um {0:amount} zu verteilen.","금고에 자금이 충분치 않아서 {0:amount}만큼 배분할 수가 없습니다.","Não há dinheiro suficiente no tesouro para distribuir {0:amount}.","金库中没有足够的资金来分发 {0:amount}。","В казне не хватает денег для распределения {0:amount}.","Non abbastanza denaro nella tesoreria per distribuire {0:amount}.","Not enough money in the treasury to distribute {0:amount}.","Not enough money in the treasury to distribute {0:amount}.","{0:amount} を配布するだけの通貨が国庫にありません。","Ikke nok penger i statskassen til å distribuere {0:amount}.","Nie ma wystarczająco dużo pieniędzy w skarbcu do dystrybucji {0:amount}.","Niet genoeg geld in de schatkist om te verdelen {0:amount}.","Nu sunt destui bani în trezorerie pentru a distribui {0:amount}.","Ikke nok penge i statskassen til at distribuere {0:amount}.","Není k dispozici dostatek peněz v pokladně k distribuci {0:amount}.","Inte tillräckligt med pengar i statskassan för att distribuera {0:amount}.","Недостатньо коштів у скарбниці для розподілу {0:amount}.","Δεν υπάρχουν αρκετά χρήματα στο θησαυροφυλάκιο για να διανεμηθούν {0:amount}.","Not enough money in the treasury to distribute {0:amount}.","Not enough money in the treasury to distribute {0:amount}.","Hazinede {0:amount} miktarını dağıtacak kadar para bulunmuyor."
"DEFAULT","","You must enter an allocation reason.","","Vous devez indiquer une raison d’attribution.","Debe introducir un motivo de asignación.","Du musst einen passenden Grund eingeben.","배정하는 이유를 입력하셔야 합니다.","Você deve inserir um motivo de alocação.","你必须填写一个分配理由。","Вы должны указать причину для распределения денег.","Devi inserire un motivo di allocazione.","You must enter an allocation reason.","You must enter an allocation reason.","配布する理由を入力する必要があります。","Du må skrive inn en allokeringsgrunn.","Musisz wprowadzić powód alokacji.","U moet een reden toewijzen.","Trebuie să introduceți un motiv de alocare.","Du skal skrive en begrundelse til allokeringen.","Musíte vložit důvod k přidělení.","Du måste ange en tilldelningsorsak.","Ви повинні ввести причини для розподілу.","Πρέπει να εισάγεις έναν λόγο κατανομής.","You must enter an allocation reason.","You must enter an allocation reason.","Bir tahsisat nedeni girmelisin."
"DEFAULT","","A law with this title already exists","","Une loi portant ce titre existe déjà","Ya existe una ley con este título","Ein Gesetz mit diesem Namen existiert bereits","이 제목을 가진 법률이 중복으로 존재합니다.","Uma lei com este título já existe","已存在一条该标题的章程","Закон с таким названием уже существует","Una legge con questo titolo esiste già","A law with this title already exists","A law with this title already exists","この法律名は既に存在します","Det finnes allerede en lov med dette navnet","Ustawa o tej nazwie już istnieje","Er bestaat al een wet met deze titel","O lege cu acest titlu există deja","En lov med denne titel findes allerede","Zákon s tímto názvem již existuje","Det finns redan en lag med detta namn","Закон із такою назвою вже є","Ένας νόμος με αυτόν τον τίτλο υπάρχει ήδη","A law with this title already exists","A law with this title already exists","Aynı başlıkla bir kanun zaten var"
"DEFAULT","","This law does not exist.","","Cette loi n’existe pas.","Esta ley no existe.","Dieses Gesetz existiert nicht.","이 법은 존재하지 않습니다.","Está lei não existe.","该章程不存在。","Такого закона не существует.","Questa legge non esiste.","Esta lei não existe.","Ez a törvény nem létezik.","この法律は存在していません．","Denne loven finnes ikke.","Ta Ustawa nie istnieje.","Deze wet bestaat niet.","Această lege nu există.","Denne lov findes ikke.","Tento zákon neexistuje.","Denna lag finns inte.","Цей закон не існує.","Αυτός ο νόμος δεν υπάρχει.","This law does not exist.","This law does not exist.","Kanun bulunmuyor."
"DEFAULT","","{0} is not authorized to remove this law","","{0} n’est pas autorisé(e) à supprimer cette loi","{0} no está autorizado para eliminar esta ley","{0} ist nicht berechtigt, dieses Gesetz zu entfernen","{0}은(는) 이 법을 제거할 권한이 없습니다.","{0} não está autorizado a remover esta lei","{0} 无权移除该章程","{0} не имеет права удалять этот закон","{0} non è autorizzato a rimuovere questa legge","{0} não está autorizado a remover esta lei","{0} nem rendelkezik engedéllyel, hogy törölje ezt a törvényt","{0} はこの法律を削除する権限がありません","{0} er ikke autorisert til å fjerne denne loven","{0} nie ma uprawnień do usunięcia tej Ustawy","{0} heeft geen permissie om deze wet te verwijderen","{0} nu este autorizat să înlăture această lege","{0} er ikke berettiget til at fjerne denne lov","{0} není oprávněn odebrat tento zákon","{0} har inte behörighet att ta bort denna lag","{0} не має дозволу усувати цей закон","Ο παίκτης {0} δεν είναι εξουσιοδοτημένος για να αφαιρέσει αυτό το νόμο","{0} is not authorized to remove this law","{0} is not authorized to remove this law","Bu kanunu kaldırmak için {0} kişisi yetkiye sahip değil"
"DEFAULT","","Law Repealed: {0}","","Loi abrogée : {0}","Ley derogada: {0}","Das Gesetz {0} wurde aufgehoben","법률 폐지: {0}","Lei Revogada: {0}","章程已被废除：{0}","Отменено действие закона: {0}","Legge Abrogata: {0}","Lei Revogada: {0}","Törvény hatályon kívül helyezte: {0}","法律が廃止されました: {0}","Lov Opphevet: {0}","Zniesiona Ustawa: {0}","Wet ingetrokken: {0}","Legea abrogată: {0}","Lov ophævet: {0}","Zákon Zrušen: {0}","Lagen upphävdes: {0}","Закон відкликано: {0}","Κατάργηση Νόμου: {0}","Law Repealed: {0}","Law Repealed: {0}","Kanun Yürürlükten Kaldırıldı: {0}"
"DEFAULT","","Only users marked developer or admin can clear laws.","","Seuls les utilisateurs déclarés en tant que développeur ou administrateur peuvent effacer les lois.","Sólo los usuarios marcados como desarrolladores o administradores pueden eliminar las leyes.","Nur ""Entwickler"" oder ""Admins"" können Gesetze löschen.","개발자 또는 관리자만 법률을 초기화 할 수 있습니다.","Apenas usuários marcados como desenvolvedor ou administrador podem remover as leis.","只有标记为开发者或管理员的用户才能清除章程。","Только администраторы и разработчики могут удалять законы.","Solo gli utenti segnati come sviluppatore o admin possono cancellare le leggi.","Only users marked developer or admin can clear laws.","Csak az adminisztrátorok és a fejlesztők törölhetnek törvényeket.","開発者または管理者として指定されたユーザーのみが法律を削除できます。","Kun brukere markert som utvikler eller administrator kan fjerne lover.","Tylko developerzy albo administratorzy mogą usuwać Ustawy.","Alleen gebruikers gemarkeerd als ontwikkelaar of admin kunnen wetten wissen.","Doar utilizatorii marcați dezvoltator sau administrator pot șterge legile.","Kun brugere markeret som ""udvikler"" eller ""admin"" kan fjerne love.","Pouze uživatelé označení jako vývojáři nebo administřátoři mohou smazat zákony.","Endast användare märkt utvecklare eller admin kan rensa lagar.","Лише адміністратори і розробники можуть видаляти закони.","Μόνοι οι χρήστες που έχουν χαρακτηριστεί ως developer ή Διαχειριστές μπορούν να καθαρίσουν νόμους.","Only users marked developer or admin can clear laws.","Only users marked developer or admin can clear laws.","Yalnızca yapımcı yahut yönetici işaretli kullanıcılar kanunları kaldırabilir."
"DEFAULT","","There is a drop down with nothing selected","","Il y a une liste déroulante où rien n'a été sélectionné","Hay un desplegable sin nada seleccionado","In einem Dropdown-Menü wurde nichts ausgewählt","드롭다운에 선택되지 않은 항목이 있습니다.","Há um menu suspenso com nada selecionado","有一个下拉选项未选择","Ничего не выбрано в прокручиваемом списке","Esiste un menu a tendina con nessuna selezione","There is a drop down with nothing selected","There is a drop down with nothing selected","選択されていないドロップダウンがあります","Det er en nedtrekksmeny med ingenting valgt","Jest rozwijane menu, w którym nic nie jest zaznaczone","Er is een keuzelijst waar niets is geselecteerd","Există un drop down cu nimic selectat","Der er en dropdown-liste med intet valg","Snažíš se upustit/položit věc ale nemáš nic vybráno","Det är ett drop ner utan något valt","Нічого не обрано в розкривному списку","Υπάρχει μία πτώση χωρίς να έχει επιλεχθεί τίποτα","There is a drop down with nothing selected","There is a drop down with nothing selected","Hiçbir şey seçili olmayan bir açılır liste var"
"DEFAULT","","The selected drop down option '{0}' is no longer valid","","L’option sélectionnée ""{0}"" de la liste déroulante n’est plus valide","La opción desplegable seleccionada '{0}' ya no es válida","Die ausgewählte Dropdownoption '{0}' ist nicht mehr gültig","선택된 드롭다운에 '{0}' 옵션이 더 이상 유효하지 않습니다.","A opção suspensa selecionada '{0}' não é mais válida","选定的下拉选项 '{0}' 不再有效","Выбранная в списке опция '{0}' больше не подходит","L'opzione a tendina '{0}' selezionata non è più valida","The selected drop down option '{0}' is no longer valid","The selected drop down option '{0}' is no longer valid","選択されたドロップダウンオプション '{0}' は無効です","Den valgte nedtrekksmeny alternativet '{0}' er ikke lenger gyldig","Wybrana opcja ""{0}"" w rozwijanym menu nie jest już poprawna","De geselecteerde keuzelijst '{0}' is niet meer geldig","Opțiunea derulantă selectată '{0}' nu mai este valabil","Den valgte dropdown-mulighed '{0}' er ikke længere gyldig","Vybrané množství {0} k upuštění/položení již není platné","I have no idea","Обрана у випадному списку опція «{0}» більше не дійсна","Η επιλεγμένη ενέργεια πτώσης '{0}' δεν είναι πλέον έγκυρη","The selected drop down option '{0}' is no longer valid","The selected drop down option '{0}' is no longer valid","Seçilmiş açılır liste seçeneği olan '{0}' artık geçerli değil"
"DEFAULT","","Only {0} elements in a list that requires at least {1}.","","Il n'y a que {0} éléments dans une liste qui doit en contenir au moins {1}.","Sólo {0} elementos en una lista que requiere al menos {1}.","Es sind nur {0} Elemente in einer Liste, die mindestens {1} benötigt.","목록에 {0} 요소(들)만 있는데, 최소 {1} 요소들이 필요합니다.","Somente {0} elementos em uma lista que requer pelo menos {1}.","列表中只有 {0} 元素需要至少 {1}。","Элементы из списка числом в {0} требуют по крайней мере {1}.","Solo {0} elementi in un elenco che richiedono almeno {1}.","Only {0} elements in a list that requires at least {1}.","Only {0} elements in a list that requires at least {1}.","少なくとも {1} 個以上必要なリストに {0} 個の要素しかありません。","Bare {0} elementer i en liste som krever minst {1}.","Tylko {0} elementów na liście wymagających przynajmniej {1}.","Alleen {0} elementen in een lijst die ten minste {1} vereist.","Numai {0} elemente dintr-o listă care necesită cel puțin {1}.","Kun {0} elementer i en liste som kræver mindst {1}.","Jen {0} prvků v seznamu, který vyžaduje alespoň {1}.","Endast {0} element i en lista som kräver minst {1}.","Лише {0} елементів у списку потребують принаймні {1}.","Υπάρχουν μόνο {0} στοιχεία σε μία λίστα που απαιτεί τουλάχιστον {1}.","Only {0} elements in a list that requires at least {1}.","Only {0} elements in a list that requires at least {1}.","Listedeki yalnızca {0} elementi en az {1} gerektiriyor."
"DEFAULT","","Can only set districts once per law","","Vous pouvez définir les quartiers qu'une fois par loi","Sólo puede establecer distritos una vez por ley","Bezirke können nur einmal pro Gesetz aufgeführt werden","구역 설정을 위해서는 법률이","Só pode definir distritos uma vez por lei","每项章程只能设置一次区域","Можно учредить районы лишь один раз за один закон","Puoi impostare i distretti solo una volta per legge","Can only set districts once per law","Csak egy területet lehet beállítani törvényenként","法律ごとに設定できる地区は一度だけです。","Du kan bare angi distriktene en gang per lov","Można ustanawiać dzielnice tylko raz na Ustawę","Districten opzetten kan alleen één keer per wet","Poate să stabilească districtele o singură dată pe lege","Kan kun sætte distrikter én gang per lov","Okresy lze nastavit jen jednou za zákon","Kan bara sätta distrikt en gång per lag","Райони можна визначати раз на закон","Μπορεί να οριστεί μία περιφέρεια ανά νόμο","Can only set districts once per law","Can only set districts once per law","Her kanun başına yalnızca bir bucak kurabilir"
"DEFAULT","","Cannot remove districts that are referenced by other laws ({0})","","Impossible de supprimer les quartiers auxquels se réfèrent d’autres lois ({0})","No puede eliminar distritos a los que se hace referencia en otras leyes ({0})","Bezirke, die einem Gesetz ({0}) als Grundlage dienen, können nicht gelöscht werden","다른 법률과 ({0}) 연관되어 있을 경우 구역 해제를 할 수 없습니다.","Não é possível remover os distritos que são referenciados por outras leis ({0})","无法移除其他章程 ({0}) 引用的区域","Районы, подчиненные законам ({0}) нельзя удалить","Impossibile rimuovere i distretti riferiti da altre leggi ({0})","Cannot remove districts that are referenced by other laws ({0})","Cannot remove districts that are referenced by other laws ({0})","他の法律で参照されている地区は削除できません({0})","Kan ikke fjerne distrikter som andre lover refererer til ({0})","Nie można usunąć dzielnic, które są ujęte w Ustawach ({0})","Kan district niet verwijderen die verwezen worden door andere wetten ({0})","Nu se pot elimina districtele la care fac referire alte legi ({0})","Kan ikke fjerne distrikter, der er refereret til i andre love ({0})","Nelze odstranit okresy zmíněné v jiných zákonech ({0})","?","Не можна видаляти райони, підпорядковані іншим законам ({0})","Δεν μπορούν να αφαιρεθούν περιφέρειες που αναφέρονται σε έναν άλλο νόμο ({0})","Cannot remove districts that are referenced by other laws ({0})","Cannot remove districts that are referenced by other laws ({0})","Diğer kanunlarca bahsedilen bucaklar kaldırılamaz ({0})"
"DEFAULT","","One or more districts has no name","","Un ou plusieurs quartiers n'ont pas de nom","Uno o más distritos no tienen nombre","Einer oder mehrere Bezirke besitzen noch keinen Namen","하나 이상의 구역에 이름이 설정되어 있지 않습니다.","Um ou mais distritos não tem nome","一个或多个区域没有命名","Один или более районов не имеет названия","Uno o più distretti senza nome","Um ou mais distritos não têm nome","Egy vagy több kerületnek nincsen neve","1つ以上の地区に名前がありません","Ett eller flere distrikter har ikke noe navn","Jedna lub więcej Dzielnic nie ma nazwy","Één of meer districten hebben geen naam","Unul sau mai multe raioane nu au un nume","Et eller flere distrikter har intet navn","Jeden nebo více okresů nemá jméno","Ett eller flera distrikt har inget namn","Один або декілька районів не мають назви","Μία ή περισσότερες περιφέρειες δεν έχουν όνομα","One or more districts has no name","One or more districts has no name","Bir yahut daha fazla bucağın ismi yok"
"DEFAULT","","Cannot have multiple districts with the same name","","Impossible d'avoir plusieurs quartiers portant le même nom","No pueden haber múltiples distritos con el mismo nombre","Es können nicht mehrere Bezirke denselben Namen haben","다수의 구역에서 같은 이름을 설정할 수 없습니다","Não podem haver vários distritos com o mesmo nome","不能有多个同名的区域","Невозможно иметь несколько районов с одинаковым названием","Impossibile avere più distretti con lo stesso nome","Não podem haver vários distritos com o mesmo nome","Cannot have multiple districts with the same name","同じ名前の複数の地区を設定することはできません。","Kan ikke ha flere distrikter med det samme navnet","Nie może być wielu Dzielnic z tą samą nazwą","Het is niet mogelijk om meerdere districten te hebben met dezelfde naam","Nu pot avea mai multe districte cu același nume","Kan ikke have flere distrikter med det samme navn","Nemůžete mít více okresů se stejným jménem","Kan inte ha flera distrikt med samma namn","Не можна мати декілька районів з однаковою назвою","Δεν μπορούν να υπάρξουν πολλαπλές περιφέρειες με το ίδιο όνομα","Cannot have multiple districts with the same name","Cannot have multiple districts with the same name","Aynı isimli birden fazla bucak bulunamaz"
"DEFAULT","","You were allocated {0} from the government for performing this action, by law {1}.","","Le gouvernement vous a attribué {0} pour effectuer cette action, conformément à la loi {1}.","Se te ha concedido {0} por el gobierno para llevar a cabo esta acción, según la ley {1}.","Du hast vom Staat {0} durch Gesetz {1} für diese Aktion erhalten.","{1}의 법률에 따라, 이 행동을 함으로서 정부에게서 {0} 배정 되었습니다.","Você recebeu {0} pelo governo para executar esta ação, pela lei {1}.","根据章程 {1}，你被公会指派执行 {0} 动作。","Правительство выдаёт вам {0} за выполнение этого действия, согласно закону {1}.","Ti sono stati allocati {0} dal governo eseguendo quest'azione, dalla legge {1}.","You were allocated {0} from the government for performing this action, by law {1}.","You were allocated {0} from the government for performing this action, by law {1}.","この行動で、あなたは {1} 法に則り、政府から {0} の支援を受けました 。","Du ble allokert {0} fra regjeringen for å utføre denne handlingen, fra loven {1}.","Otrzymujesz {0} od Rządu za to zadanie, zgodnie z Ustawą {1}.","U bent {0} toegekend van de overheid voor het uitvoeren van deze actie, door de wet {1}.","Ai fost alocat {0} din partea guvernului pentru efectuarea acestei acțiuni, prin lege {1}.","Du fik allokeret {0} af regeringen for at udføre denne handling, iht. loven: {1}.","Bylo vám přiděleno {0} financí od vlády za vykonání této akce podle zákona {1}.","You were allocated {0} from the government for performing this action, by law {1}.","Рада видала вам {0} для виконання цієї дії, згідно закону {1}.","Σου δόθηκε {0} από την κυβέρνηση για την εκτέλεση αυτής της ενέργειας, από το νόμο {1}.","You were allocated {0} from the government for performing this action, by law {1}.","You were allocated {0} from the government for performing this action, by law {1}.","Bu eylemi yapmak için, {1} kuralı gereğince, hükümetten {0} tahsis ettin."
